160 , L.R. Vicenza , 1-1 , Internazionale
161 , L.R. Vicenza , 1-3 , Juventus
162 , L.R. Vicenza , 2-1 , Lazio
163 , L.R. Vicenza , 1-0 , Mantova
164 , L.R. Vicenza , 2-1 , Messina
165 , L.R. Vicenza , 2-3 , Milan
166 , L.R. Vicenza , 1-0 , Roma
167 , L.R. Vicenza , 0-0 , Sampdoria
168 , L.R. Vicenza , 0-0 , Torino
169 , L.R. Vicenza , 3-2 , Varese
170 , Lazio , 0-0 , Atalanta
171 , Lazio , 1-1 , Bologna
172 , Lazio , 1-0 , Cagliari
173 , Lazio , 2-2 , Catania
174 , Lazio , 0-1 , Fiorentina
175 , Lazio , 2-1 , Foggia
176 , Lazio , 1-1 , Genoa
177 , Lazio , 1-1 , Internazionale
178 , Lazio , 0-2 , Juventus
179 , Lazio , 0-0 , L.R. Vicenza
180 , Lazio , 2-0 , Mantova
181 , Lazio , 2-1 , Messina
182 , Lazio , 0-0 , Milan
183 , Lazio , 0-0 , Roma
184 , Lazio , 2-0 , Sampdoria
185 , Lazio , 1-1 , Torino
186 , Lazio , 3-1 , Varese
187 , Mantova , 2-0 , Atalanta
188 , Mantova , 0-1 , Bologna
189 , Mantova , 2-2 , Cagliari
190 , Mantova , 1-0 , Catania
191 , Mantova , 0-0 , Fiorentina
192 , Mantova , 0-0 , Foggia
193 , Mantova , 2-0 , Genoa
194 , Mantova , 0-1 , Internazionale
195 , Mantova , 1-0 , Juventus
196 , Mantova , 0-1 , L.R. Vicenza
197 , Mantova , 1-3 , Lazio
198 , Mantova , 2-0 , Messina
199 , Mantova , 0-4 , Milan
200 , Mantova , 0-0 , Roma
201 , Mantova , 1-0 , Sampdoria
202 , Mantova , 1-2 , Torino
203 , Mantova , 3-1 , Varese
204 , Messina , 1-0 , Atalanta
205 , Messina , 3-3 , Bologna
206 , Messina , 0-0 , Cagliari
207 , Messina , 2-1 , Catania
208 , Messina , 0-3 , Fiorentina
209 , Messina , 0-0 , Foggia
210 , Messina , 1-0 , Genoa
211 , Messina , 0-1 , Internazionale
212 , Messina , 1-1 , Juventus
213 , Messina , 0-0 , L.R. Vicenza
214 , Messina , 4-0 , Lazio
