153 , Palermo , 0-0 , Brescia
154 , Palermo , 0-0 , Fiorentina
155 , Palermo , 0-0 , Juventus
156 , Palermo , 2-1 , Lazio
157 , Palermo , 2-2 , Livorno
158 , Palermo , 1-0 , Milan
159 , Palermo , 2-0 , Napoli
160 , Palermo , 2-0 , Pro Vercelli
161 , Palermo , 1-0 , Roma
162 , Palermo , 1-0 , Sampierdarenese
163 , Palermo , 0-0 , Torino
164 , Palermo , 2-0 , Triestina
165 , Pro Vercelli , 1-0 , Alessandria
166 , Pro Vercelli , 1-1 , Ambrosiana-Inter
167 , Pro Vercelli , 2-1 , Bologna
168 , Pro Vercelli , 1-1 , Brescia
169 , Pro Vercelli , 2-0 , Fiorentina
170 , Pro Vercelli , 0-1 , Juventus
171 , Pro Vercelli , 1-0 , Lazio
172 , Pro Vercelli , 0-1 , Livorno
173 , Pro Vercelli , 1-2 , Milan
174 , Pro Vercelli , 1-1 , Napoli
175 , Pro Vercelli , 0-0 , Palermo
176 , Pro Vercelli , 1-4 , Roma
177 , Pro Vercelli , 2-3 , Sampierdarenese
178 , Pro Vercelli , 0-3 , Torino
179 , Pro Vercelli , 4-2 , Triestina
180 , Roma , 3-0 , Alessandria
181 , Roma , 3-4 , Ambrosiana-Inter
182 , Roma , 1-1 , Bologna
183 , Roma , 4-0 , Brescia
184 , Roma , 0-0 , Fiorentina
185 , Roma , 1-2 , Juventus
186 , Roma , 1-1 , Lazio
187 , Roma , 5-1 , Livorno
188 , Roma , 1-0 , Milan
189 , Roma , 4-0 , Napoli
190 , Roma , 5-1 , Palermo
191 , Roma , 3-2 , Pro Vercelli
192 , Roma , 2-0 , Sampierdarenese
193 , Roma , 2-1 , Torino
194 , Roma , 1-2 , Triestina
195 , Sampierdarenese , 2-1 , Alessandria
196 , Sampierdarenese , 0-0 , Ambrosiana-Inter
197 , Sampierdarenese , 2-1 , Bologna
198 , Sampierdarenese , 3-0 , Brescia
199 , Sampierdarenese , 0-1 , Fiorentina
200 , Sampierdarenese , 0-1 , Juventus
201 , Sampierdarenese , 2-3 , Lazio
202 , Sampierdarenese , 0-0 , Livorno
203 , Sampierdarenese , 0-0 , Milan
204 , Sampierdarenese , 1-3 , Napoli
205 , Sampierdarenese , 1-0 , Palermo
206 , Sampierdarenese , 0-0 , Pro Vercelli
207 , Sampierdarenese , 1-0 , Roma
208 , Sampierdarenese , 3-2 , Torino
209 , Sampierdarenese , 1-0 , Triestina
210 , Torino , 2-1 , Alessandria
211 , Torino , 1-2 , Ambrosiana-Inter
212 , Torino , 0-1 , Bologna
213 , Torino , 4-2 , Brescia
214 , Torino , 1-0 , Fiorentina
215 , Torino , 1-3 , Juventus
216 , Torino , 2-2 , Lazio
217 , Torino , 1-0 , Livorno
218 , Torino , 1-1 , Milan
219 , Torino , 0-0 , Napoli
220 , Torino , 0-0 , Palermo
221 , Torino , 2-0 , Pro Vercelli
222 , Torino , 2-3 , Roma
223 , Torino , 5-2 , Sampierdarenese
224 , Torino , 3-1 , Triestina
225 , Triestina , 3-1 , Alessandria
226 , Triestina , 1-1 , Ambrosiana-Inter
227 , Triestina , 1-3 , Bologna
228 , Triestina , 3-0 , Brescia
229 , Triestina , 0-1 , Fiorentina
230 , Triestina , 2-1 , Juventus
231 , Triestina , 2-1 , Lazio
232 , Triestina , 1-2 , Livorno
233 , Triestina , 2-1 , Milan
234 , Triestina , 0-0 , Napoli
235 , Triestina , 1-1 , Palermo
236 , Triestina , 3-1 , Pro Vercelli
237 , Triestina , 0-2 , Roma
238 , Triestina , 2-1 , Sampierdarenese
239 , Triestina , 1-0 , Torino
shortNames:,,Home ╲ Away,Alessandria !ALE,Ambrosiana-Inter !AMB,Bologna !BOL,Brescia !BRE,Fiorentina !FIO,Juventus !JUV,Lazio !LAZ,Livorno !LIV,Milan !MIL,Napoli !NAP,Palermo !PAL,Pro Vercelli !PVE,Roma !ROM,Sampierdarenese !SAM,Torino !TOR,Triestina !TRI
fullNames:,,Alessandria,Ambrosiana-Inter,Bologna,Brescia,Fiorentina,Juventus,Lazio,Livorno,Milan,Napoli,Palermo,Pro Vercelli,Roma,Sampierdarenese,Torino,Triestina
