167 , Lazio , 1-0 , Sampdoria
168 , Lazio , 2-2 , Torino
169 , Lazio , 2-0 , Triestina
170 , Lazio , 2-0 , Venezia
171 , Lucchese , 4-2 , Atalanta
172 , Lucchese , 3-0 , Bari
173 , Lucchese , 1-1 , Bologna
174 , Lucchese , 3-1 , Como
175 , Lucchese , 1-3 , Fiorentina
176 , Lucchese , 2-2 , Genoa
177 , Lucchese , 0-5 , Internazionale
178 , Lucchese , 1-2 , Juventus
179 , Lucchese , 2-2 , Lazio
180 , Lucchese , 0-2 , Milan
181 , Lucchese , 2-1 , Novara
182 , Lucchese , 6-3 , Padova
183 , Lucchese , 2-1 , Palermo
184 , Lucchese , 1-3 , Pro Patria
185 , Lucchese , 3-1 , Roma
186 , Lucchese , 3-0 , Sampdoria
187 , Lucchese , 2-2 , Torino
188 , Lucchese , 7-2 , Triestina
189 , Lucchese , 2-0 , Venezia
190 , Milan , 2-1 , Atalanta
191 , Milan , 9-1 , Bari
192 , Milan , 2-0 , Bologna
193 , Milan , 1-1 , Como
194 , Milan , 4-1 , Fiorentina
195 , Milan , 5-0 , Genoa
196 , Milan , 3-1 , Internazionale
197 , Milan , 0-1 , Juventus
198 , Milan , 0-0 , Lazio
199 , Milan , 2-0 , Lucchese
200 , Milan , 5-0 , Novara
201 , Milan , 4-2 , Padova
202 , Milan , 4-1 , Palermo
203 , Milan , 7-1 , Pro Patria
204 , Milan , 6-2 , Roma
205 , Milan , 5-1 , Sampdoria
206 , Milan , 7-0 , Torino
207 , Milan , 5-2 , Triestina
208 , Milan , 2-0 , Venezia
209 , Novara , 5-2 , Atalanta
210 , Novara , 0-0 , Bari
211 , Novara , 1-2 , Bologna
212 , Novara , 1-1 , Como
213 , Novara , 3-0 , Fiorentina
214 , Novara , 2-1 , Genoa
215 , Novara , 0-0 , Internazionale
216 , Novara , 2-3 , Juventus
217 , Novara , 0-1 , Lazio
218 , Novara , 5-0 , Lucchese
219 , Novara , 1-3 , Milan
220 , Novara , 1-1 , Padova
221 , Novara , 2-1 , Palermo
222 , Novara , 3-2 , Pro Patria
223 , Novara , 0-2 , Roma
224 , Novara , 1-2 , Sampdoria
225 , Novara , 5-2 , Torino
226 , Novara , 1-2 , Triestina
227 , Novara , 5-1 , Venezia
228 , Padova , 2-0 , Atalanta
229 , Padova , 3-1 , Bari
230 , Padova , 0-0 , Bologna
231 , Padova , 5-2 , Como
232 , Padova , 3-4 , Fiorentina
233 , Padova , 2-2 , Genoa
234 , Padova , 2-2 , Internazionale
235 , Padova , 0-2 , Juventus
236 , Padova , 2-1 , Lazio
237 , Padova , 3-2 , Lucchese
238 , Padova , 1-2 , Milan
239 , Padova , 0-1 , Novara
240 , Padova , 2-1 , Palermo
241 , Padova , 1-1 , Pro Patria
242 , Padova , 4-1 , Roma
243 , Padova , 1-2 , Sampdoria
244 , Padova , 4-1 , Torino
245 , Padova , 0-1 , Triestina
246 , Padova , 3-0 , Venezia
247 , Palermo , 3-2 , Atalanta
248 , Palermo , 2-0 , Bari
249 , Palermo , 2-1 , Bologna
250 , Palermo , 3-2 , Como
251 , Palermo , 0-1 , Fiorentina
252 , Palermo , 3-2 , Genoa
253 , Palermo , 4-2 , Internazionale
254 , Palermo , 0-0 , Juventus
255 , Palermo , 2-1 , Lazio
256 , Palermo , 1-1 , Lucchese
257 , Palermo , 0-1 , Milan
258 , Palermo , 3-1 , Novara
259 , Palermo , 3-0 , Padova
260 , Palermo , 0-0 , Pro Patria
261 , Palermo , 3-0 , Roma
262 , Palermo , 2-3 , Sampdoria
263 , Palermo , 2-1 , Torino
264 , Palermo , 0-2 , Triestina
265 , Palermo , 1-0 , Venezia
266 , Pro Patria , 1-2 , Atalanta
267 , Pro Patria , 2-1 , Bari
268 , Pro Patria , 3-3 , Bologna
269 , Pro Patria , 0-0 , Como
270 , Pro Patria , 3-0 , Fiorentina
271 , Pro Patria , 2-0 , Genoa
272 , Pro Patria , 0-3 , Internazionale
273 , Pro Patria , 0-3 , Juventus
274 , Pro Patria , 1-0 , Lazio
275 , Pro Patria , 2-2 , Lucchese
276 , Pro Patria , 2-4 , Milan
277 , Pro Patria , 1-0 , Novara
278 , Pro Patria , 2-1 , Padova
279 , Pro Patria , 2-0 , Palermo
280 , Pro Patria , 2-1 , Roma
281 , Pro Patria , 1-1 , Sampdoria
282 , Pro Patria , 6-1 , Torino
283 , Pro Patria , 0-0 , Triestina
284 , Pro Patria , 1-0 , Venezia
285 , Roma , 1-3 , Atalanta
286 , Roma , 6-0 , Bari
287 , Roma , 3-1 , Bologna
288 , Roma , 0-1 , Como
289 , Roma , 1-1 , Fiorentina
290 , Roma , 3-0 , Genoa
291 , Roma , 1-3 , Internazionale
292 , Roma , 1-0 , Juventus
293 , Roma , 0-0 , Lazio
294 , Roma , 2-2 , Lucchese
295 , Roma , 1-0 , Milan
296 , Roma , 2-1 , Novara
297 , Roma , 0-1 , Padova
298 , Roma , 2-1 , Palermo
299 , Roma , 2-0 , Pro Patria
300 , Roma , 2-1 , Sampdoria
301 , Roma , 3-1 , Torino
302 , Roma , 0-0 , Triestina
303 , Roma , 3-2 , Venezia
304 , Sampdoria , 2-2 , Atalanta
305 , Sampdoria , 3-0 , Bari
306 , Sampdoria , 2-1 , Bologna
307 , Sampdoria , 0-1 , Como
308 , Sampdoria , 1-1 , Fiorentina
309 , Sampdoria , 1-1 , Genoa
310 , Sampdoria , 0-2 , Internazionale
311 , Sampdoria , 0-4 , Juventus
312 , Sampdoria , 2-5 , Lazio
313 , Sampdoria , 3-1 , Lucchese
314 , Sampdoria , 1-3 , Milan
315 , Sampdoria , 3-0 , Novara
316 , Sampdoria , 1-1 , Padova
317 , Sampdoria , 4-0 , Palermo
318 , Sampdoria , 3-3 , Pro Patria
319 , Sampdoria , 4-1 , Roma
320 , Sampdoria , 4-0 , Torino
321 , Sampdoria , 3-1 , Triestina
322 , Sampdoria , 0-0 , Venezia
323 , Torino , 3-1 , Atalanta
324 , Torino , 1-1 , Bari
325 , Torino , 3-1 , Bologna
326 , Torino , 4-0 , Como
327 , Torino , 2-2 , Fiorentina
328 , Torino , 2-0 , Genoa
329 , Torino , 1-0 , Internazionale
330 , Torino , 1-3 , Juventus
331 , Torino , 2-2 , Lazio
332 , Torino , 3-1 , Lucchese
333 , Torino , 3-2 , Milan
334 , Torino , 5-1 , Novara
335 , Torino , 2-0 , Padova
336 , Torino , 5-1 , Palermo
337 , Torino , 1-1 , Pro Patria
338 , Torino , 5-0 , Roma
339 , Torino , 4-1 , Sampdoria
340 , Torino , 3-1 , Triestina
341 , Torino , 3-0 , Venezia
342 , Triestina , 0-1 , Atalanta
343 , Triestina , 1-0 , Bari
344 , Triestina , 0-0 , Bologna
345 , Triestina , 1-1 , Como
346 , Triestina , 1-1 , Fiorentina
347 , Triestina , 3-0 , Genoa
348 , Triestina , 4-2 , Internazionale
349 , Triestina , 2-3 , Juventus
350 , Triestina , 0-0 , Lazio
351 , Triestina , 2-0 , Lucchese
352 , Triestina , 0-0 , Milan
353 , Triestina , 1-0 , Novara
354 , Triestina , 2-2 , Padova
355 , Triestina , 1-0 , Palermo
356 , Triestina , 2-2 , Pro Patria
357 , Triestina , 2-2 , Roma
358 , Triestina , 3-2 , Sampdoria
359 , Triestina , 3-0 , Torino
360 , Triestina , 2-0 , Venezia
361 , Venezia , 1-2 , Atalanta
362 , Venezia , 2-1 , Bari
363 , Venezia , 1-1 , Bologna
364 , Venezia , 1-2 , Como
365 , Venezia , 1-2 , Fiorentina
366 , Venezia , 3-1 , Genoa
367 , Venezia , 1-1 , Internazionale
368 , Venezia , 1-4 , Juventus
369 , Venezia , 1-0 , Lazio
