161 , Lorient , 2-1 , Marseille
162 , Lorient , 2-1 , Montpellier
163 , Lorient , 2-1 , Nancy
164 , Lorient , 1-0 , Nice
165 , Lorient , 1-2 , Paris Saint-Germain
166 , Lorient , 0-2 , Rennes
167 , Lorient , 3-0 , Saint-Étienne
168 , Lorient , 1-1 , Sochaux
169 , Lorient , 0-0 , Toulouse
170 , Lorient , 2-0 , Valenciennes
171 , Lyon , 1-1 , Ajaccio
172 , Lyon , 2-1 , Auxerre
173 , Lyon , 3-1 , Bordeaux
174 , Lyon , 1-1 , Brest
175 , Lyon , 1-2 , Caen
176 , Lyon , 3-1 , Dijon
177 , Lyon , 2-1 , Evian
178 , Lyon , 2-1 , Lille
179 , Lyon , 3-2 , Lorient
180 , Lyon , 2-0 , Marseille
181 , Lyon , 2-1 , Montpellier
182 , Lyon , 3-1 , Nancy
183 , Lyon , 3-4 , Nice
184 , Lyon , 4-4 , Paris Saint-Germain
185 , Lyon , 1-2 , Rennes
186 , Lyon , 2-0 , Saint-Étienne
187 , Lyon , 2-1 , Sochaux
188 , Lyon , 3-2 , Toulouse
189 , Lyon , 4-1 , Valenciennes
190 , Marseille , 2-0 , Ajaccio
191 , Marseille , 3-0 , Auxerre
192 , Marseille , 0-0 , Bordeaux
193 , Marseille , 1-1 , Brest
194 , Marseille , 1-1 , Caen
195 , Marseille , 1-2 , Dijon
196 , Marseille , 2-0 , Evian
197 , Marseille , 2-0 , Lille
198 , Marseille , 2-1 , Lorient
199 , Marseille , 2-2 , Lyon
200 , Marseille , 1-3 , Montpellier
201 , Marseille , 1-0 , Nancy
202 , Marseille , 2-0 , Nice
203 , Marseille , 3-0 , Paris Saint-Germain
204 , Marseille , 0-1 , Rennes
205 , Marseille , 0-0 , Saint-Étienne
206 , Marseille , 2-2 , Sochaux
207 , Marseille , 0-1 , Toulouse
208 , Marseille , 1-1 , Valenciennes
209 , Montpellier , 3-0 , Ajaccio
210 , Montpellier , 3-1 , Auxerre
211 , Montpellier , 1-0 , Bordeaux
212 , Montpellier , 1-0 , Brest
213 , Montpellier , 3-0 , Caen
214 , Montpellier , 5-3 , Dijon
215 , Montpellier , 2-2 , Evian
216 , Montpellier , 1-0 , Lille
217 , Montpellier , 4-0 , Lorient
218 , Montpellier , 1-0 , Lyon
219 , Montpellier , 1-0 , Marseille
220 , Montpellier , 2-0 , Nancy
221 , Montpellier , 1-0 , Nice
222 , Montpellier , 0-3 , Paris Saint-Germain
223 , Montpellier , 4-0 , Rennes
224 , Montpellier , 1-0 , Saint-Étienne
225 , Montpellier , 2-1 , Sochaux
226 , Montpellier , 1-1 , Toulouse
227 , Montpellier , 1-0 , Valenciennes
228 , Nancy , 2-2 , Ajaccio
229 , Nancy , 0-0 , Auxerre
230 , Nancy , 2-2 , Bordeaux
231 , Nancy , 2-1 , Brest
232 , Nancy , 1-1 , Caen
233 , Nancy , 1-2 , Dijon
234 , Nancy , 1-1 , Evian
235 , Nancy , 1-1 , Lille
236 , Nancy , 2-2 , Lorient
237 , Nancy , 2-0 , Lyon
238 , Nancy , 1-3 , Marseille
239 , Nancy , 1-0 , Montpellier
240 , Nancy , 1-0 , Nice
241 , Nancy , 2-1 , Paris Saint-Germain
242 , Nancy , 0-0 , Rennes
243 , Nancy , 3-2 , Saint-Étienne
244 , Nancy , 1-2 , Sochaux
245 , Nancy , 0-3 , Toulouse
246 , Nancy , 1-1 , Valenciennes
247 , Nice , 3-0 , Ajaccio
248 , Nice , 1-0 , Auxerre
249 , Nice , 3-0 , Bordeaux
250 , Nice , 0-0 , Brest
251 , Nice , 1-0 , Caen
252 , Nice , 1-1 , Dijon
253 , Nice , 1-1 , Evian
254 , Nice , 0-1 , Lille
255 , Nice , 2-0 , Lorient
256 , Nice , 1-3 , Lyon
257 , Nice , 1-1 , Marseille
258 , Nice , 0-1 , Montpellier
259 , Nice , 1-1 , Nancy
260 , Nice , 0-0 , Paris Saint-Germain
261 , Nice , 2-0 , Rennes
262 , Nice , 0-2 , Saint-Étienne
263 , Nice , 1-1 , Sochaux
264 , Nice , 1-1 , Toulouse
265 , Nice , 2-0 , Valenciennes
266 , Paris Saint-Germain , 4-1 , Ajaccio
267 , Paris Saint-Germain , 3-2 , Auxerre
268 , Paris Saint-Germain , 1-1 , Bordeaux
269 , Paris Saint-Germain , 1-0 , Brest
270 , Paris Saint-Germain , 4-2 , Caen
271 , Paris Saint-Germain , 2-0 , Dijon
272 , Paris Saint-Germain , 3-1 , Evian
273 , Paris Saint-Germain , 0-0 , Lille
274 , Paris Saint-Germain , 0-1 , Lorient
275 , Paris Saint-Germain , 2-0 , Lyon
276 , Paris Saint-Germain , 2-1 , Marseille
277 , Paris Saint-Germain , 2-2 , Montpellier
278 , Paris Saint-Germain , 0-1 , Nancy
279 , Paris Saint-Germain , 2-1 , Nice
280 , Paris Saint-Germain , 3-0 , Rennes
281 , Paris Saint-Germain , 2-0 , Saint-Étienne
282 , Paris Saint-Germain , 6-1 , Sochaux
283 , Paris Saint-Germain , 3-1 , Toulouse
284 , Paris Saint-Germain , 2-1 , Valenciennes
285 , Rennes , 3-1 , Ajaccio
286 , Rennes , 1-1 , Auxerre
287 , Rennes , 1-0 , Bordeaux
288 , Rennes , 1-1 , Brest
289 , Rennes , 3-2 , Caen
290 , Rennes , 5-0 , Dijon
291 , Rennes , 3-2 , Evian
292 , Rennes , 1-1 , Lille
293 , Rennes , 2-0 , Lorient
294 , Rennes , 1-1 , Lyon
295 , Rennes , 1-2 , Marseille
296 , Rennes , 0-2 , Montpellier
297 , Rennes , 1-1 , Nancy
298 , Rennes , 3-1 , Nice
299 , Rennes , 1-1 , Paris Saint-Germain
300 , Rennes , 1-1 , Saint-Étienne
301 , Rennes , 1-0 , Sochaux
302 , Rennes , 0-1 , Toulouse
303 , Rennes , 1-1 , Valenciennes
304 , Saint-Étienne , 3-1 , Ajaccio
305 , Saint-Étienne , 1-1 , Auxerre
306 , Saint-Étienne , 2-3 , Bordeaux
307 , Saint-Étienne , 2-1 , Brest
308 , Saint-Étienne , 2-0 , Caen
309 , Saint-Étienne , 1-0 , Dijon
310 , Saint-Étienne , 0-2 , Evian
311 , Saint-Étienne , 1-3 , Lille
312 , Saint-Étienne , 4-2 , Lorient
313 , Saint-Étienne , 0-1 , Lyon
314 , Saint-Étienne , 0-0 , Marseille
315 , Saint-Étienne , 1-1 , Montpellier
316 , Saint-Étienne , 1-0 , Nancy
317 , Saint-Étienne , 2-3 , Nice
318 , Saint-Étienne , 0-1 , Paris Saint-Germain
319 , Saint-Étienne , 4-0 , Rennes
320 , Saint-Étienne , 1-0 , Sochaux
321 , Saint-Étienne , 1-1 , Toulouse
322 , Saint-Étienne , 1-0 , Valenciennes
323 , Sochaux , 0-2 , Ajaccio
324 , Sochaux , 0-0 , Auxerre
325 , Sochaux , 0-3 , Bordeaux
326 , Sochaux , 2-1 , Brest
327 , Sochaux , 1-2 , Caen
328 , Sochaux , 1-0 , Dijon
329 , Sochaux , 1-1 , Evian
330 , Sochaux , 0-1 , Lille
331 , Sochaux , 1-1 , Lorient
332 , Sochaux , 2-1 , Lyon
333 , Sochaux , 1-0 , Marseille
334 , Sochaux , 1-3 , Montpellier
335 , Sochaux , 1-0 , Nancy
336 , Sochaux , 2-0 , Nice
337 , Sochaux , 0-1 , Paris Saint-Germain
338 , Sochaux , 2-6 , Rennes
339 , Sochaux , 2-1 , Saint-Étienne
340 , Sochaux , 3-0 , Toulouse
341 , Sochaux , 1-1 , Valenciennes
342 , Toulouse , 0-2 , Ajaccio
343 , Toulouse , 1-0 , Auxerre
344 , Toulouse , 3-2 , Bordeaux
345 , Toulouse , 0-0 , Brest
346 , Toulouse , 1-0 , Caen
347 , Toulouse , 2-0 , Dijon
348 , Toulouse , 2-1 , Evian
349 , Toulouse , 0-0 , Lille
350 , Toulouse , 1-1 , Lorient
