161 , Napoli , 2-0 , Pescara
162 , Napoli , 3-0 , Roma
163 , Napoli , 1-0 , Torino
164 , Napoli , 1-0 , Udinese
165 , Perugia , 0-0 , Ascoli
166 , Perugia , 2-1 , Avellino
167 , Perugia , 1-1 , Bologna
168 , Perugia , 1-0 , Cagliari
169 , Perugia , 0-0 , Catanzaro
170 , Perugia , 1-2 , Fiorentina
171 , Perugia , 0-0 , Internazionale
172 , Perugia , 1-0 , Juventus
173 , Perugia , 0-0 , Lazio
174 , Perugia , 1-1 , Milan
175 , Perugia , 1-0 , Napoli
176 , Perugia , 1-0 , Pescara
177 , Perugia , 3-1 , Roma
178 , Perugia , 0-2 , Torino
179 , Perugia , 2-0 , Udinese
180 , Pescara , 0-0 , Ascoli
181 , Pescara , 1-1 , Avellino
182 , Pescara , 0-0 , Bologna
183 , Pescara , 2-0 , Cagliari
184 , Pescara , 1-1 , Catanzaro
185 , Pescara , 1-2 , Fiorentina
186 , Pescara , 0-2 , Internazionale
187 , Pescara , 0-2 , Juventus
188 , Pescara , 2-0 , Lazio
189 , Pescara , 2-1 , Milan
190 , Pescara , 1-0 , Napoli
191 , Pescara , 1-1 , Perugia
192 , Pescara , 2-3 , Roma
193 , Pescara , 0-2 , Torino
194 , Pescara , 1-1 , Udinese
195 , Roma , 1-0 , Ascoli
196 , Roma , 1-1 , Avellino
197 , Roma , 1-2 , Bologna
198 , Roma , 1-1 , Cagliari
199 , Roma , 1-0 , Catanzaro
200 , Roma , 2-1 , Fiorentina
201 , Roma , 1-0 , Internazionale
202 , Roma , 1-3 , Juventus
203 , Roma , 1-1 , Lazio
204 , Roma , 0-0 , Milan
205 , Roma , 0-0 , Napoli
206 , Roma , 4-0 , Perugia
207 , Roma , 2-0 , Pescara
208 , Roma , 1-1 , Torino
209 , Roma , 1-1 , Udinese
210 , Torino , 1-0 , Ascoli
211 , Torino , 2-2 , Avellino
212 , Torino , 0-0 , Bologna
213 , Torino , 0-0 , Cagliari
214 , Torino , 0-0 , Catanzaro
215 , Torino , 1-1 , Fiorentina
216 , Torino , 0-0 , Internazionale
217 , Torino , 1-2 , Juventus
218 , Torino , 1-0 , Lazio
219 , Torino , 0-1 , Milan
220 , Torino , 0-0 , Napoli
221 , Torino , 2-0 , Perugia
222 , Torino , 2-0 , Pescara
223 , Torino , 1-0 , Roma
224 , Torino , 1-1 , Udinese
225 , Udinese , 3-1 , Ascoli
226 , Udinese , 0-1 , Avellino
227 , Udinese , 0-2 , Bologna
228 , Udinese , 1-1 , Cagliari
229 , Udinese , 1-2 , Catanzaro
230 , Udinese , 2-2 , Fiorentina
231 , Udinese , 1-1 , Internazionale
232 , Udinese , 1-3 , Juventus
233 , Udinese , 1-1 , Lazio
234 , Udinese , 2-1 , Milan
235 , Udinese , 0-0 , Napoli
236 , Udinese , 1-2 , Perugia
237 , Udinese , 2-1 , Pescara
238 , Udinese , 0-0 , Roma
239 , Udinese , 0-1 , Torino
shortNames:,,Serie A 1979/80,ASC,AVE,BOL,CAG,CAT,FIO,INT,JUV,LAZ,MIL,NAP,PER,PES,ROM,TOR,UDI
fullNames:,,Ascoli,Avellino,Bologna,Cagliari,Catanzaro,Fiorentina,Internazionale,Juventus,Lazio,Milan,Napoli,Perugia,Pescara,Roma,Torino,Udinese
