137 , Espanyol , 1-2 , Betis
138 , Espanyol , 0-4 , Celta de Vigo
139 , Espanyol , 2-0 , Deportivo La Coruña
140 , Espanyol , 1-2 , Málaga
141 , Espanyol , 2-0 , Mallorca
142 , Espanyol , 2-0 , Murcia
143 , Espanyol , 0-1 , Osasuna
144 , Espanyol , 0-1 , Racing Santander
145 , Espanyol , 2-4 , Real Madrid
146 , Espanyol , 1-1 , Real Sociedad
147 , Espanyol , 1-0 , Sevilla
148 , Espanyol , 2-1 , Valencia
149 , Espanyol , 2-0 , Valladolid
150 , Espanyol , 1-2 , Villarreal
151 , Espanyol , 0-2 , Zaragoza
152 , Málaga , 1-1 , Albacete
153 , Málaga , 3-1 , Athletic Bilbao
154 , Málaga , 2-1 , Atlético Madrid
155 , Málaga , 5-1 , Barcelona
156 , Málaga , 2-3 , Betis
157 , Málaga , 2-1 , Celta de Vigo
158 , Málaga , 1-1 , Deportivo La Coruña
159 , Málaga , 5-2 , Espanyol
160 , Málaga , 3-1 , Mallorca
161 , Málaga , 1-0 , Murcia
162 , Málaga , 0-0 , Osasuna
163 , Málaga , 1-0 , Racing Santander
164 , Málaga , 1-3 , Real Madrid
165 , Málaga , 1-2 , Real Sociedad
166 , Málaga , 2-0 , Sevilla
167 , Málaga , 1-6 , Valencia
168 , Málaga , 2-3 , Valladolid
169 , Málaga , 0-0 , Villarreal
170 , Málaga , 2-1 , Zaragoza
171 , Mallorca , 0-0 , Albacete
172 , Mallorca , 1-3 , Athletic Bilbao
173 , Mallorca , 0-1 , Atlético Madrid
174 , Mallorca , 1-3 , Barcelona
175 , Mallorca , 2-1 , Betis
176 , Mallorca , 2-4 , Celta de Vigo
177 , Mallorca , 4-2 , Deportivo La Coruña
178 , Mallorca , 4-2 , Espanyol
179 , Mallorca , 2-1 , Málaga
180 , Mallorca , 4-1 , Murcia
181 , Mallorca , 1-1 , Osasuna
182 , Mallorca , 1-1 , Racing Santander
183 , Mallorca , 1-3 , Real Madrid
184 , Mallorca , 1-1 , Real Sociedad
185 , Mallorca , 1-1 , Sevilla
186 , Mallorca , 0-5 , Valencia
187 , Mallorca , 1-0 , Valladolid
188 , Mallorca , 1-2 , Villarreal
