163 , Lazio , 5-1 , Napoli
164 , Lazio , 5-1 , Padova
165 , Lazio , 2-2 , Parma
166 , Lazio , 2-0 , Reggiana
167 , Lazio , 0-3 , Roma
168 , Lazio , 1-0 , Sampdoria
169 , Lazio , 3-0 , Torino
170 , Milan , 0-1 , Bari
171 , Milan , 1-0 , Brescia
172 , Milan , 1-1 , Cagliari
173 , Milan , 3-1 , Cremonese
174 , Milan , 2-0 , Fiorentina
175 , Milan , 3-0 , Foggia
176 , Milan , 1-0 , Genoa
177 , Milan , 1-1 , Internazionale
178 , Milan , 0-2 , Juventus
179 , Milan , 2-1 , Lazio
180 , Milan , 1-1 , Napoli
181 , Milan , 1-0 , Padova
182 , Milan , 1-1 , Parma
183 , Milan , 2-1 , Reggiana
184 , Milan , 1-0 , Roma
185 , Milan , 0-0 , Sampdoria
186 , Milan , 5-1 , Torino
187 , Napoli , 3-0 , Bari
188 , Napoli , 1-1 , Brescia
189 , Napoli , 1-1 , Cagliari
190 , Napoli , 1-0 , Cremonese
191 , Napoli , 2-5 , Fiorentina
192 , Napoli , 2-1 , Foggia
193 , Napoli , 1-0 , Genoa
194 , Napoli , 1-3 , Internazionale
195 , Napoli , 0-2 , Juventus
196 , Napoli , 3-2 , Lazio
197 , Napoli , 1-0 , Milan
198 , Napoli , 3-3 , Padova
199 , Napoli , 1-0 , Parma
200 , Napoli , 1-0 , Reggiana
201 , Napoli , 0-0 , Roma
202 , Napoli , 2-0 , Sampdoria
203 , Napoli , 1-1 , Torino
204 , Padova , 0-2 , Bari
205 , Padova , 2-0 , Brescia
206 , Padova , 2-1 , Cagliari
207 , Padova , 3-2 , Cremonese
208 , Padova , 0-1 , Fiorentina
209 , Padova , 0-0 , Foggia
210 , Padova , 1-1 , Genoa
211 , Padova , 1-0 , Internazionale
212 , Padova , 1-2 , Juventus
213 , Padova , 2-0 , Lazio
214 , Padova , 2-0 , Milan
215 , Padova , 2-0 , Napoli
216 , Padova , 0-3 , Parma
217 , Padova , 3-0 , Reggiana
218 , Padova , 0-0 , Roma
219 , Padova , 1-4 , Sampdoria
220 , Padova , 4-2 , Torino
221 , Parma , 1-0 , Bari
222 , Parma , 4-0 , Brescia
223 , Parma , 2-1 , Cagliari
224 , Parma , 2-0 , Cremonese
225 , Parma , 3-0 , Fiorentina
226 , Parma , 2-0 , Foggia
227 , Parma , 0-0 , Genoa
228 , Parma , 3-0 , Internazionale
229 , Parma , 1-3 , Juventus
230 , Parma , 2-0 , Lazio
231 , Parma , 2-3 , Milan
232 , Parma , 2-0 , Napoli
233 , Parma , 1-0 , Padova
234 , Parma , 2-1 , Reggiana
235 , Parma , 1-0 , Roma
236 , Parma , 3-2 , Sampdoria
237 , Parma , 2-0 , Torino
238 , Reggiana , 0-1 , Bari
239 , Reggiana , 2-0 , Brescia
240 , Reggiana , 0-0 , Cagliari
241 , Reggiana , 2-0 , Cremonese
242 , Reggiana , 1-1 , Fiorentina
243 , Reggiana , 1-1 , Foggia
244 , Reggiana , 0-1 , Genoa
245 , Reggiana , 0-1 , Internazionale
246 , Reggiana , 1-2 , Juventus
247 , Reggiana , 0-0 , Lazio
248 , Reggiana , 0-4 , Milan
249 , Reggiana , 1-2 , Napoli
250 , Reggiana , 3-0 , Padova
251 , Reggiana , 2-2 , Parma
252 , Reggiana , 1-4 , Roma
253 , Reggiana , 0-2 , Sampdoria
254 , Reggiana , 1-0 , Torino
255 , Roma , 2-0 , Bari
256 , Roma , 3-0 , Brescia
257 , Roma , 1-1 , Cagliari
258 , Roma , 1-1 , Cremonese
259 , Roma , 2-0 , Fiorentina
260 , Roma , 1-1 , Foggia
261 , Roma , 3-0 , Genoa
262 , Roma , 3-1 , Internazionale
263 , Roma , 3-0 , Juventus
264 , Roma , 0-2 , Lazio
265 , Roma , 0-0 , Milan
266 , Roma , 1-1 , Napoli
267 , Roma , 2-0 , Padova
268 , Roma , 1-0 , Parma
269 , Roma , 2-0 , Reggiana
270 , Roma , 1-0 , Sampdoria
271 , Roma , 1-1 , Torino
272 , Sampdoria , 1-1 , Bari
273 , Sampdoria , 2-1 , Brescia
274 , Sampdoria , 5-0 , Cagliari
275 , Sampdoria , 2-1 , Cremonese
276 , Sampdoria , 2-2 , Fiorentina
277 , Sampdoria , 1-1 , Foggia
278 , Sampdoria , 3-2 , Genoa
279 , Sampdoria , 2-2 , Internazionale
280 , Sampdoria , 0-1 , Juventus
281 , Sampdoria , 3-1 , Lazio
282 , Sampdoria , 0-3 , Milan
283 , Sampdoria , 0-0 , Napoli
284 , Sampdoria , 5-0 , Padova
285 , Sampdoria , 3-1 , Parma
286 , Sampdoria , 2-1 , Reggiana
287 , Sampdoria , 3-0 , Roma
288 , Sampdoria , 1-1 , Torino
289 , Torino , 2-0 , Bari
290 , Torino , 2-0 , Brescia
291 , Torino , 3-2 , Cagliari
292 , Torino , 1-1 , Cremonese
293 , Torino , 1-0 , Fiorentina
294 , Torino , 2-0 , Foggia
295 , Torino , 0-0 , Genoa
296 , Torino , 0-2 , Internazionale
297 , Torino , 3-2 , Juventus
298 , Torino , 2-0 , Lazio
299 , Torino , 0-0 , Milan
300 , Torino , 1-1 , Napoli
301 , Torino , 2-0 , Padova
302 , Torino , 0-2 , Parma
303 , Torino , 4-0 , Reggiana
304 , Torino , 2-2 , Roma
305 , Torino , 0-0 , Sampdoria
shortNames:,,,Bari,Brescia,Cagliari,Cremonese,Fiorentina,Foggia,Genoa,Internazionale,Juventus,Lazio,Milan,Napoli,Padova,Parma,Reggiana,Roma,Sampdoria,Torino
fullNames:,,Bari,Brescia,Cagliari,Cremonese,Fiorentina,Foggia,Genoa,Internazionale,Juventus,Lazio,Milan,Napoli,Padova,Parma,Reggiana,Roma,Sampdoria,Torino
