136 , UD Las Palmas , 3-2 , AD Almería
137 , UD Las Palmas , 1-1 , Athletic Bilbao
138 , UD Las Palmas , 4-2 , Atlético Madrid
139 , UD Las Palmas , 0-1 , FC Barcelona
140 , UD Las Palmas , 1-0 , Betis
141 , UD Las Palmas , 2-1 , Burgos
142 , UD Las Palmas , 1-0 , RCD Español
143 , UD Las Palmas , 2-1 , Hércules CF
144 , UD Las Palmas , 1-1 , CD Málaga
145 , UD Las Palmas , 3-0 , Rayo Vallecano
146 , UD Las Palmas , 1-2 , Real Madrid
147 , UD Las Palmas , 2-2 , Real Sociedad
148 , UD Las Palmas , 1-0 , UD Salamanca
149 , UD Las Palmas , 2-0 , Sevilla FC
150 , UD Las Palmas , 4-2 , Sporting de Gijón
151 , UD Las Palmas , 2-1 , Valencia CF
152 , UD Las Palmas , 0-0 , Zaragoza
153 , CD Málaga , ??-?? , AD Almería
154 , CD Málaga , 1-0 , Athletic Bilbao
155 , CD Málaga , 1-0 , Atlético Madrid
156 , CD Málaga , 0-0 , FC Barcelona
157 , CD Málaga , 1-0 , Betis
158 , CD Málaga , 3-1 , Burgos
159 , CD Málaga , 1-2 , RCD Español
160 , CD Málaga , 0-2 , Hércules CF
161 , CD Málaga , 1-0 , UD Las Palmas
162 , CD Málaga , 1-3 , Rayo Vallecano
163 , CD Málaga , 1-4 , Real Madrid
164 , CD Málaga , 0-0 , Real Sociedad
165 , CD Málaga , ??-?? , UD Salamanca
166 , CD Málaga , 2-1 , Sevilla FC
167 , CD Málaga , 0-3 , Sporting de Gijón
168 , CD Málaga , 2-1 , Valencia CF
169 , CD Málaga , 1-1 , Zaragoza
170 , Rayo Vallecano , 1-2 , AD Almería
171 , Rayo Vallecano , 2-1 , Athletic Bilbao
172 , Rayo Vallecano , 4-1 , Atlético Madrid
173 , Rayo Vallecano , 0-0 , FC Barcelona
174 , Rayo Vallecano , 0-1 , Betis
175 , Rayo Vallecano , 5-2 , Burgos
176 , Rayo Vallecano , 2-2 , RCD Español
177 , Rayo Vallecano , 2-1 , Hércules CF
178 , Rayo Vallecano , 1-0 , UD Las Palmas
179 , Rayo Vallecano , 5-1 , CD Málaga
180 , Rayo Vallecano , 1-2 , Real Madrid
181 , Rayo Vallecano , 1-1 , Real Sociedad
182 , Rayo Vallecano , 1-2 , UD Salamanca
183 , Rayo Vallecano , 1-1 , Sevilla FC
184 , Rayo Vallecano , 1-2 , Sporting de Gijón
185 , Rayo Vallecano , 1-0 , Valencia CF
186 , Rayo Vallecano , 0-1 , Zaragoza
187 , Real Madrid , 4-1 , AD Almería
188 , Real Madrid , 3-1 , Athletic Bilbao
189 , Real Madrid , 4-0 , Atlético Madrid
190 , Real Madrid , 3-2 , FC Barcelona
191 , Real Madrid , 1-1 , Betis
192 , Real Madrid , 2-1 , Burgos
193 , Real Madrid , 2-0 , RCD Español
194 , Real Madrid , 5-0 , Hércules CF
195 , Real Madrid , 3-1 , UD Las Palmas
196 , Real Madrid , 2-1 , CD Málaga
197 , Real Madrid , 7-0 , Rayo Vallecano
198 , Real Madrid , 2-2 , Real Sociedad
199 , Real Madrid , 2-0 , UD Salamanca
200 , Real Madrid , 2-0 , Sevilla FC
201 , Real Madrid , 1-0 , Sporting de Gijón
202 , Real Madrid , 3-1 , Valencia CF
203 , Real Madrid , 3-2 , Zaragoza
204 , Real Sociedad , 1-0 , AD Almería
205 , Real Sociedad , 4-0 , Athletic Bilbao
206 , Real Sociedad , 2-0 , Atlético Madrid
207 , Real Sociedad , 4-3 , FC Barcelona
208 , Real Sociedad , 0-0 , Betis
209 , Real Sociedad , 2-2 , Burgos
210 , Real Sociedad , 1-0 , RCD Español
211 , Real Sociedad , 1-1 , Hércules CF
212 , Real Sociedad , 1-0 , UD Las Palmas
213 , Real Sociedad , 3-1 , CD Málaga
214 , Real Sociedad , 4-0 , Rayo Vallecano
215 , Real Sociedad , 4-0 , Real Madrid
216 , Real Sociedad , 1-0 , UD Salamanca
217 , Real Sociedad , 2-0 , Sevilla FC
218 , Real Sociedad , 4-1 , Sporting de Gijón
219 , Real Sociedad , 0-0 , Valencia CF
220 , Real Sociedad , 2-1 , Zaragoza
221 , UD Salamanca , 2-1 , AD Almería
222 , UD Salamanca , 2-1 , Athletic Bilbao
223 , UD Salamanca , 1-1 , Atlético Madrid
224 , UD Salamanca , 1-1 , FC Barcelona
225 , UD Salamanca , 3-0 , Betis
226 , UD Salamanca , 1-3 , Burgos
227 , UD Salamanca , 2-0 , RCD Español
228 , UD Salamanca , 2-1 , Hércules CF
229 , UD Salamanca , 2-0 , UD Las Palmas
230 , UD Salamanca , 3-0 , CD Málaga
231 , UD Salamanca , 3-0 , Rayo Vallecano
232 , UD Salamanca , 1-1 , Real Madrid
233 , UD Salamanca , 0-1 , Real Sociedad
234 , UD Salamanca , 2-1 , Sevilla FC
235 , UD Salamanca , 0-1 , Sporting de Gijón
236 , UD Salamanca , 1-1 , Valencia CF
237 , UD Salamanca , 0-1 , Zaragoza
238 , Sevilla FC , 3-1 , AD Almería
239 , Sevilla FC , 3-1 , Athletic Bilbao
240 , Sevilla FC , 2-2 , Atlético Madrid
241 , Sevilla FC , 3-1 , FC Barcelona
242 , Sevilla FC , 2-1 , Betis
243 , Sevilla FC , 6-1 , Burgos
244 , Sevilla FC , 2-1 , RCD Español
245 , Sevilla FC , 2-1 , Hércules CF
246 , Sevilla FC , 0-1 , UD Las Palmas
247 , Sevilla FC , 3-1 , CD Málaga
248 , Sevilla FC , 1-1 , Rayo Vallecano
249 , Sevilla FC , 1-1 , Real Madrid
250 , Sevilla FC , 2-1 , Real Sociedad
251 , Sevilla FC , 2-0 , UD Salamanca
252 , Sevilla FC , 1-0 , Sporting de Gijón
253 , Sevilla FC , 2-1 , Valencia CF
254 , Sevilla FC , 2-1 , Zaragoza
255 , Sporting de Gijón , 1-0 , AD Almería
256 , Sporting de Gijón , 2-0 , Athletic Bilbao
257 , Sporting de Gijón , 0-0 , Atlético Madrid
258 , Sporting de Gijón , 4-1 , FC Barcelona
259 , Sporting de Gijón , 3-1 , Betis
260 , Sporting de Gijón , 2-0 , Burgos
261 , Sporting de Gijón , 2-0 , RCD Español
262 , Sporting de Gijón , 0-0 , Hércules CF
263 , Sporting de Gijón , 4-1 , UD Las Palmas
264 , Sporting de Gijón , 0-1 , CD Málaga
265 , Sporting de Gijón , 1-0 , Rayo Vallecano
266 , Sporting de Gijón , 1-1 , Real Madrid
267 , Sporting de Gijón , 0-1 , Real Sociedad
268 , Sporting de Gijón , 0-0 , UD Salamanca
269 , Sporting de Gijón , 2-1 , Sevilla FC
270 , Sporting de Gijón , 4-2 , Valencia CF
271 , Sporting de Gijón , 1-4 , Zaragoza
272 , Valencia CF , 1-1 , AD Almería
273 , Valencia CF , 2-0 , Athletic Bilbao
274 , Valencia CF , 2-1 , Atlético Madrid
275 , Valencia CF , 1-1 , FC Barcelona
276 , Valencia CF , 2-2 , Betis
277 , Valencia CF , 3-1 , Burgos
