139 , Everton , 1-0 , Derby County
140 , Everton , 3-0 , Fulham
141 , Everton , 1-2 , Liverpool
142 , Everton , 1-0 , Manchester City
143 , Everton , 0-1 , Manchester United
144 , Everton , 2-0 , Middlesbrough
145 , Everton , 3-1 , Newcastle United
146 , Everton , 3-1 , Portsmouth
147 , Everton , 1-0 , Reading
148 , Everton , 7-1 , Sunderland
149 , Everton , 0-0 , Tottenham Hotspur
150 , Everton , 1-1 , West Ham United
151 , Everton , 2-1 , Wigan Athletic
152 , Fulham , 0-3 , Arsenal
153 , Fulham , 2-1 , Aston Villa
154 , Fulham , 2-0 , Birmingham City
155 , Fulham , 2-2 , Blackburn Rovers
156 , Fulham , 2-1 , Bolton Wanderers
157 , Fulham , 1-2 , Chelsea
158 , Fulham , 0-0 , Derby County
159 , Fulham , 1-0 , Everton
160 , Fulham , 0-2 , Liverpool
161 , Fulham , 3-3 , Manchester City
162 , Fulham , 0-3 , Manchester United
163 , Fulham , 1-2 , Middlesbrough
164 , Fulham , 0-1 , Newcastle United
165 , Fulham , 0-2 , Portsmouth
166 , Fulham , 3-1 , Reading
167 , Fulham , 1-3 , Sunderland
168 , Fulham , 3-3 , Tottenham Hotspur
169 , Fulham , 0-1 , West Ham United
170 , Fulham , 1-1 , Wigan Athletic
171 , Liverpool , 1-1 , Arsenal
172 , Liverpool , 2-2 , Aston Villa
173 , Liverpool , 0-0 , Birmingham City
174 , Liverpool , 3-1 , Blackburn Rovers
175 , Liverpool , 4-0 , Bolton Wanderers
176 , Liverpool , 1-1 , Chelsea
177 , Liverpool , 6-0 , Derby County
178 , Liverpool , 1-0 , Everton
179 , Liverpool , 2-0 , Fulham
180 , Liverpool , 1-0 , Manchester City
181 , Liverpool , 0-1 , Manchester United
182 , Liverpool , 3-2 , Middlesbrough
183 , Liverpool , 3-0 , Newcastle United
184 , Liverpool , 4-1 , Portsmouth
185 , Liverpool , 2-1 , Reading
186 , Liverpool , 3-0 , Sunderland
187 , Liverpool , 2-2 , Tottenham Hotspur
188 , Liverpool , 4-0 , West Ham United
189 , Liverpool , 1-1 , Wigan Athletic
190 , Manchester City , 1-3 , Arsenal
191 , Manchester City , 1-0 , Aston Villa
192 , Manchester City , 1-0 , Birmingham City
193 , Manchester City , 2-2 , Blackburn Rovers
194 , Manchester City , 4-2 , Bolton Wanderers
195 , Manchester City , 0-2 , Chelsea
196 , Manchester City , 1-0 , Derby County
197 , Manchester City , 0-2 , Everton
198 , Manchester City , 2-3 , Fulham
199 , Manchester City , 0-0 , Liverpool
200 , Manchester City , 1-0 , Manchester United
201 , Manchester City , 3-1 , Middlesbrough
202 , Manchester City , 3-1 , Newcastle United
203 , Manchester City , 3-1 , Portsmouth
204 , Manchester City , 2-1 , Reading
205 , Manchester City , 1-0 , Sunderland
206 , Manchester City , 2-1 , Tottenham Hotspur
207 , Manchester City , 1-1 , West Ham United
208 , Manchester City , 0-0 , Wigan Athletic
209 , Manchester United , 2-1 , Arsenal
210 , Manchester United , 4-0 , Aston Villa
211 , Manchester United , 1-0 , Birmingham City
212 , Manchester United , 2-0 , Blackburn Rovers
213 , Manchester United , 2-0 , Bolton Wanderers
214 , Manchester United , 2-0 , Chelsea
215 , Manchester United , 4-1 , Derby County
216 , Manchester United , 2-1 , Everton
217 , Manchester United , 2-0 , Fulham
218 , Manchester United , 3-0 , Liverpool
219 , Manchester United , 1-2 , Manchester City
220 , Manchester United , 4-1 , Middlesbrough
221 , Manchester United , 6-0 , Newcastle United
222 , Manchester United , 2-0 , Portsmouth
223 , Manchester United , 0-0 , Reading
224 , Manchester United , 1-0 , Sunderland
225 , Manchester United , 1-0 , Tottenham Hotspur
226 , Manchester United , 4-1 , West Ham United
227 , Manchester United , 4-0 , Wigan Athletic
228 , Middlesbrough , 2-1 , Arsenal
229 , Middlesbrough , 0-3 , Aston Villa
230 , Middlesbrough , 2-0 , Birmingham City
231 , Middlesbrough , 1-2 , Blackburn Rovers
232 , Middlesbrough , 0-1 , Bolton Wanderers
233 , Middlesbrough , 0-2 , Chelsea
234 , Middlesbrough , 1-0 , Derby County
235 , Middlesbrough , 0-2 , Everton
236 , Middlesbrough , 1-0 , Fulham
237 , Middlesbrough , 1-1 , Liverpool
238 , Middlesbrough , 8-1 , Manchester City
239 , Middlesbrough , 2-2 , Manchester United
240 , Middlesbrough , 2-2 , Newcastle United
241 , Middlesbrough , 2-0 , Portsmouth
242 , Middlesbrough , 0-1 , Reading
243 , Middlesbrough , 2-2 , Sunderland
244 , Middlesbrough , 1-1 , Tottenham Hotspur
245 , Middlesbrough , 1-2 , West Ham United
246 , Middlesbrough , 1-0 , Wigan Athletic
247 , Newcastle United , 1-1 , Arsenal
248 , Newcastle United , 0-0 , Aston Villa
249 , Newcastle United , 2-1 , Birmingham City
250 , Newcastle United , 0-1 , Blackburn Rovers
251 , Newcastle United , 0-0 , Bolton Wanderers
252 , Newcastle United , 0-2 , Chelsea
253 , Newcastle United , 2-2 , Derby County
254 , Newcastle United , 3-2 , Everton
255 , Newcastle United , 2-0 , Fulham
256 , Newcastle United , 0-3 , Liverpool
257 , Newcastle United , 0-2 , Manchester City
258 , Newcastle United , 1-5 , Manchester United
259 , Newcastle United , 1-1 , Middlesbrough
260 , Newcastle United , 1-4 , Portsmouth
261 , Newcastle United , 3-0 , Reading
262 , Newcastle United , 2-0 , Sunderland
263 , Newcastle United , 3-1 , Tottenham Hotspur
264 , Newcastle United , 3-1 , West Ham United
265 , Newcastle United , 1-0 , Wigan Athletic
266 , Portsmouth , 0-0 , Arsenal
267 , Portsmouth , 2-0 , Aston Villa
268 , Portsmouth , 4-2 , Birmingham City
269 , Portsmouth , 0-1 , Blackburn Rovers
270 , Portsmouth , 3-1 , Bolton Wanderers
271 , Portsmouth , 1-1 , Chelsea
272 , Portsmouth , 3-1 , Derby County
273 , Portsmouth , 0-0 , Everton
274 , Portsmouth , 0-1 , Fulham
275 , Portsmouth , 0-0 , Liverpool
276 , Portsmouth , 0-0 , Manchester City
277 , Portsmouth , 1-1 , Manchester United
278 , Portsmouth , 0-1 , Middlesbrough
279 , Portsmouth , 0-0 , Newcastle United
280 , Portsmouth , 7-4 , Reading
281 , Portsmouth , 1-0 , Sunderland
282 , Portsmouth , 0-1 , Tottenham Hotspur
283 , Portsmouth , 0-0 , West Ham United
284 , Portsmouth , 2-0 , Wigan Athletic
285 , Reading , 1-3 , Arsenal
286 , Reading , 1-2 , Aston Villa
287 , Reading , 2-1 , Birmingham City
288 , Reading , 0-0 , Blackburn Rovers
289 , Reading , 0-2 , Bolton Wanderers
290 , Reading , 1-2 , Chelsea
291 , Reading , 1-0 , Derby County
292 , Reading , 1-0 , Everton
293 , Reading , 0-2 , Fulham
294 , Reading , 3-1 , Liverpool
295 , Reading , 2-0 , Manchester City
296 , Reading , 0-2 , Manchester United
297 , Reading , 1-1 , Middlesbrough
298 , Reading , 2-1 , Newcastle United
299 , Reading , 0-2 , Portsmouth
300 , Reading , 2-1 , Sunderland
301 , Reading , 0-1 , Tottenham Hotspur
302 , Reading , 0-3 , West Ham United
303 , Reading , 2-1 , Wigan Athletic
304 , Sunderland , 0-1 , Arsenal
305 , Sunderland , 1-1 , Aston Villa
306 , Sunderland , 2-0 , Birmingham City
307 , Sunderland , 1-2 , Blackburn Rovers
308 , Sunderland , 3-1 , Bolton Wanderers
309 , Sunderland , 0-1 , Chelsea
310 , Sunderland , 1-0 , Derby County
311 , Sunderland , 0-1 , Everton
312 , Sunderland , 1-1 , Fulham
313 , Sunderland , 0-2 , Liverpool
314 , Sunderland , 1-2 , Manchester City
315 , Sunderland , 0-4 , Manchester United
316 , Sunderland , 3-2 , Middlesbrough
317 , Sunderland , 1-1 , Newcastle United
318 , Sunderland , 2-0 , Portsmouth
319 , Sunderland , 2-1 , Reading
320 , Sunderland , 1-0 , Tottenham Hotspur
321 , Sunderland , 2-1 , West Ham United
322 , Sunderland , 2-0 , Wigan Athletic
323 , Tottenham Hotspur , 1-3 , Arsenal
324 , Tottenham Hotspur , 4-4 , Aston Villa
