157 , Napoli , 2-0 , L.R. Vicenza
158 , Napoli , 1-1 , Lazio
159 , Napoli , 2-0 , Milan
160 , Napoli , 2-0 , Roma
161 , Napoli , 2-0 , Sampdoria
162 , Napoli , 7-1 , Ternana
163 , Napoli , 1-0 , Torino
164 , Napoli , 3-0 , Varese
165 , Roma , 1-0 , Ascoli
166 , Roma , 2-1 , Bologna
167 , Roma , 1-1 , Cagliari
168 , Roma , 2-0 , Cesena
169 , Roma , 1-0 , Fiorentina
170 , Roma , 1-0 , Internazionale
171 , Roma , 1-0 , Juventus
172 , Roma , 1-0 , L.R. Vicenza
173 , Roma , 1-0 , Lazio
174 , Roma , 0-1 , Milan
175 , Roma , 0-0 , Napoli
176 , Roma , 1-0 , Sampdoria
177 , Roma , 4-2 , Ternana
178 , Roma , 0-1 , Torino
179 , Roma , 1-0 , Varese
180 , Sampdoria , 0-0 , Ascoli
181 , Sampdoria , 1-0 , Bologna
182 , Sampdoria , 0-0 , Cagliari
183 , Sampdoria , 0-0 , Cesena
184 , Sampdoria , 3-4 , Fiorentina
185 , Sampdoria , 1-1 , Internazionale
186 , Sampdoria , 1-3 , Juventus
187 , Sampdoria , 1-1 , L.R. Vicenza
188 , Sampdoria , 0-2 , Lazio
189 , Sampdoria , 2-4 , Milan
190 , Sampdoria , 1-1 , Napoli
191 , Sampdoria , 0-0 , Roma
192 , Sampdoria , 1-0 , Ternana
193 , Sampdoria , 0-0 , Torino
194 , Sampdoria , 1-0 , Varese
195 , Ternana , 1-0 , Ascoli
196 , Ternana , 0-0 , Bologna
197 , Ternana , 0-2 , Cagliari
198 , Ternana , 1-0 , Cesena
199 , Ternana , 0-1 , Fiorentina
200 , Ternana , 0-0 , Internazionale
201 , Ternana , 0-2 , Juventus
202 , Ternana , 0-0 , L.R. Vicenza
203 , Ternana , 1-1 , Lazio
204 , Ternana , 1-3 , Milan
205 , Ternana , 0-0 , Napoli
206 , Ternana , 2-2 , Roma
207 , Ternana , 1-1 , Sampdoria
208 , Ternana , 2-1 , Torino
209 , Ternana , 2-0 , Varese
210 , Torino , 1-0 , Ascoli
211 , Torino , 3-3 , Bologna
212 , Torino , 1-0 , Cagliari
213 , Torino , 2-0 , Cesena
214 , Torino , 2-1 , Fiorentina
215 , Torino , 2-3 , Internazionale
216 , Torino , 3-2 , Juventus
217 , Torino , 2-1 , L.R. Vicenza
218 , Torino , 2-2 , Lazio
219 , Torino , 1-1 , Milan
220 , Torino , 1-1 , Napoli
221 , Torino , 1-0 , Roma
