135 , Espanyol , 1-1 , Barcelona
136 , Espanyol , 5-0 , Betis
137 , Espanyol , 1-1 , Celta de Vigo
138 , Espanyol , 1-0 , Compostela
139 , Espanyol , 2-0 , Deportivo La Coruña
140 , Espanyol , 1-0 , Mallorca
141 , Espanyol , 0-0 , Mérida
142 , Espanyol , 0-0 , Racing Santander
143 , Espanyol , 1-0 , Real Madrid
144 , Espanyol , 0-0 , Oviedo
145 , Espanyol , 0-3 , Real Sociedad
146 , Espanyol , 3-0 , Salamanca
147 , Espanyol , 1-1 , Sporting de Gijón
148 , Espanyol , 2-0 , Tenerife
149 , Espanyol , 3-0 , Valencia
150 , Espanyol , 2-0 , Valladolid
151 , Espanyol , 0-1 , Zaragoza
152 , Mallorca , 4-0 , Athletic Bilbao
153 , Mallorca , 2-1 , Atlético Madrid
154 , Mallorca , 0-1 , Barcelona
155 , Mallorca , 1-2 , Betis
156 , Mallorca , 4-2 , Celta de Vigo
157 , Mallorca , 2-1 , Compostela
158 , Mallorca , 0-0 , Deportivo La Coruña
159 , Mallorca , 2-2 , Espanyol
160 , Mallorca , 1-0 , Mérida
161 , Mallorca , 2-1 , Racing Santander
162 , Mallorca , 0-0 , Real Madrid
163 , Mallorca , 1-1 , Oviedo
164 , Mallorca , 0-1 , Real Sociedad
165 , Mallorca , 1-0 , Salamanca
166 , Mallorca , 6-2 , Sporting de Gijón
167 , Mallorca , 5-1 , Tenerife
168 , Mallorca , 2-1 , Valencia
169 , Mallorca , 1-1 , Valladolid
170 , Mallorca , 0-2 , Zaragoza
171 , Mérida , 0-0 , Athletic Bilbao
172 , Mérida , 2-1 , Atlético Madrid
173 , Mérida , 1-2 , Barcelona
174 , Mérida , 1-3 , Betis
175 , Mérida , 4-0 , Celta de Vigo
176 , Mérida , 3-3 , Compostela
177 , Mérida , 1-0 , Deportivo La Coruña
178 , Mérida , 1-1 , Espanyol
179 , Mérida , 0-0 , Mallorca
180 , Mérida , 1-2 , Racing Santander
181 , Mérida , 2-2 , Real Madrid
182 , Mérida , 2-1 , Oviedo
183 , Mérida , 3-1 , Real Sociedad
184 , Mérida , 1-0 , Salamanca
185 , Mérida , 1-0 , Sporting de Gijón
186 , Mérida , 1-1 , Tenerife
187 , Mérida , 1-0 , Valencia
188 , Mérida , 0-0 , Valladolid
189 , Mérida , 0-1 , Zaragoza
190 , Racing Santander , 0-0 , Athletic Bilbao
191 , Racing Santander , 0-1 , Atlético Madrid
192 , Racing Santander , 2-4 , Barcelona
193 , Racing Santander , 2-0 , Betis
194 , Racing Santander , 2-1 , Celta de Vigo
195 , Racing Santander , 1-1 , Compostela
196 , Racing Santander , 0-1 , Deportivo La Coruña
197 , Racing Santander , 1-1 , Espanyol
198 , Racing Santander , 0-1 , Mallorca
199 , Racing Santander , 2-0 , Mérida
200 , Racing Santander , 1-2 , Real Madrid
201 , Racing Santander , 0-0 , Oviedo
202 , Racing Santander , 3-1 , Real Sociedad
203 , Racing Santander , 1-0 , Salamanca
204 , Racing Santander , 4-1 , Sporting de Gijón
205 , Racing Santander , 2-1 , Tenerife
206 , Racing Santander , 2-1 , Valencia
207 , Racing Santander , 1-2 , Valladolid
208 , Racing Santander , 2-3 , Zaragoza
209 , Real Madrid , 0-0 , Athletic Bilbao
210 , Real Madrid , 1-1 , Atlético Madrid
211 , Real Madrid , 2-3 , Barcelona
212 , Real Madrid , 1-0 , Betis
213 , Real Madrid , 3-1 , Celta de Vigo
214 , Real Madrid , 2-1 , Compostela
215 , Real Madrid , 0-0 , Deportivo La Coruña
216 , Real Madrid , 2-1 , Espanyol
217 , Real Madrid , 2-0 , Mallorca
218 , Real Madrid , 1-0 , Mérida
219 , Real Madrid , 2-2 , Racing Santander
220 , Real Madrid , 5-1 , Oviedo
221 , Real Madrid , 2-0 , Real Sociedad
222 , Real Madrid , 1-0 , Salamanca
223 , Real Madrid , 3-0 , Sporting de Gijón
224 , Real Madrid , 3-0 , Tenerife
225 , Real Madrid , 1-2 , Valencia
226 , Real Madrid , 3-1 , Valladolid
227 , Real Madrid , 0-2 , Zaragoza
228 , Oviedo , 1-2 , Athletic Bilbao
229 , Oviedo , 0-2 , Atlético Madrid
230 , Oviedo , 1-0 , Barcelona
231 , Oviedo , 0-0 , Betis
232 , Oviedo , 3-1 , Celta de Vigo
233 , Oviedo , 1-1 , Compostela
234 , Oviedo , 1-1 , Deportivo La Coruña
235 , Oviedo , 1-1 , Espanyol
236 , Oviedo , 0-1 , Mallorca
237 , Oviedo , 2-0 , Mérida
238 , Oviedo , 0-1 , Racing Santander
239 , Oviedo , 1-1 , Real Madrid
240 , Oviedo , 0-5 , Real Sociedad
241 , Oviedo , 2-0 , Salamanca
242 , Oviedo , 2-1 , Sporting de Gijón
243 , Oviedo , 1-0 , Tenerife
244 , Oviedo , 0-0 , Valencia
245 , Oviedo , 0-1 , Valladolid
246 , Oviedo , 3-0 , Zaragoza
247 , Real Sociedad , 1-1 , Athletic Bilbao
248 , Real Sociedad , 0-0 , Atlético Madrid
249 , Real Sociedad , 2-2 , Barcelona
250 , Real Sociedad , 2-0 , Betis
251 , Real Sociedad , 2-1 , Celta de Vigo
252 , Real Sociedad , 5-1 , Compostela
253 , Real Sociedad , 1-1 , Deportivo La Coruña
254 , Real Sociedad , 2-0 , Espanyol
255 , Real Sociedad , 1-0 , Mallorca
256 , Real Sociedad , 2-1 , Mérida
257 , Real Sociedad , 1-0 , Racing Santander
258 , Real Sociedad , 4-2 , Real Madrid
259 , Real Sociedad , 2-2 , Oviedo
260 , Real Sociedad , 1-1 , Salamanca
261 , Real Sociedad , 2-1 , Sporting de Gijón
262 , Real Sociedad , 1-1 , Tenerife
263 , Real Sociedad , 1-1 , Valencia
264 , Real Sociedad , 3-0 , Valladolid
265 , Real Sociedad , 0-1 , Zaragoza
266 , Salamanca , 0-0 , Athletic Bilbao
267 , Salamanca , 5-4 , Atlético Madrid
268 , Salamanca , 4-3 , Barcelona
269 , Salamanca , 0-0 , Betis
270 , Salamanca , 0-1 , Celta de Vigo
271 , Salamanca , 0-1 , Compostela
272 , Salamanca , 4-1 , Deportivo La Coruña
273 , Salamanca , 2-1 , Espanyol
274 , Salamanca , 1-1 , Mallorca
275 , Salamanca , 3-1 , Mérida
276 , Salamanca , 0-0 , Racing Santander
277 , Salamanca , 0-2 , Real Madrid
278 , Salamanca , 0-2 , Oviedo
279 , Salamanca , 0-0 , Real Sociedad
280 , Salamanca , 4-0 , Sporting de Gijón
281 , Salamanca , 2-0 , Tenerife
282 , Salamanca , 6-0 , Valencia
283 , Salamanca , 1-0 , Valladolid
284 , Salamanca , 1-2 , Zaragoza
285 , Sporting de Gijón , 1-2 , Athletic Bilbao
286 , Sporting de Gijón , 2-3 , Atlético Madrid
287 , Sporting de Gijón , 1-4 , Barcelona
288 , Sporting de Gijón , 2-3 , Betis
289 , Sporting de Gijón , 0-1 , Celta de Vigo
290 , Sporting de Gijón , 0-2 , Compostela
291 , Sporting de Gijón , 0-3 , Deportivo La Coruña
292 , Sporting de Gijón , 1-0 , Espanyol
293 , Sporting de Gijón , 1-3 , Mallorca
294 , Sporting de Gijón , 0-0 , Mérida
295 , Sporting de Gijón , 2-1 , Racing Santander
296 , Sporting de Gijón , 0-2 , Real Madrid
297 , Sporting de Gijón , 1-2 , Oviedo
298 , Sporting de Gijón , 0-2 , Real Sociedad
299 , Sporting de Gijón , 1-1 , Salamanca
300 , Sporting de Gijón , 0-2 , Tenerife
301 , Sporting de Gijón , 0-3 , Valencia
302 , Sporting de Gijón , 1-2 , Valladolid
303 , Sporting de Gijón , 2-3 , Zaragoza
304 , Tenerife , 0-2 , Athletic Bilbao
305 , Tenerife , 2-2 , Atlético Madrid
306 , Tenerife , 1-1 , Barcelona
307 , Tenerife , 3-1 , Betis
308 , Tenerife , 1-3 , Celta de Vigo
309 , Tenerife , 5-1 , Compostela
310 , Tenerife , 0-0 , Deportivo La Coruña
311 , Tenerife , 0-0 , Espanyol
312 , Tenerife , 1-4 , Mallorca
313 , Tenerife , 1-1 , Mérida
314 , Tenerife , 2-2 , Racing Santander
315 , Tenerife , 4-3 , Real Madrid
316 , Tenerife , 1-0 , Oviedo
317 , Tenerife , 0-0 , Real Sociedad
318 , Tenerife , 2-0 , Salamanca
319 , Tenerife , 2-1 , Sporting de Gijón
320 , Tenerife , 3-2 , Valencia
321 , Tenerife , 1-0 , Valladolid
322 , Tenerife , 0-0 , Zaragoza
323 , Valencia , 1-1 , Athletic Bilbao
324 , Valencia , 4-1 , Atlético Madrid
325 , Valencia , 0-3 , Barcelona
326 , Valencia , 1-0 , Betis
327 , Valencia , 2-1 , Celta de Vigo
328 , Valencia , 4-1 , Compostela
329 , Valencia , 1-0 , Deportivo La Coruña
330 , Valencia , 0-0 , Espanyol
331 , Valencia , 0-0 , Mallorca
332 , Valencia , 3-0 , Mérida
333 , Valencia , 6-1 , Racing Santander
334 , Valencia , 0-2 , Real Madrid
335 , Valencia , 1-1 , Oviedo
336 , Valencia , 3-2 , Real Sociedad
337 , Valencia , 0-1 , Salamanca
338 , Valencia , 2-2 , Sporting de Gijón
339 , Valencia , 1-2 , Tenerife
340 , Valencia , 1-2 , Valladolid
341 , Valencia , 2-1 , Zaragoza
342 , Valladolid , 3-0 , Athletic Bilbao
343 , Valladolid , 2-1 , Atlético Madrid
344 , Valladolid , 1-2 , Barcelona
345 , Valladolid , 1-3 , Betis
346 , Valladolid , 0-0 , Celta de Vigo
347 , Valladolid , 4-1 , Compostela
348 , Valladolid , 1-0 , Deportivo La Coruña
349 , Valladolid , 0-0 , Espanyol
350 , Valladolid , 0-0 , Mallorca
351 , Valladolid , 0-0 , Mérida
352 , Valladolid , 0-0 , Racing Santander
353 , Valladolid , 1-1 , Real Madrid
354 , Valladolid , 1-0 , Oviedo
355 , Valladolid , 0-4 , Real Sociedad
356 , Valladolid , 1-2 , Salamanca
357 , Valladolid , 1-1 , Sporting de Gijón
358 , Valladolid , 2-1 , Tenerife
359 , Valladolid , 0-3 , Valencia
360 , Valladolid , 4-0 , Zaragoza
361 , Zaragoza , 1-1 , Athletic Bilbao
362 , Zaragoza , 1-5 , Atlético Madrid
363 , Zaragoza , 1-2 , Barcelona
364 , Zaragoza , 3-1 , Betis
365 , Zaragoza , 1-0 , Celta de Vigo
366 , Zaragoza , 2-2 , Compostela
367 , Zaragoza , 1-2 , Deportivo La Coruña
368 , Zaragoza , 1-1 , Espanyol
369 , Zaragoza , 2-3 , Mallorca
370 , Zaragoza , 1-1 , Mérida
371 , Zaragoza , 2-0 , Racing Santander
372 , Zaragoza , 2-2 , Real Madrid
373 , Zaragoza , 3-3 , Oviedo
374 , Zaragoza , 0-0 , Real Sociedad
375 , Zaragoza , 1-1 , Salamanca
376 , Zaragoza , 0-0 , Sporting de Gijón
377 , Zaragoza , 1-0 , Tenerife
378 , Zaragoza , 0-2 , Valencia
379 , Zaragoza , 0-0 , Valladolid
shortNames:,,Home ╲ Away,Athletic Bilbao !ATH,Atlético Madrid !ATM,Barcelona !BAR,Betis !BET,Celta de Vigo !CEL,Compostela !COM,Deportivo La Coruña !DEP,Espanyol !ESP,Mallorca !MLL,Mérida !MER,Racing Santander !RAC,Real Madrid !RMA,Oviedo !ROV,Real Sociedad !RSO,Salamanca !SAL,Sporting de Gijón !SPG,Tenerife !TEN,Valencia !VAL,Valladolid !VLD,Zaragoza !ZAR
fullNames:,,Athletic Bilbao,Atlético Madrid,Barcelona,Betis,Celta de Vigo,Compostela,Deportivo La Coruña,Espanyol,Mallorca,Mérida,Racing Santander,Real Madrid,Oviedo,Real Sociedad,Salamanca,Sporting de Gijón,Tenerife,Valencia,Valladolid,Zaragoza
