127 , Hércules CF , 2-1 , Granada CF
128 , Hércules CF , 2-1 , UD Las Palmas
129 , Hércules CF , 1-0 , Pontevedra CF
130 , Hércules CF , 0-2 , Real Madrid
131 , Hércules CF , 0-0 , CE Sabadell FC
132 , Hércules CF , 2-1 , Sevilla CF
133 , Hércules CF , 4-1 , Valencia CF
134 , Hércules CF , 1-1 , Zaragoza
135 , UD Las Palmas , 2-4 , Atlético Bilbao
136 , UD Las Palmas , 1-0 , Atlético Madrid
137 , UD Las Palmas , 2-0 , CF Barcelona
138 , UD Las Palmas , 2-1 , Córdoba CF
139 , UD Las Palmas , 2-0 , Deportivo de La Coruña
140 , UD Las Palmas , 3-0 , Elche CF
141 , UD Las Palmas , 0-0 , RCD Español
142 , UD Las Palmas , 1-1 , Granada CF
143 , UD Las Palmas , 0-1 , Hércules CF
144 , UD Las Palmas , 0-0 , Pontevedra CF
145 , UD Las Palmas , 1-1 , Real Madrid
146 , UD Las Palmas , 1-0 , CE Sabadell FC
147 , UD Las Palmas , 1-2 , Sevilla CF
148 , UD Las Palmas , 0-0 , Valencia CF
149 , UD Las Palmas , 2-3 , Zaragoza
150 , Pontevedra CF , 1-1 , Atlético Bilbao
151 , Pontevedra CF , 0-0 , Atlético Madrid
152 , Pontevedra CF , 0-1 , CF Barcelona
153 , Pontevedra CF , 2-1 , Córdoba CF
154 , Pontevedra CF , 1-0 , Deportivo de La Coruña
155 , Pontevedra CF , 1-1 , Elche CF
156 , Pontevedra CF , 3-0 , RCD Español
157 , Pontevedra CF , 1-0 , Granada CF
158 , Pontevedra CF , 2-1 , Hércules CF
159 , Pontevedra CF , 2-3 , UD Las Palmas
160 , Pontevedra CF , 0-1 , Real Madrid
161 , Pontevedra CF , 0-0 , CE Sabadell FC
162 , Pontevedra CF , 3-0 , Sevilla CF
163 , Pontevedra CF , 3-0 , Valencia CF
164 , Pontevedra CF , 0-0 , Zaragoza
165 , Real Madrid , 4-0 , Atlético Bilbao
166 , Real Madrid , 2-1 , Atlético Madrid
167 , Real Madrid , 1-0 , CF Barcelona
168 , Real Madrid , 3-0 , Córdoba CF
169 , Real Madrid , 2-0 , Deportivo de La Coruña
170 , Real Madrid , 4-1 , Elche CF
171 , Real Madrid , 1-1 , RCD Español
172 , Real Madrid , 2-0 , Granada CF
173 , Real Madrid , 2-1 , Hércules CF
174 , Real Madrid , 1-1 , UD Las Palmas
175 , Real Madrid , 2-0 , Pontevedra CF
176 , Real Madrid , 5-0 , CE Sabadell FC
177 , Real Madrid , 3-0 , Sevilla CF
178 , Real Madrid , 4-2 , Valencia CF
179 , Real Madrid , 3-1 , Zaragoza
180 , CE Sabadell FC , 1-0 , Atlético Bilbao
181 , CE Sabadell FC , 0-0 , Atlético Madrid
182 , CE Sabadell FC , 2-0 , CF Barcelona
183 , CE Sabadell FC , 3-0 , Córdoba CF
184 , CE Sabadell FC , 3-0 , Deportivo de La Coruña
185 , CE Sabadell FC , 0-0 , Elche CF
186 , CE Sabadell FC , 0-1 , RCD Español
187 , CE Sabadell FC , 1-0 , Granada CF
188 , CE Sabadell FC , 5-2 , Hércules CF
189 , CE Sabadell FC , 1-1 , UD Las Palmas
190 , CE Sabadell FC , 3-0 , Pontevedra CF
191 , CE Sabadell FC , 1-1 , Real Madrid
192 , CE Sabadell FC , 1-0 , Sevilla CF
193 , CE Sabadell FC , 3-0 , Valencia CF
194 , CE Sabadell FC , 3-2 , Zaragoza
195 , Sevilla CF , 1-1 , Atlético Bilbao
196 , Sevilla CF , 1-1 , Atlético Madrid
197 , Sevilla CF , 0-2 , CF Barcelona
198 , Sevilla CF , 4-0 , Córdoba CF
199 , Sevilla CF , 3-0 , Deportivo de La Coruña
200 , Sevilla CF , 3-1 , Elche CF
201 , Sevilla CF , 1-0 , RCD Español
202 , Sevilla CF , 3-1 , Granada CF
203 , Sevilla CF , 0-0 , Hércules CF
204 , Sevilla CF , 2-0 , UD Las Palmas
205 , Sevilla CF , 0-0 , Pontevedra CF
206 , Sevilla CF , 0-1 , Real Madrid
207 , Sevilla CF , 0-0 , CE Sabadell FC
208 , Sevilla CF , 1-0 , Valencia CF
209 , Sevilla CF , 3-1 , Zaragoza
210 , Valencia CF , 1-0 , Atlético Bilbao
211 , Valencia CF , 0-2 , Atlético Madrid
212 , Valencia CF , 3-0 , CF Barcelona
213 , Valencia CF , 3-1 , Córdoba CF
214 , Valencia CF , 5-1 , Deportivo de La Coruña
215 , Valencia CF , 5-0 , Elche CF
216 , Valencia CF , 2-1 , RCD Español
217 , Valencia CF , 3-0 , Granada CF
218 , Valencia CF , 4-0 , Hércules CF
219 , Valencia CF , 2-1 , UD Las Palmas
220 , Valencia CF , 3-0 , Pontevedra CF
221 , Valencia CF , 0-0 , Real Madrid
222 , Valencia CF , 6-1 , CE Sabadell FC
223 , Valencia CF , 3-0 , Sevilla CF
224 , Valencia CF , 6-0 , Zaragoza
225 , Zaragoza , 1-1 , Atlético Bilbao
226 , Zaragoza , 2-2 , Atlético Madrid
227 , Zaragoza , 0-1 , CF Barcelona
228 , Zaragoza , 3-0 , Córdoba CF
229 , Zaragoza , 5-1 , Deportivo de La Coruña
230 , Zaragoza , 1-0 , Elche CF
231 , Zaragoza , 2-0 , RCD Español
232 , Zaragoza , 4-1 , Granada CF
233 , Zaragoza , 2-0 , Hércules CF
234 , Zaragoza , 4-1 , UD Las Palmas
235 , Zaragoza , 1-0 , Pontevedra CF
236 , Zaragoza , 2-1 , Real Madrid
237 , Zaragoza , 1-0 , CE Sabadell FC
238 , Zaragoza , 2-1 , Sevilla CF
239 , Zaragoza , 3-1 , Valencia CF
shortNames:,,AtB,AtM,Bar,Cór,Dep,Elc,Esp,Gra,Her,LPa,Pon,RMa,Sab,Sev,Val,Zar
fullNames:,,Atlético Bilbao,Atlético Madrid,CF Barcelona,Córdoba CF,Deportivo de La Coruña,Elche CF,RCD Español,Granada CF,Hércules CF,UD Las Palmas,Pontevedra CF,Real Madrid,CE Sabadell FC,Sevilla CF,Valencia CF,Zaragoza
