127 , Deportivo de La Coruna , 0-0 , Atlético Madrid
128 , Deportivo de La Coruna , 0-1 , FC Barcelona
129 , Deportivo de La Coruna , 3-0 , Betis
130 , Deportivo de La Coruna , 2-2 , Celta de Vigo
131 , Deportivo de La Coruna , 1-0 , SD Compostela
132 , Deportivo de La Coruna , 2-0 , RCD Espanyol
133 , Deportivo de La Coruna , 1-0 , CF Extremadura
134 , Deportivo de La Coruna , 4-0 , Hércules CF
135 , Deportivo de La Coruna , 4-1 , CD Logroñés
136 , Deportivo de La Coruna , 2-1 , Racing de Santander
137 , Deportivo de La Coruna , 1-1 , Rayo Vallecano
138 , Deportivo de La Coruna , 1-1 , Real Madrid
139 , Deportivo de La Coruna , 3-0 , Real Oviedo
140 , Deportivo de La Coruna , 1-0 , Real Sociedad
141 , Deportivo de La Coruna , 3-0 , Sevilla FC
142 , Deportivo de La Coruna , 0-0 , Sporting de Gijón
143 , Deportivo de La Coruna , 0-0 , CD Tenerife
144 , Deportivo de La Coruna , 1-0 , Valencia CF
145 , Deportivo de La Coruna , 0-2 , Valladolid
146 , Deportivo de La Coruna , 1-0 , Zaragoza
147 , RCD Espanyol , 0-2 , Athletic Bilbao
148 , RCD Espanyol , 0-0 , Atlético Madrid
149 , RCD Espanyol , 2-0 , FC Barcelona
150 , RCD Espanyol , 0-0 , Betis
151 , RCD Espanyol , 0-0 , Celta de Vigo
152 , RCD Espanyol , 0-2 , SD Compostela
153 , RCD Espanyol , 0-1 , Deportivo de La Coruna
154 , RCD Espanyol , 5-1 , CF Extremadura
155 , RCD Espanyol , 2-1 , Hércules CF
156 , RCD Espanyol , 5-1 , CD Logroñés
157 , RCD Espanyol , 0-0 , Racing de Santander
158 , RCD Espanyol , 0-0 , Rayo Vallecano
159 , RCD Espanyol , 0-2 , Real Madrid
160 , RCD Espanyol , 2-0 , Real Oviedo
161 , RCD Espanyol , 3-0 , Real Sociedad
162 , RCD Espanyol , 1-0 , Sevilla FC
163 , RCD Espanyol , 2-3 , Sporting de Gijón
164 , RCD Espanyol , 1-0 , CD Tenerife
165 , RCD Espanyol , 3-2 , Valencia CF
166 , RCD Espanyol , 1-0 , Valladolid
167 , RCD Espanyol , 3-0 , Zaragoza
168 , CF Extremadura , 1-2 , Athletic Bilbao
169 , CF Extremadura , 2-4 , Atlético Madrid
