114 , Eintracht Frankfurt , 4-1 , Borussia Mönchengladbach
115 , Eintracht Frankfurt , 1-2 , Bayern Munich
116 , Eintracht Frankfurt , 1-2 , Schalke 04
117 , Eintracht Frankfurt , 2-2 , VfB Stuttgart
118 , Eintracht Frankfurt , 0-2 , VfL Wolfsburg
119 , Hamburger SV , 1-1 , Hertha BSC
120 , Hamburger SV , 2-0 , Arminia Bielefeld
121 , Hamburger SV , 3-1 , VfL Bochum
122 , Hamburger SV , 2-1 , Werder Bremen
123 , Hamburger SV , 2-0 , Energie Cottbus
124 , Hamburger SV , 2-1 , Borussia Dortmund
125 , Hamburger SV , 1-0 , Eintracht Frankfurt
126 , Hamburger SV , 2-1 , Hannover 96
127 , Hamburger SV , 1-0 , 1899 Hoffenheim
128 , Hamburger SV , 2-1 , Karlsruher SC
129 , Hamburger SV , 0-1 , 1. FC Köln
130 , Hamburger SV , 3-2 , Bayer Leverkusen
131 , Hamburger SV , 1-0 , Borussia Mönchengladbach
132 , Hamburger SV , 1-0 , Bayern Munich
133 , Hamburger SV , 1-1 , Schalke 04
134 , Hamburger SV , 2-0 , VfB Stuttgart
135 , Hamburger SV , 1-3 , VfL Wolfsburg
136 , Hannover 96 , 2-0 , Hertha BSC
137 , Hannover 96 , 1-1 , Arminia Bielefeld
138 , Hannover 96 , 1-1 , VfL Bochum
139 , Hannover 96 , 1-1 , Werder Bremen
140 , Hannover 96 , 0-0 , Energie Cottbus
141 , Hannover 96 , 4-4 , Borussia Dortmund
142 , Hannover 96 , 1-1 , Eintracht Frankfurt
143 , Hannover 96 , 3-0 , Hamburger SV
144 , Hannover 96 , 2-5 , 1899 Hoffenheim
145 , Hannover 96 , 3-2 , Karlsruher SC
146 , Hannover 96 , 2-1 , 1. FC Köln
147 , Hannover 96 , 1-0 , Bayer Leverkusen
148 , Hannover 96 , 5-1 , Borussia Mönchengladbach
149 , Hannover 96 , 1-0 , Bayern Munich
150 , Hannover 96 , 1-0 , Schalke 04
151 , Hannover 96 , 3-3 , VfB Stuttgart
152 , Hannover 96 , 0-5 , VfL Wolfsburg
153 , 1899 Hoffenheim , 0-1 , Hertha BSC
154 , 1899 Hoffenheim , 3-0 , Arminia Bielefeld
155 , 1899 Hoffenheim , 0-3 , VfL Bochum
156 , 1899 Hoffenheim , 0-0 , Werder Bremen
157 , 1899 Hoffenheim , 2-0 , Energie Cottbus
158 , 1899 Hoffenheim , 4-1 , Borussia Dortmund
159 , 1899 Hoffenheim , 2-1 , Eintracht Frankfurt
160 , 1899 Hoffenheim , 3-0 , Hamburger SV
161 , 1899 Hoffenheim , 2-2 , Hannover 96
162 , 1899 Hoffenheim , 4-1 , Karlsruher SC
163 , 1899 Hoffenheim , 2-0 , 1. FC Köln
164 , 1899 Hoffenheim , 1-4 , Bayer Leverkusen
165 , 1899 Hoffenheim , 1-0 , Borussia Mönchengladbach
166 , 1899 Hoffenheim , 2-2 , Bayern Munich
167 , 1899 Hoffenheim , 1-1 , Schalke 04
168 , 1899 Hoffenheim , 0-0 , VfB Stuttgart
169 , 1899 Hoffenheim , 3-2 , VfL Wolfsburg
170 , Karlsruher SC , 4-0 , Hertha BSC
171 , Karlsruher SC , 0-1 , Arminia Bielefeld
172 , Karlsruher SC , 1-0 , VfL Bochum
173 , Karlsruher SC , 1-0 , Werder Bremen
174 , Karlsruher SC , 0-0 , Energie Cottbus
175 , Karlsruher SC , 0-1 , Borussia Dortmund
176 , Karlsruher SC , 0-1 , Eintracht Frankfurt
177 , Karlsruher SC , 3-2 , Hamburger SV
178 , Karlsruher SC , 2-3 , Hannover 96
179 , Karlsruher SC , 2-2 , 1899 Hoffenheim
180 , Karlsruher SC , 0-2 , 1. FC Köln
181 , Karlsruher SC , 3-3 , Bayer Leverkusen
182 , Karlsruher SC , 0-0 , Borussia Mönchengladbach
183 , Karlsruher SC , 0-1 , Bayern Munich
184 , Karlsruher SC , 0-3 , Schalke 04
185 , Karlsruher SC , 0-2 , VfB Stuttgart
186 , Karlsruher SC , 2-1 , VfL Wolfsburg
187 , 1. FC Köln , 1-2 , Hertha BSC
188 , 1. FC Köln , 1-1 , Arminia Bielefeld
189 , 1. FC Köln , 1-1 , VfL Bochum
190 , 1. FC Köln , 1-0 , Werder Bremen
191 , 1. FC Köln , 1-0 , Energie Cottbus
192 , 1. FC Köln , 0-1 , Borussia Dortmund
193 , 1. FC Köln , 1-1 , Eintracht Frankfurt
194 , 1. FC Köln , 1-2 , Hamburger SV
195 , 1. FC Köln , 2-1 , Hannover 96
196 , 1. FC Köln , 1-3 , 1899 Hoffenheim
197 , 1. FC Köln , 0-0 , Karlsruher SC
198 , 1. FC Köln , 0-2 , Bayer Leverkusen
199 , 1. FC Köln , 2-4 , Borussia Mönchengladbach
200 , 1. FC Köln , 0-3 , Bayern Munich
201 , 1. FC Köln , 1-0 , Schalke 04
202 , 1. FC Köln , 0-3 , VfB Stuttgart
203 , 1. FC Köln , 1-1 , VfL Wolfsburg
204 , Bayer Leverkusen , 0-1 , Hertha BSC
205 , Bayer Leverkusen , 2-2 , Arminia Bielefeld
206 , Bayer Leverkusen , 1-1 , VfL Bochum
207 , Bayer Leverkusen , 1-1 , Werder Bremen
208 , Bayer Leverkusen , 1-1 , Energie Cottbus
209 , Bayer Leverkusen , 2-3 , Borussia Dortmund
210 , Bayer Leverkusen , 1-1 , Eintracht Frankfurt
211 , Bayer Leverkusen , 1-2 , Hamburger SV
212 , Bayer Leverkusen , 4-0 , Hannover 96
213 , Bayer Leverkusen , 5-2 , 1899 Hoffenheim
214 , Bayer Leverkusen , 0-1 , Karlsruher SC
215 , Bayer Leverkusen , 2-0 , 1. FC Köln
216 , Bayer Leverkusen , 5-0 , Borussia Mönchengladbach
217 , Bayer Leverkusen , 0-2 , Bayern Munich
218 , Bayer Leverkusen , 2-1 , Schalke 04
219 , Bayer Leverkusen , 2-4 , VfB Stuttgart
220 , Bayer Leverkusen , 2-0 , VfL Wolfsburg
221 , Borussia Mönchengladbach , 0-1 , Hertha BSC
222 , Borussia Mönchengladbach , 1-1 , Arminia Bielefeld
223 , Borussia Mönchengladbach , 0-1 , VfL Bochum
224 , Borussia Mönchengladbach , 3-2 , Werder Bremen
225 , Borussia Mönchengladbach , 1-3 , Energie Cottbus
226 , Borussia Mönchengladbach , 1-1 , Borussia Dortmund
227 , Borussia Mönchengladbach , 1-2 , Eintracht Frankfurt
228 , Borussia Mönchengladbach , 4-1 , Hamburger SV
229 , Borussia Mönchengladbach , 3-2 , Hannover 96
230 , Borussia Mönchengladbach , 1-1 , 1899 Hoffenheim
231 , Borussia Mönchengladbach , 1-0 , Karlsruher SC
232 , Borussia Mönchengladbach , 1-2 , 1. FC Köln
233 , Borussia Mönchengladbach , 1-3 , Bayer Leverkusen
234 , Borussia Mönchengladbach , 2-2 , Bayern Munich
235 , Borussia Mönchengladbach , 1-0 , Schalke 04
236 , Borussia Mönchengladbach , 1-3 , VfB Stuttgart
237 , Borussia Mönchengladbach , 1-2 , VfL Wolfsburg
238 , Bayern Munich , 4-1 , Hertha BSC
239 , Bayern Munich , 3-1 , Arminia Bielefeld
240 , Bayern Munich , 3-3 , VfL Bochum
241 , Bayern Munich , 2-5 , Werder Bremen
242 , Bayern Munich , 4-1 , Energie Cottbus
243 , Bayern Munich , 3-1 , Borussia Dortmund
244 , Bayern Munich , 4-0 , Eintracht Frankfurt
245 , Bayern Munich , 2-2 , Hamburger SV
246 , Bayern Munich , 5-1 , Hannover 96
247 , Bayern Munich , 2-1 , 1899 Hoffenheim
248 , Bayern Munich , 1-0 , Karlsruher SC
249 , Bayern Munich , 1-2 , 1. FC Köln
250 , Bayern Munich , 3-0 , Bayer Leverkusen
251 , Bayern Munich , 2-1 , Borussia Mönchengladbach
252 , Bayern Munich , 0-1 , Schalke 04
253 , Bayern Munich , 2-1 , VfB Stuttgart
254 , Bayern Munich , 4-2 , VfL Wolfsburg
255 , Schalke 04 , 1-0 , Hertha BSC
256 , Schalke 04 , 0-0 , Arminia Bielefeld
257 , Schalke 04 , 1-0 , VfL Bochum
258 , Schalke 04 , 1-0 , Werder Bremen
259 , Schalke 04 , 4-0 , Energie Cottbus
260 , Schalke 04 , 1-1 , Borussia Dortmund
261 , Schalke 04 , 1-0 , Eintracht Frankfurt
262 , Schalke 04 , 1-2 , Hamburger SV
263 , Schalke 04 , 3-0 , Hannover 96
264 , Schalke 04 , 2-3 , 1899 Hoffenheim
265 , Schalke 04 , 2-0 , Karlsruher SC
