159 , Milan , 1-1 , Juventus
160 , Milan , 0-0 , L.R. Vicenza
161 , Milan , 5-0 , Lazio
162 , Milan , 6-1 , Napoli
163 , Milan , 4-1 , Padova
164 , Milan , 4-1 , Roma
165 , Milan , 4-1 , Sampdoria
166 , Milan , 0-0 , SPAL
167 , Milan , 5-1 , Torino
168 , Milan , 2-0 , Triestina
169 , Milan , 7-0 , Udinese
170 , Napoli , 0-0 , Alessandria
171 , Napoli , 1-2 , Bari
172 , Napoli , 4-2 , Bologna
173 , Napoli , 2-3 , Fiorentina
174 , Napoli , 2-2 , Genoa
175 , Napoli , 1-0 , Internazionale
176 , Napoli , 0-0 , Juventus
177 , Napoli , 1-0 , L.R. Vicenza
178 , Napoli , 1-1 , Lazio
179 , Napoli , 0-1 , Milan
180 , Napoli , 2-1 , Padova
181 , Napoli , 3-0 , Roma
182 , Napoli , 3-2 , Sampdoria
183 , Napoli , 0-0 , SPAL
184 , Napoli , 2-2 , Torino
185 , Napoli , 1-0 , Triestina
186 , Napoli , 1-1 , Udinese
187 , Padova , 0-0 , Alessandria
188 , Padova , 0-0 , Bari
189 , Padova , 1-0 , Bologna
190 , Padova , 1-1 , Fiorentina
191 , Padova , 4-2 , Genoa
192 , Padova , 2-0 , Internazionale
193 , Padova , 1-4 , Juventus
194 , Padova , 3-1 , L.R. Vicenza
195 , Padova , 3-1 , Lazio
196 , Padova , 0-1 , Milan
197 , Padova , 0-0 , Napoli
198 , Padova , 3-3 , Roma
199 , Padova , 2-1 , Sampdoria
200 , Padova , 2-1 , SPAL
201 , Padova , 4-0 , Torino
202 , Padova , 2-2 , Triestina
203 , Padova , 2-1 , Udinese
204 , Roma , 0-2 , Alessandria
205 , Roma , 3-1 , Bari
206 , Roma , 0-1 , Bologna
207 , Roma , 0-0 , Fiorentina
208 , Roma , 5-0 , Genoa
209 , Roma , 2-2 , Internazionale
210 , Roma , 3-0 , Juventus
211 , Roma , 3-1 , L.R. Vicenza
212 , Roma , 3-0 , Lazio
213 , Roma , 1-1 , Milan
214 , Roma , 8-0 , Napoli
215 , Roma , 1-1 , Padova
216 , Roma , 1-0 , Sampdoria
217 , Roma , 2-0 , SPAL
218 , Roma , 4-1 , Torino
219 , Roma , 1-0 , Triestina
220 , Roma , 3-0 , Udinese
221 , Sampdoria , 3-1 , Alessandria
222 , Sampdoria , 3-0 , Bari
223 , Sampdoria , 2-1 , Bologna
224 , Sampdoria , 1-1 , Fiorentina
225 , Sampdoria , 2-1 , Genoa
