156 , Lyon , 2-0 , Le Mans
157 , Lyon , 1-0 , Lens
158 , Lyon , 1-1 , Lille
159 , Lyon , 1-0 , Lorient
160 , Lyon , 5-5 , Marseille
161 , Lyon , 3-0 , Monaco
162 , Lyon , 1-2 , Montpellier
163 , Lyon , 3-1 , Nancy
164 , Lyon , 2-0 , Nice
165 , Lyon , 2-1 , Paris Saint-Germain
166 , Lyon , 1-1 , Rennes
167 , Lyon , 1-1 , Saint-Étienne
168 , Lyon , 0-2 , Sochaux
169 , Lyon , 2-1 , Toulouse
170 , Lyon , 1-0 , Valenciennes
171 , Marseille , 0-2 , Auxerre
172 , Marseille , 0-0 , Bordeaux
173 , Marseille , 2-0 , Boulogne
174 , Marseille , 2-0 , Grenoble
175 , Marseille , 2-1 , Le Mans
176 , Marseille , 1-0 , Lens
177 , Marseille , 1-0 , Lille
178 , Marseille , 1-1 , Lorient
179 , Marseille , 2-1 , Lyon
180 , Marseille , 1-2 , Monaco
181 , Marseille , 4-2 , Montpellier
182 , Marseille , 3-1 , Nancy
183 , Marseille , 4-1 , Nice
184 , Marseille , 1-0 , Paris Saint-Germain
185 , Marseille , 3-1 , Rennes
186 , Marseille , 1-0 , Saint-Étienne
187 , Marseille , 3-0 , Sochaux
188 , Marseille , 1-1 , Toulouse
189 , Marseille , 5-1 , Valenciennes
190 , Monaco , 0-0 , Auxerre
191 , Monaco , 0-0 , Bordeaux
192 , Monaco , 1-0 , Boulogne
193 , Monaco , 0-0 , Grenoble
194 , Monaco , 1-1 , Le Mans
195 , Monaco , 2-0 , Lens
196 , Monaco , 0-4 , Lille
197 , Monaco , 2-0 , Lorient
198 , Monaco , 1-1 , Lyon
199 , Monaco , 1-2 , Marseille
200 , Monaco , 4-0 , Montpellier
201 , Monaco , 2-1 , Nancy
202 , Monaco , 3-2 , Nice
203 , Monaco , 2-0 , Paris Saint-Germain
204 , Monaco , 1-0 , Rennes
205 , Monaco , 1-2 , Saint-Étienne
206 , Monaco , 2-0 , Sochaux
207 , Monaco , 1-0 , Toulouse
208 , Monaco , 2-1 , Valenciennes
209 , Montpellier , 1-1 , Auxerre
210 , Montpellier , 0-1 , Bordeaux
211 , Montpellier , 1-0 , Boulogne
212 , Montpellier , 1-0 , Grenoble
213 , Montpellier , 2-1 , Le Mans
214 , Montpellier , 1-0 , Lens
215 , Montpellier , 2-0 , Lille
216 , Montpellier , 2-1 , Lorient
217 , Montpellier , 0-1 , Lyon
218 , Montpellier , 2-0 , Marseille
219 , Montpellier , 0-0 , Monaco
220 , Montpellier , 0-2 , Nancy
221 , Montpellier , 1-0 , Nice
222 , Montpellier , 1-1 , Paris Saint-Germain
223 , Montpellier , 3-1 , Rennes
224 , Montpellier , 2-1 , Saint-Étienne
225 , Montpellier , 2-0 , Sochaux
226 , Montpellier , 1-1 , Toulouse
227 , Montpellier , 2-1 , Valenciennes
228 , Nancy , 0-1 , Auxerre
229 , Nancy , 0-3 , Bordeaux
230 , Nancy , 1-3 , Boulogne
231 , Nancy , 0-2 , Grenoble
232 , Nancy , 3-2 , Le Mans
