136 , Hércules CF , 0-0 , Atlético Bilbao
137 , Hércules CF , 3-2 , Atlético Madrid
138 , Hércules CF , 0-0 , FC Barcelona
139 , Hércules CF , 2-3 , Betis
140 , Hércules CF , 0-0 , Celta de Vigo
141 , Hércules CF , 1-0 , Elche CF
142 , Hércules CF , 2-1 , RCD Español
143 , Hércules CF , 0-1 , Granada CF
144 , Hércules CF , 3-1 , UD Las Palmas
145 , Hércules CF , 1-1 , CD Málaga
146 , Hércules CF , 2-2 , Murcia
147 , Hércules CF , 2-0 , Real Gijón
148 , Hércules CF , 1-1 , Real Madrid
149 , Hércules CF , 1-1 , Real Sociedad
150 , Hércules CF , 2-1 , UD Salamanca
151 , Hércules CF , 2-1 , Valencia CF
152 , Hércules CF , 0-1 , Zaragoza
153 , UD Las Palmas , 2-0 , Atlético Bilbao
154 , UD Las Palmas , 1-0 , Atlético Madrid
155 , UD Las Palmas , 1-0 , FC Barcelona
156 , UD Las Palmas , 3-1 , Betis
157 , UD Las Palmas , 3-1 , Celta de Vigo
158 , UD Las Palmas , 1-1 , Elche CF
159 , UD Las Palmas , 2-0 , RCD Español
160 , UD Las Palmas , 4-0 , Granada CF
161 , UD Las Palmas , 0-0 , Hércules CF
162 , UD Las Palmas , 1-0 , CD Málaga
163 , UD Las Palmas , 5-0 , Murcia
164 , UD Las Palmas , 1-0 , Real Gijón
165 , UD Las Palmas , 1-2 , Real Madrid
166 , UD Las Palmas , 1-0 , Real Sociedad
167 , UD Las Palmas , 1-1 , UD Salamanca
168 , UD Las Palmas , 1-1 , Valencia CF
169 , UD Las Palmas , 2-0 , Zaragoza
170 , CD Málaga , 2-0 , Atlético Bilbao
171 , CD Málaga , 0-0 , Atlético Madrid
172 , CD Málaga , 3-2 , FC Barcelona
173 , CD Málaga , 1-0 , Betis
174 , CD Málaga , 3-0 , Celta de Vigo
175 , CD Málaga , 1-0 , Elche CF
176 , CD Málaga , 2-0 , RCD Español
177 , CD Málaga , 1-1 , Granada CF
178 , CD Málaga , 0-1 , Hércules CF
179 , CD Málaga , 1-0 , UD Las Palmas
180 , CD Málaga , 3-1 , Murcia
181 , CD Málaga , 3-1 , Real Gijón
182 , CD Málaga , 1-3 , Real Madrid
183 , CD Málaga , 2-0 , Real Sociedad
184 , CD Málaga , 1-1 , UD Salamanca
185 , CD Málaga , 1-0 , Valencia CF
186 , CD Málaga , 1-0 , Zaragoza
187 , Murcia , 2-4 , Atlético Bilbao
188 , Murcia , 3-1 , Atlético Madrid
189 , Murcia , 0-2 , FC Barcelona
190 , Murcia , 0-0 , Betis
191 , Murcia , 1-0 , Celta de Vigo
192 , Murcia , 2-0 , Elche CF
193 , Murcia , 0-0 , RCD Español
194 , Murcia , 0-0 , Granada CF
195 , Murcia , 1-1 , Hércules CF
196 , Murcia , 1-1 , UD Las Palmas
197 , Murcia , 2-0 , CD Málaga
198 , Murcia , 2-1 , Real Gijón
199 , Murcia , 2-2 , Real Madrid
200 , Murcia , 2-2 , Real Sociedad
201 , Murcia , 2-1 , UD Salamanca
202 , Murcia , 1-5 , Valencia CF
203 , Murcia , 1-5 , Zaragoza
204 , Real Gijón , 1-1 , Atlético Bilbao
205 , Real Gijón , 2-2 , Atlético Madrid
206 , Real Gijón , 0-1 , FC Barcelona
207 , Real Gijón , 2-0 , Betis
208 , Real Gijón , 1-1 , Celta de Vigo
209 , Real Gijón , 3-1 , Elche CF
210 , Real Gijón , 2-1 , RCD Español
211 , Real Gijón , 5-1 , Granada CF
212 , Real Gijón , 2-1 , Hércules CF
213 , Real Gijón , 0-0 , UD Las Palmas
214 , Real Gijón , 1-1 , CD Málaga
215 , Real Gijón , 1-0 , Murcia
216 , Real Gijón , 2-0 , Real Madrid
217 , Real Gijón , 0-2 , Real Sociedad
218 , Real Gijón , 2-1 , UD Salamanca
219 , Real Gijón , 2-1 , Valencia CF
220 , Real Gijón , 2-0 , Zaragoza
221 , Real Madrid , 2-0 , Atlético Bilbao
222 , Real Madrid , 1-0 , Atlético Madrid
223 , Real Madrid , 1-0 , FC Barcelona
224 , Real Madrid , 3-2 , Betis
225 , Real Madrid , 4-1 , Celta de Vigo
226 , Real Madrid , 5-1 , Elche CF
227 , Real Madrid , 5-0 , RCD Español
228 , Real Madrid , 1-0 , Granada CF
229 , Real Madrid , 2-1 , Hércules CF
230 , Real Madrid , 4-1 , UD Las Palmas
231 , Real Madrid , 4-0 , CD Málaga
232 , Real Madrid , 4-0 , Murcia
233 , Real Madrid , 0-0 , Real Gijón
234 , Real Madrid , 1-1 , Real Sociedad
235 , Real Madrid , 1-0 , UD Salamanca
236 , Real Madrid , 3-2 , Valencia CF
237 , Real Madrid , 1-0 , Zaragoza
238 , Real Sociedad , 3-0 , Atlético Bilbao
239 , Real Sociedad , 1-1 , Atlético Madrid
240 , Real Sociedad , 3-2 , FC Barcelona
241 , Real Sociedad , 2-0 , Betis
242 , Real Sociedad , 1-1 , Celta de Vigo
243 , Real Sociedad , 0-0 , Elche CF
244 , Real Sociedad , 2-0 , RCD Español
245 , Real Sociedad , 2-0 , Granada CF
246 , Real Sociedad , 2-2 , Hércules CF
247 , Real Sociedad , 2-0 , UD Las Palmas
248 , Real Sociedad , 2-0 , CD Málaga
249 , Real Sociedad , 2-0 , Murcia
250 , Real Sociedad , 1-1 , Real Gijón
251 , Real Sociedad , 1-1 , Real Madrid
252 , Real Sociedad , 1-1 , UD Salamanca
253 , Real Sociedad , 1-0 , Valencia CF
254 , Real Sociedad , 1-0 , Zaragoza
255 , UD Salamanca , 0-0 , Atlético Bilbao
256 , UD Salamanca , 1-1 , Atlético Madrid
257 , UD Salamanca , 1-0 , FC Barcelona
258 , UD Salamanca , 2-0 , Betis
259 , UD Salamanca , 0-0 , Celta de Vigo
260 , UD Salamanca , 2-0 , Elche CF
261 , UD Salamanca , 2-0 , RCD Español
262 , UD Salamanca , 1-0 , Granada CF
263 , UD Salamanca , 0-1 , Hércules CF
264 , UD Salamanca , 2-1 , UD Las Palmas
265 , UD Salamanca , 1-0 , CD Málaga
266 , UD Salamanca , 3-0 , Murcia
267 , UD Salamanca , 1-0 , Real Gijón
268 , UD Salamanca , 0-0 , Real Madrid
269 , UD Salamanca , 1-1 , Real Sociedad
270 , UD Salamanca , 0-1 , Valencia CF
271 , UD Salamanca , 3-3 , Zaragoza
272 , Valencia CF , 3-0 , Atlético Bilbao
273 , Valencia CF , 1-1 , Atlético Madrid
274 , Valencia CF , 1-0 , FC Barcelona
275 , Valencia CF , 3-1 , Betis
276 , Valencia CF , 2-0 , Celta de Vigo
277 , Valencia CF , 0-0 , Elche CF
278 , Valencia CF , 1-1 , RCD Español
279 , Valencia CF , 7-1 , Granada CF
280 , Valencia CF , 1-0 , Hércules CF
281 , Valencia CF , 2-1 , UD Las Palmas
282 , Valencia CF , 2-0 , CD Málaga
283 , Valencia CF , 1-2 , Murcia
284 , Valencia CF , 2-0 , Real Gijón
285 , Valencia CF , 1-2 , Real Madrid
286 , Valencia CF , 1-0 , Real Sociedad
287 , Valencia CF , 2-2 , UD Salamanca
288 , Valencia CF , 0-0 , Zaragoza
289 , Zaragoza , 1-0 , Atlético Bilbao
290 , Zaragoza , 3-1 , Atlético Madrid
