134 , RCD Español , 2-1 , Sporting de Gijón
135 , RCD Español , 2-2 , Valencia CF
136 , Hércules CF , 1-0 , Athletic Bilbao
137 , Hércules CF , 1-0 , Atlético Madrid
138 , Hércules CF , 2-1 , FC Barcelona
139 , Hércules CF , 2-0 , Betis
140 , Hércules CF , 0-0 , Burgos
141 , Hércules CF , 0-0 , Cádiz CF
142 , Hércules CF , 0-0 , Elche CF
143 , Hércules CF , 1-1 , RCD Español
144 , Hércules CF , 1-2 , UD Las Palmas
145 , Hércules CF , 4-0 , Racing de Santander
146 , Hércules CF , 1-1 , Rayo Vallecano
147 , Hércules CF , 2-3 , Real Madrid
148 , Hércules CF , 1-0 , Real Sociedad
149 , Hércules CF , 2-0 , UD Salamanca
150 , Hércules CF , 2-2 , Sevilla FC
151 , Hércules CF , 1-0 , Sporting de Gijón
152 , Hércules CF , 1-0 , Valencia CF
153 , UD Las Palmas , 2-2 , Athletic Bilbao
154 , UD Las Palmas , 3-0 , Atlético Madrid
155 , UD Las Palmas , 0-0 , FC Barcelona
156 , UD Las Palmas , 3-2 , Betis
157 , UD Las Palmas , 0-0 , Burgos
158 , UD Las Palmas , 2-1 , Cádiz CF
159 , UD Las Palmas , 4-1 , Elche CF
160 , UD Las Palmas , 4-2 , RCD Español
161 , UD Las Palmas , 0-1 , Hércules CF
162 , UD Las Palmas , 3-0 , Racing de Santander
163 , UD Las Palmas , 1-1 , Rayo Vallecano
164 , UD Las Palmas , 1-2 , Real Madrid
165 , UD Las Palmas , 1-1 , Real Sociedad
166 , UD Las Palmas , 0-0 , UD Salamanca
167 , UD Las Palmas , 2-0 , Sevilla FC
168 , UD Las Palmas , 2-2 , Sporting de Gijón
169 , UD Las Palmas , 1-0 , Valencia CF
170 , Racing de Santander , 1-0 , Athletic Bilbao
171 , Racing de Santander , 2-0 , Atlético Madrid
172 , Racing de Santander , 0-0 , FC Barcelona
173 , Racing de Santander , 1-1 , Betis
174 , Racing de Santander , 1-1 , Burgos
175 , Racing de Santander , 3-0 , Cádiz CF
176 , Racing de Santander , 2-0 , Elche CF
177 , Racing de Santander , 4-0 , RCD Español
178 , Racing de Santander , 1-0 , Hércules CF
179 , Racing de Santander , 1-0 , UD Las Palmas
180 , Racing de Santander , 2-1 , Rayo Vallecano
181 , Racing de Santander , 1-0 , Real Madrid
182 , Racing de Santander , 2-2 , Real Sociedad
183 , Racing de Santander , 0-3 , UD Salamanca
184 , Racing de Santander , 1-1 , Sevilla FC
185 , Racing de Santander , 1-0 , Sporting de Gijón
186 , Racing de Santander , 2-2 , Valencia CF
187 , Rayo Vallecano , 3-2 , Athletic Bilbao
188 , Rayo Vallecano , 2-0 , Atlético Madrid
189 , Rayo Vallecano , 2-1 , FC Barcelona
190 , Rayo Vallecano , 4-2 , Betis
191 , Rayo Vallecano , 0-0 , Burgos
192 , Rayo Vallecano , 6-1 , Cádiz CF
193 , Rayo Vallecano , 0-1 , Elche CF
194 , Rayo Vallecano , 1-1 , RCD Español
195 , Rayo Vallecano , 2-1 , Hércules CF
196 , Rayo Vallecano , 1-1 , UD Las Palmas
197 , Rayo Vallecano , 1-0 , Racing de Santander
198 , Rayo Vallecano , 3-2 , Real Madrid
199 , Rayo Vallecano , 1-0 , Real Sociedad
200 , Rayo Vallecano , 3-3 , UD Salamanca
201 , Rayo Vallecano , 4-1 , Sevilla FC
202 , Rayo Vallecano , 3-1 , Sporting de Gijón
203 , Rayo Vallecano , 3-0 , Valencia CF
204 , Real Madrid , 1-0 , Athletic Bilbao
205 , Real Madrid , 4-2 , Atlético Madrid
206 , Real Madrid , 4-0 , FC Barcelona
207 , Real Madrid , 4-0 , Betis
208 , Real Madrid , 3-0 , Burgos
209 , Real Madrid , 2-0 , Cádiz CF
210 , Real Madrid , 5-1 , Elche CF
211 , Real Madrid , 2-1 , RCD Español
212 , Real Madrid , 3-0 , Hércules CF
213 , Real Madrid , 1-1 , UD Las Palmas
214 , Real Madrid , 2-0 , Racing de Santander
215 , Real Madrid , 5-2 , Rayo Vallecano
216 , Real Madrid , 5-0 , Real Sociedad
217 , Real Madrid , 0-0 , UD Salamanca
218 , Real Madrid , 3-0 , Sevilla FC
219 , Real Madrid , 3-2 , Sporting de Gijón
220 , Real Madrid , 1-0 , Valencia CF
221 , Real Sociedad , 2-1 , Athletic Bilbao
222 , Real Sociedad , 4-1 , Atlético Madrid
223 , Real Sociedad , 1-2 , FC Barcelona
224 , Real Sociedad , 3-0 , Betis
225 , Real Sociedad , 3-1 , Burgos
226 , Real Sociedad , 6-1 , Cádiz CF
227 , Real Sociedad , 3-2 , Elche CF
228 , Real Sociedad , 1-1 , RCD Español
