172 , Roma , 2-3 , Lecce
173 , Roma , 2-1 , Milan
174 , Roma , 2-0 , Napoli
175 , Roma , 1-0 , Pisa
176 , Roma , 1-0 , Sampdoria
177 , Roma , 2-0 , Torino
178 , Roma , 1-0 , Udinese
179 , Roma , 2-1 , Verona
180 , Sampdoria , 0-0 , Atalanta
181 , Sampdoria , 0-2 , Avellino
182 , Sampdoria , 2-0 , Bari
183 , Sampdoria , 0-0 , Como
184 , Sampdoria , 2-2 , Fiorentina
185 , Sampdoria , 0-0 , Inter
186 , Sampdoria , 0-0 , Juventus
187 , Sampdoria , 2-0 , Lecce
188 , Sampdoria , 1-1 , Milan
189 , Sampdoria , 2-0 , Napoli
190 , Sampdoria , 3-0 , Pisa
191 , Sampdoria , 1-0 , Roma
192 , Sampdoria , 0-0 , Torino
193 , Sampdoria , 3-0 , Udinese
194 , Sampdoria , 0-0 , Verona
195 , Torino , 0-0 , Atalanta
196 , Torino , 1-0 , Avellino
197 , Torino , 1-0 , Bari
198 , Torino , 1-3 , Como
199 , Torino , 2-1 , Fiorentina
200 , Torino , 1-0 , Inter
201 , Torino , 1-2 , Juventus
202 , Torino , 3-1 , Lecce
203 , Torino , 2-0 , Milan
204 , Torino , 2-1 , Napoli
205 , Torino , 4-1 , Pisa
206 , Torino , 0-1 , Roma
207 , Torino , 1-0 , Sampdoria
208 , Torino , 2-0 , Udinese
209 , Torino , 2-1 , Verona
210 , Udinese , 1-0 , Atalanta
211 , Udinese , 3-1 , Avellino
212 , Udinese , 2-2 , Bari
213 , Udinese , 2-2 , Como
214 , Udinese , 2-2 , Fiorentina
215 , Udinese , 1-1 , Inter
216 , Udinese , 1-2 , Juventus
217 , Udinese , 2-1 , Lecce
218 , Udinese , 0-0 , Milan
219 , Udinese , 2-0 , Napoli
220 , Udinese , 1-1 , Pisa
221 , Udinese , 0-2 , Roma
222 , Udinese , 2-1 , Sampdoria
223 , Udinese , 0-0 , Torino
224 , Udinese , 5-1 , Verona
225 , Verona , 0-3 , Atalanta
226 , Verona , 2-0 , Avellino
227 , Verona , 2-0 , Bari
228 , Verona , 3-0 , Como
229 , Verona , 2-2 , Fiorentina
230 , Verona , 0-0 , Inter
231 , Verona , 0-1 , Juventus
232 , Verona , 2-2 , Lecce
233 , Verona , 1-0 , Milan
234 , Verona , 2-2 , Napoli
235 , Verona , 3-0 , Pisa
236 , Verona , 3-2 , Roma
237 , Verona , 2-1 , Sampdoria
238 , Verona , 1-0 , Torino
239 , Verona , 1-1 , Udinese
shortNames:,,,Atalanta,Avellino,Bari,Como,Fiorentina,Inter,Juventus,Lecce,Milan,Napoli,Pisa,Roma,Sampdoria,Torino,Udinese,Verona
fullNames:,,Atalanta,Avellino,Bari,Como,Fiorentina,Inter,Juventus,Lecce,Milan,Napoli,Pisa,Roma,Sampdoria,Torino,Udinese,Verona
