167 , Marseille , 1-2 , Sochaux
168 , Marseille , 0-1 , Strasbourg
169 , Marseille , 2-3 , Toulon
170 , Marseille , 1-1 , Toulouse
171 , Metz , 2-0 , Auxerre
172 , Metz , 3-0 , Bastia
173 , Metz , 2-3 , Bordeaux
174 , Metz , 3-1 , Brest
175 , Metz , 2-1 , Laval
176 , Metz , 3-0 , Le Havre
177 , Metz , 2-3 , Lens
178 , Metz , 4-0 , Lille
179 , Metz , 3-0 , Marseille
180 , Metz , 3-2 , AS Monaco
181 , Metz , 3-1 , Nancy
182 , Metz , 0-0 , Nantes
183 , Metz , 3-0 , Nice
184 , Metz , 3-1 , PSG
185 , Metz , 4-1 , Rennes
186 , Metz , 2-0 , Sochaux
187 , Metz , 0-0 , Strasbourg
188 , Metz , 0-2 , Toulon
189 , Metz , 1-1 , Toulouse
190 , AS Monaco , 1-0 , Auxerre
191 , AS Monaco , 2-1 , Bastia
192 , AS Monaco , 9-0 , Bordeaux
193 , AS Monaco , 3-1 , Brest
194 , AS Monaco , 1-1 , Laval
195 , AS Monaco , 2-2 , Le Havre
196 , AS Monaco , 1-2 , Lens
197 , AS Monaco , 3-2 , Lille
198 , AS Monaco , 0-0 , Marseille
199 , AS Monaco , 0-0 , Metz
200 , AS Monaco , 1-1 , Nancy
201 , AS Monaco , 1-1 , Nantes
202 , AS Monaco , 0-1 , Nice
203 , AS Monaco , 1-1 , PSG
204 , AS Monaco , 1-0 , Rennes
205 , AS Monaco , 1-0 , Sochaux
206 , AS Monaco , 2-0 , Strasbourg
207 , AS Monaco , 0-2 , Toulon
208 , AS Monaco , 3-0 , Toulouse
209 , Nancy , 1-0 , Auxerre
210 , Nancy , 4-1 , Bastia
211 , Nancy , 1-1 , Bordeaux
212 , Nancy , 2-0 , Brest
213 , Nancy , 1-0 , Laval
214 , Nancy , 3-0 , Le Havre
215 , Nancy , 2-1 , Lens
216 , Nancy , 3-0 , Lille
217 , Nancy , 0-2 , Marseille
218 , Nancy , 0-2 , Metz
219 , Nancy , 1-1 , AS Monaco
