162 , Lecce , 1-0 , Milan
163 , Lecce , 2-0 , Palermo
164 , Lecce , 1-2 , Parma
165 , Lecce , 0-0 , Reggina
166 , Lecce , 2-2 , Roma
167 , Lecce , 0-3 , Sampdoria
168 , Lecce , 3-0 , Siena
169 , Lecce , 1-1 , Treviso
170 , Lecce , 1-2 , Udinese
171 , Livorno , 2-0 , Ascoli
172 , Livorno , 0-1 , Cagliari
173 , Livorno , 0-0 , Chievo
174 , Livorno , 2-0 , Empoli
175 , Livorno , 2-0 , Fiorentina
176 , Livorno , 0-0 , Internazionale
177 , Livorno , 1-3 , Juventus
178 , Livorno , 2-1 , Lazio
179 , Livorno , 2-1 , Lecce
180 , Livorno , 2-2 , Messina
181 , Livorno , 0-3 , Milan
182 , Livorno , 3-1 , Palermo
183 , Livorno , 2-0 , Parma
184 , Livorno , 1-0 , Reggina
185 , Livorno , 0-0 , Roma
186 , Livorno , 0-0 , Sampdoria
187 , Livorno , 2-2 , Siena
188 , Livorno , 1-1 , Treviso
189 , Livorno , 0-2 , Udinese
190 , Messina , 1-1 , Ascoli
191 , Messina , 1-0 , Cagliari
192 , Messina , 2-0 , Chievo
193 , Messina , 0-3 , Empoli
194 , Messina , 2-2 , Fiorentina
195 , Messina , 1-2 , Internazionale
196 , Messina , 2-2 , Juventus
197 , Messina , 1-1 , Lazio
198 , Messina , 2-1 , Lecce
199 , Messina , 0-0 , Livorno
200 , Messina , 1-3 , Milan
201 , Messina , 0-0 , Palermo
202 , Messina , 0-1 , Parma
203 , Messina , 1-1 , Reggina
204 , Messina , 0-2 , Roma
205 , Messina , 1-4 , Sampdoria
206 , Messina , 0-0 , Siena
207 , Messina , 3-1 , Treviso
208 , Messina , 2-1 , Udinese
209 , Milan , 1-0 , Ascoli
210 , Milan , 1-0 , Cagliari
211 , Milan , 4-1 , Chievo
212 , Milan , 3-0 , Empoli
213 , Milan , 3-1 , Fiorentina
214 , Milan , 1-0 , Internazionale
215 , Milan , 3-1 , Juventus
216 , Milan , 2-0 , Lazio
217 , Milan , 2-1 , Lecce
218 , Milan , 2-0 , Livorno
219 , Milan , 4-0 , Messina
220 , Milan , 2-1 , Palermo
221 , Milan , 4-3 , Parma
222 , Milan , 2-1 , Reggina
223 , Milan , 2-1 , Roma
224 , Milan , 1-1 , Sampdoria
225 , Milan , 3-1 , Siena
226 , Milan , 5-0 , Treviso
227 , Milan , 5-1 , Udinese
228 , Palermo , 1-1 , Ascoli
229 , Palermo , 2-2 , Cagliari
230 , Palermo , 2-2 , Chievo
231 , Palermo , 2-2 , Empoli
232 , Palermo , 1-0 , Fiorentina
233 , Palermo , 3-2 , Internazionale
234 , Palermo , 1-2 , Juventus
235 , Palermo , 3-1 , Lazio
236 , Palermo , 3-0 , Lecce
237 , Palermo , 0-2 , Livorno
238 , Palermo , 1-0 , Messina
239 , Palermo , 0-2 , Milan
240 , Palermo , 4-2 , Parma
241 , Palermo , 1-0 , Reggina
242 , Palermo , 3-3 , Roma
243 , Palermo , 0-2 , Sampdoria
244 , Palermo , 1-3 , Siena
245 , Palermo , 1-0 , Treviso
246 , Palermo , 2-0 , Udinese
247 , Parma , 0-0 , Ascoli
248 , Parma , 1-0 , Cagliari
249 , Parma , 2-1 , Chievo
250 , Parma , 1-0 , Empoli
251 , Parma , 2-4 , Fiorentina
252 , Parma , 1-0 , Internazionale
253 , Parma , 1-2 , Juventus
254 , Parma , 1-1 , Lazio
255 , Parma , 2-0 , Lecce
256 , Parma , 2-1 , Livorno
257 , Parma , 1-1 , Messina
258 , Parma , 2-3 , Milan
259 , Parma , 1-1 , Palermo
260 , Parma , 4-0 , Reggina
261 , Parma , 0-3 , Roma
262 , Parma , 1-1 , Sampdoria
263 , Parma , 1-1 , Siena
264 , Parma , 1-1 , Treviso
265 , Parma , 1-2 , Udinese
266 , Reggina , 2-0 , Ascoli
267 , Reggina , 3-1 , Cagliari
268 , Reggina , 1-3 , Chievo
269 , Reggina , 0-2 , Empoli
270 , Reggina , 1-1 , Fiorentina
271 , Reggina , 0-4 , Internazionale
272 , Reggina , 0-2 , Juventus
273 , Reggina , 1-0 , Lazio
274 , Reggina , 2-0 , Lecce
275 , Reggina , 1-1 , Livorno
276 , Reggina , 3-0 , Messina
277 , Reggina , 1-4 , Milan
278 , Reggina , 2-2 , Palermo
279 , Reggina , 2-1 , Parma
280 , Reggina , 0-3 , Roma
281 , Reggina , 2-1 , Sampdoria
282 , Reggina , 1-1 , Siena
283 , Reggina , 1-2 , Treviso
284 , Reggina , 2-0 , Udinese
285 , Roma , 2-1 , Ascoli
286 , Roma , 4-3 , Cagliari
287 , Roma , 4-0 , Chievo
288 , Roma , 1-0 , Empoli
289 , Roma , 1-1 , Fiorentina
290 , Roma , 1-1 , Internazionale
291 , Roma , 1-4 , Juventus
292 , Roma , 1-1 , Lazio
293 , Roma , 3-1 , Lecce
294 , Roma , 3-0 , Livorno
295 , Roma , 2-1 , Messina
296 , Roma , 1-0 , Milan
297 , Roma , 1-2 , Palermo
