170 , Pisa , 2-1 , Fiorentina
171 , Pisa , 2-1 , Inter
172 , Pisa , 1-2 , Juventus
173 , Pisa , 1-3 , Milan
174 , Pisa , 0-2 , Napoli
175 , Pisa , 2-0 , Pescara
176 , Pisa , 1-1 , Roma
177 , Pisa , 0-1 , Sampdoria
178 , Pisa , 2-0 , Torino
179 , Pisa , 0-0 , Verona
180 , Roma , 3-0 , Ascoli
181 , Roma , 0-0 , Avellino
182 , Roma , 2-0 , Cesena
183 , Roma , 3-1 , Como
184 , Roma , 1-0 , Empoli
185 , Roma , 2-1 , Fiorentina
186 , Roma , 3-2 , Inter
187 , Roma , 2-0 , Juventus
188 , Roma , 0-2 , Milan
189 , Roma , 1-1 , Napoli
190 , Roma , 5-1 , Pescara
191 , Roma , 1-0 , Pisa
192 , Roma , 0-2 , Sampdoria
193 , Roma , 1-1 , Torino
194 , Roma , 1-0 , Verona
195 , Sampdoria , 2-0 , Ascoli
196 , Sampdoria , 2-0 , Avellino
197 , Sampdoria , 4-1 , Cesena
198 , Sampdoria , 3-0 , Como
199 , Sampdoria , 2-0 , Empoli
200 , Sampdoria , 1-0 , Fiorentina
201 , Sampdoria , 1-1 , Inter
202 , Sampdoria , 2-2 , Juventus
203 , Sampdoria , 1-1 , Milan
204 , Sampdoria , 0-1 , Napoli
205 , Sampdoria , 2-1 , Pescara
206 , Sampdoria , 0-0 , Pisa
207 , Sampdoria , 0-0 , Roma
208 , Sampdoria , 1-1 , Torino
209 , Sampdoria , 3-1 , Verona
210 , Torino , 2-1 , Ascoli
211 , Torino , 0-0 , Avellino
212 , Torino , 2-2 , Cesena
213 , Torino , 1-1 , Como
214 , Torino , 0-1 , Empoli
215 , Torino , 2-1 , Fiorentina
216 , Torino , 1-1 , Inter
217 , Torino , 2-2 , Juventus
218 , Torino , 1-1 , Milan
219 , Torino , 0-0 , Napoli
220 , Torino , 2-0 , Pescara
221 , Torino , 3-1 , Pisa
222 , Torino , 2-0 , Roma
223 , Torino , 4-1 , Sampdoria
