159 , AS Monaco , 1-2 , Marseille
160 , AS Monaco , 2-1 , Nancy
161 , AS Monaco , 2-1 , FC Nantes
162 , AS Monaco , 0-0 , Nice
163 , AS Monaco , 1-2 , Paris SG
164 , AS Monaco , 0-2 , Rennes
165 , AS Monaco , 2-1 , Sedan
166 , AS Monaco , 1-2 , Saint-Étienne
167 , AS Monaco , 3-0 , Sochaux
168 , AS Monaco , 1-3 , Toulouse
169 , AS Monaco , 0-0 , Troyes
170 , AS Monaco , 3-0 , Valenciennes
171 , Nancy , 1-0 , Auxerre
172 , Nancy , 2-1 , Bordeaux
173 , Nancy , 1-1 , Le Mans
174 , Nancy , 2-1 , Lens
175 , Nancy , 0-1 , Lorient
176 , Nancy , 1-3 , Lille
177 , Nancy , 0-3 , Lyon
178 , Nancy , 2-0 , Marseille
179 , Nancy , 1-0 , AS Monaco
180 , Nancy , 1-0 , FC Nantes
181 , Nancy , 3-0 , Nice
182 , Nancy , 0-3 , Paris SG
183 , Nancy , 0-0 , Rennes
184 , Nancy , 3-1 , Sedan
185 , Nancy , 0-2 , Saint-Étienne
186 , Nancy , 5-2 , Sochaux
187 , Nancy , 2-1 , Toulouse
188 , Nancy , 1-0 , Troyes
189 , Nancy , 1-0 , Valenciennes
190 , FC Nantes , 1-1 , Auxerre
191 , FC Nantes , 0-0 , Bordeaux
192 , FC Nantes , 0-0 , Le Mans
193 , FC Nantes , 0-0 , Lens
194 , FC Nantes , 0-2 , Lorient
195 , FC Nantes , 1-1 , Lille
196 , FC Nantes , 1-3 , Lyon
197 , FC Nantes , 2-1 , Marseille
198 , FC Nantes , 1-0 , AS Monaco
199 , FC Nantes , 2-1 , Nancy
200 , FC Nantes , 1-0 , Nice
201 , FC Nantes , 1-1 , Paris SG
202 , FC Nantes , 0-2 , Rennes
203 , FC Nantes , 0-1 , Sedan
204 , FC Nantes , 2-2 , Saint-Étienne
205 , FC Nantes , 0-2 , Sochaux
206 , FC Nantes , 0-0[1] , Toulouse
207 , FC Nantes , 1-1 , Troyes
208 , FC Nantes , 2-5 , Valenciennes
209 , Nice , 0-0 , Auxerre
210 , Nice , 2-1 , Bordeaux
211 , Nice , 3-3 , Le Mans
212 , Nice , 1-2 , Lens
213 , Nice , 3-0 , Lorient
214 , Nice , 2-1 , Lille
215 , Nice , 1-4 , Lyon
216 , Nice , 2-1 , Marseille
217 , Nice , 1-1 , AS Monaco
218 , Nice , 0-0 , Nancy
219 , Nice , 1-1 , FC Nantes
220 , Nice , 1-0 , Paris SG
221 , Nice , 1-1 , Rennes
222 , Nice , 2-2 , Sedan
223 , Nice , 2-1 , Saint-Étienne
224 , Nice , 0-0 , Sochaux
225 , Nice , 0-1 , Toulouse
226 , Nice , 3-0 , Troyes
227 , Nice , 2-0 , Valenciennes
228 , Paris SG , 0-1 , Auxerre
229 , Paris SG , 0-2 , Bordeaux
230 , Paris SG , 2-1 , Le Mans
231 , Paris SG , 1-3 , Lens
232 , Paris SG , 2-3 , Lorient
233 , Paris SG , 1-0 , Lille
234 , Paris SG , 1-1 , Lyon
235 , Paris SG , 1-3 , Marseille
236 , Paris SG , 4-2 , AS Monaco
237 , Paris SG , 0-0 , Nancy
238 , Paris SG , 4-0 , FC Nantes
239 , Paris SG , 0-0 , Nice
240 , Paris SG , 1-0 , Rennes
241 , Paris SG , 4-2 , Sedan
242 , Paris SG , 0-2 , Saint-Étienne
243 , Paris SG , 0-0 , Sochaux
244 , Paris SG , 0-0 , Toulouse
245 , Paris SG , 2-1 , Troyes
246 , Paris SG , 1-2 , Valenciennes
247 , Rennes , 3-1 , Auxerre
248 , Rennes , 0-0 , Bordeaux
249 , Rennes , 1-1 , Le Mans
250 , Rennes , 0-0 , Lens
251 , Rennes , 4-1 , Lorient
252 , Rennes , 1-2 , Lille
253 , Rennes , 1-0 , Lyon
254 , Rennes , 0-2 , Marseille
255 , Rennes , 1-1 , AS Monaco
256 , Rennes , 1-1 , Nancy
257 , Rennes , 2-0 , FC Nantes
258 , Rennes , 1-0 , Nice
259 , Rennes , 1-0 , Paris SG
260 , Rennes , 0-2 , Sedan
261 , Rennes , 0-0 , Saint-Étienne
262 , Rennes , 2-1 , Sochaux
263 , Rennes , 3-2 , Toulouse
264 , Rennes , 1-1 , Troyes
265 , Rennes , 1-0 , Valenciennes
266 , Sedan , 2-2 , Auxerre
267 , Sedan , 1-1 , Bordeaux
268 , Sedan , 1-2 , Le Mans
269 , Sedan , 2-2 , Lens
270 , Sedan , 3-1 , Lorient
271 , Sedan , 2-0 , Lille
272 , Sedan , 0-1 , Lyon
273 , Sedan , 0-0 , Marseille
274 , Sedan , 0-1 , AS Monaco
275 , Sedan , 2-2 , Nancy
276 , Sedan , 1-1 , FC Nantes
277 , Sedan , 1-1 , Nice
278 , Sedan , 1-0 , Paris SG
279 , Sedan , 1-0 , Rennes
280 , Sedan , 2-2 , Saint-Étienne
281 , Sedan , 1-1 , Sochaux
282 , Sedan , 0-2 , Toulouse
283 , Sedan , 1-2 , Troyes
284 , Sedan , 1-1 , Valenciennes
285 , Saint-Étienne , 2-3 , Auxerre
286 , Saint-Étienne , 0-2 , Bordeaux
287 , Saint-Étienne , 2-0 , Le Mans
288 , Saint-Étienne , 3-2 , Lens
289 , Saint-Étienne , 2-0 , Lorient
290 , Saint-Étienne , 2-1 , Lille
291 , Saint-Étienne , 1-3 , Lyon
292 , Saint-Étienne , 1-2 , Marseille
293 , Saint-Étienne , 0-1 , AS Monaco
294 , Saint-Étienne , 1-0 , Nancy
295 , Saint-Étienne , 2-1 , FC Nantes
296 , Saint-Étienne , 2-1 , Nice
297 , Saint-Étienne , 1-0 , Paris SG
298 , Saint-Étienne , 1-3 , Rennes
299 , Saint-Étienne , 1-2 , Sedan
300 , Saint-Étienne , 1-2 , Sochaux
301 , Saint-Étienne , 3-0 , Toulouse
302 , Saint-Étienne , 3-1 , Troyes
303 , Saint-Étienne , 3-0 , Valenciennes
304 , Sochaux , 1-1 , Auxerre
305 , Sochaux , 2-1 , Bordeaux
306 , Sochaux , 2-0 , Le Mans
307 , Sochaux , 0-3 , Lens
308 , Sochaux , 1-1 , Lorient
309 , Sochaux , 0-0 , Lille
310 , Sochaux , 0-1 , Lyon
311 , Sochaux , 1-0 , Marseille
312 , Sochaux , 2-1 , AS Monaco
313 , Sochaux , 2-1 , Nancy
314 , Sochaux , 1-2 , FC Nantes
315 , Sochaux , 1-1 , Nice
316 , Sochaux , 3-2 , Paris SG
317 , Sochaux , 0-0 , Rennes
318 , Sochaux , 1-1 , Sedan
319 , Sochaux , 1-0 , Saint-Étienne
320 , Sochaux , 4-2 , Toulouse
321 , Sochaux , 1-0 , Troyes
322 , Sochaux , 1-0 , Valenciennes
323 , Toulouse , 2-0 , Auxerre
324 , Toulouse , 3-1 , Bordeaux
325 , Toulouse , 0-1 , Le Mans
326 , Toulouse , 0-1 , Lens
327 , Toulouse , 0-0 , Lorient
328 , Toulouse , 1-0 , Lille
329 , Toulouse , 2-0 , Lyon
330 , Toulouse , 3-0 , Marseille
331 , Toulouse , 1-1 , AS Monaco
332 , Toulouse , 2-2 , Nancy
333 , Toulouse , 0-4 , FC Nantes
334 , Toulouse , 1-0 , Nice
335 , Toulouse , 1-3 , Paris SG
336 , Toulouse , 1-0 , Rennes
337 , Toulouse , 3-1 , Sedan
338 , Toulouse , 1-0 , Saint-Étienne
339 , Toulouse , 1-2 , Sochaux
340 , Toulouse , 1-1 , Troyes
341 , Toulouse , 3-0 , Valenciennes
342 , Troyes , 3-3 , Auxerre
343 , Troyes , 1-0 , Bordeaux
344 , Troyes , 2-2 , Le Mans
345 , Troyes , 3-0 , Lens
346 , Troyes , 3-0 , Lorient
347 , Troyes , 1-1 , Lille
348 , Troyes , 1-0 , Lyon
349 , Troyes , 1-1 , Marseille
350 , Troyes , 0-4 , AS Monaco
351 , Troyes , 0-0 , Nancy
352 , Troyes , 1-0 , FC Nantes
353 , Troyes , 2-0 , Nice
354 , Troyes , 1-1 , Paris SG
355 , Troyes , 2-2 , Rennes
356 , Troyes , 3-2 , Sedan
357 , Troyes , 3-1 , Saint-Étienne
358 , Troyes , 0-1 , Sochaux
359 , Troyes , 1-2 , Toulouse
360 , Troyes , 1-3 , Valenciennes
361 , Valenciennes , 1-3 , Auxerre
362 , Valenciennes , 2-0 , Bordeaux
363 , Valenciennes , 1-1 , Le Mans
364 , Valenciennes , 1-3 , Lens
365 , Valenciennes , 0-0 , Lorient
366 , Valenciennes , 0-3 , Lille
367 , Valenciennes , 0-0 , Lyon
368 , Valenciennes , 0-0 , Marseille
369 , Valenciennes , 2-2 , AS Monaco
370 , Valenciennes , 1-0 , Nancy
371 , Valenciennes , 1-0 , FC Nantes
372 , Valenciennes , 0-1 , Nice
373 , Valenciennes , 0-0 , Paris SG
374 , Valenciennes , 3-1 , Rennes
375 , Valenciennes , 2-1 , Sedan
376 , Valenciennes , 1-0 , Saint-Étienne
377 , Valenciennes , 0-0 , Sochaux
378 , Valenciennes , 0-0 , Toulouse
379 , Valenciennes , 3-1 , Troyes
shortNames:,,Clubs,AUX,BOR,MUC,RCL,LOR,LIL,OL,OM,ASM,NAL,NAN,NIC,PSG,SRF,SED,STE,SOC,TFC,TRO,VAN
fullNames:,,Auxerre,Bordeaux,Le Mans,Lens,Lorient,Lille,Lyon,Marseille,AS Monaco,Nancy,FC Nantes,Nice,Paris SG,Rennes,Sedan,Saint-Étienne,Sochaux,Toulouse,Troyes,Valenciennes
