30 , SO Montpellier , 3-4 , CA Paris
31 , SO Montpellier , 1-0 , Stade Rennais UC
32 , SO Montpellier , 4-2 , SC Fives
33 , SO Montpellier , 1-1 , Red Star Olympique
34 , SO Montpellier , 7-3 , FC Metz
35 , SO Montpellier , 2-0 , Olympique Alès
36 , CA Paris , 2-3 , FC Antibes
37 , CA Paris , 1-1 , AS Cannes
38 , CA Paris , 3-5 , FC Sochaux-Montbéliard
39 , CA Paris , 2-2 , SO Montpellier
40 , CA Paris , 3-1 , Stade Rennais UC
41 , CA Paris , 1-2 , SC Fives
42 , CA Paris , 2-2 , Red Star Olympique
43 , CA Paris , 2-1 , FC Metz
44 , CA Paris , 2-1 , Olympique Alès
45 , Stade Rennais UC , 0-0 , FC Antibes
46 , Stade Rennais UC , 5-4 , AS Cannes
47 , Stade Rennais UC , 1-1 , FC Sochaux-Montbéliard
48 , Stade Rennais UC , 6-1 , SO Montpellier
49 , Stade Rennais UC , 3-1 , CA Paris
50 , Stade Rennais UC , 0-1 , SC Fives
51 , Stade Rennais UC , 3-1 , Red Star Olympique
52 , Stade Rennais UC , 4-0 , FC Metz
53 , Stade Rennais UC , 4-0 , Olympique Alès
54 , SC Fives , 0-5 , FC Antibes
55 , SC Fives , 1-1 , AS Cannes
56 , SC Fives , 2-2 , FC Sochaux-Montbéliard
57 , SC Fives , 2-3 , SO Montpellier
58 , SC Fives , 0-2 , CA Paris
59 , SC Fives , 4-4 , Stade Rennais UC
60 , SC Fives , 3-2 , Red Star Olympique
61 , SC Fives , 8-1 , FC Metz
62 , SC Fives , 3-0 , Olympique Alès
63 , Red Star Olympique , 2-3 , FC Antibes
64 , Red Star Olympique , 1-1 , AS Cannes
65 , Red Star Olympique , 0-1 , FC Sochaux-Montbéliard
66 , Red Star Olympique , 4-0 , SO Montpellier
67 , Red Star Olympique , 3-4 , CA Paris
68 , Red Star Olympique , 6-2 , Stade Rennais UC
69 , Red Star Olympique , 0-1 , SC Fives
70 , Red Star Olympique , 2-2 , FC Metz
71 , Red Star Olympique , 5-0 , Olympique Alès
72 , FC Metz , 3-2 , FC Antibes
73 , FC Metz , 0-2 , AS Cannes
74 , FC Metz , 0-3 , FC Sochaux-Montbéliard
75 , FC Metz , 2-1 , SO Montpellier
76 , FC Metz , 2-3 , CA Paris
77 , FC Metz , 1-2 , Stade Rennais UC
78 , FC Metz , 0-0 , SC Fives
79 , FC Metz , 1-7 , Red Star Olympique
80 , FC Metz , 4-0 , Olympique Alès
81 , Olympique Alès , 3-3 , FC Antibes
82 , Olympique Alès , 2-4 , AS Cannes
83 , Olympique Alès , 0-1 , FC Sochaux-Montbéliard
84 , Olympique Alès , 2-2 , SO Montpellier
85 , Olympique Alès , 2-1 , CA Paris
86 , Olympique Alès , 4-4 , Stade Rennais UC
87 , Olympique Alès , 7-4 , SC Fives
88 , Olympique Alès , 0-0 , Red Star Olympique
89 , Olympique Alès , 2-3 , FC Metz
shortNames:,,Dom.\Ext.,Antibes,Cannes,Sochaux,Montpellier,CA Paris,Rennes,Fives,Red Star,Metz,Alès
fullNames:,,FC Antibes,AS Cannes,FC Sochaux-Montbéliard,SO Montpellier,CA Paris,Stade Rennais UC,SC Fives,Red Star Olympique,FC Metz,Olympique Alès
