0 , ATA , 1-0 , BOL
1 , ATA , 0-0 , FIO
2 , ATA , 2-2 , GEN
3 , ATA , 1-1 , INT
4 , ATA , 1-1 , JUV
5 , ATA , 3-0 , LRV
6 , ATA , 1-1 , LAZ
7 , ATA , 4-3 , MIL
8 , ATA , 1-2 , NAP
9 , ATA , 2-1 , NOV
10 , ATA , 0-2 , PAD
11 , ATA , 4-1 , PPA
12 , ATA , 1-1 , ROM
13 , ATA , 4-1 , SAM
14 , ATA , 4-3 , SPA
15 , ATA , 1-2 , TOR
16 , ATA , 2-0 , TRI
17 , BOL , 1-0 , ATA
18 , BOL , 0-2 , FIO
19 , BOL , 4-1 , GEN
20 , BOL , 2-3 , INT
21 , BOL , 0-1 , JUV
22 , BOL , 1-1 , LRV
23 , BOL , 0-2 , LAZ
24 , BOL , 2-1 , MIL
25 , BOL , 3-1 , NAP
26 , BOL , 3-2 , NOV
27 , BOL , 3-1 , PAD
28 , BOL , 6-1 , PPA
29 , BOL , 1-0 , ROM
30 , BOL , 5-2 , SAM
31 , BOL , 2-2 , SPA
32 , BOL , 6-1 , TOR
33 , BOL , 3-1 , TRI
34 , FIO , 4-1 , ATA
35 , FIO , 0-0 , BOL
36 , FIO , 3-1 , GEN
37 , FIO , 0-0 , INT
38 , FIO , 2-0 , JUV
39 , FIO , 2-0 , LRV
40 , FIO , 4-1 , LAZ
41 , FIO , 3-0 , MIL
42 , FIO , 0-0 , NAP
43 , FIO , 4-2 , NOV
44 , FIO , 1-0 , PAD
45 , FIO , 4-1 , PPA
46 , FIO , 2-0 , ROM
47 , FIO , 0-0 , SAM
48 , FIO , 0-0 , SPA
49 , FIO , 2-0 , TOR
50 , FIO , 1-0 , TRI
51 , GEN , 2-1 , ATA
52 , GEN , 2-1 , BOL
53 , GEN , 3-1 , FIO
54 , GEN , 4-3 , INT
55 , GEN , 0-0 , JUV
56 , GEN , 2-2 , LRV
57 , GEN , 3-3 , LAZ
58 , GEN , 3-1 , MIL
59 , GEN , 3-1 , NAP
60 , GEN , 2-0 , NOV
61 , GEN , 0-0 , PAD
62 , GEN , 3-0 , PPA
63 , GEN , 3-3 , ROM
64 , GEN , 2-1 , SAM
65 , GEN , 1-1 , SPA
66 , GEN , 3-1 , TOR
67 , GEN , 1-0 , TRI
68 , INT , 1-2 , ATA
69 , INT , 0-3 , BOL
70 , INT , 1-3 , FIO
71 , INT , 3-0 , GEN
72 , INT , 0-2 , JUV
73 , INT , 1-0 , LRV
74 , INT , 2-3 , LAZ
75 , INT , 2-1 , MIL
76 , INT , 3-0 , NAP
77 , INT , 2-0 , NOV
78 , INT , 0-1 , PAD
79 , INT , 4-0 , PPA
80 , INT , 1-1 , ROM
81 , INT , 7-1 , SAM
82 , INT , 3-1 , SPA
83 , INT , 1-0 , TOR
84 , INT , 0-0 , TRI
85 , JUV , 2-1 , ATA
86 , JUV , 2-2 , BOL
87 , JUV , 0-4 , FIO
88 , JUV , 1-0 , GEN
89 , JUV , 1-0 , INT
90 , JUV , 0-0 , LRV
91 , JUV , 1-0 , LAZ
92 , JUV , 0-0 , MIL
93 , JUV , 0-1 , NAP
94 , JUV , 2-2 , NOV
95 , JUV , 3-0 , PAD
96 , JUV , 3-1 , PPA
97 , JUV , 0-0 , ROM
98 , JUV , 2-2 , SAM
99 , JUV , 2-2 , SPA
100 , JUV , 0-2 , TOR
101 , JUV , 0-1 , TRI
102 , LRV , 1-0 , ATA
103 , LRV , 2-3 , BOL
104 , LRV , 1-1 , FIO
105 , LRV , 2-1 , GEN
106 , LRV , 0-2 , INT
107 , LRV , 3-2 , JUV
108 , LRV , 0-1 , LAZ
109 , LRV , 1-3 , MIL
110 , LRV , 0-0 , NAP
111 , LRV , 0-0 , NOV
112 , LRV , 0-0 , PAD
113 , LRV , 1-1 , PPA
114 , LRV , 2-0 , ROM
115 , LRV , 0-0 , SAM
116 , LRV , 2-0 , SPA
117 , LRV , 1-0 , TOR
118 , LRV , 1-1 , TRI
119 , LAZ , 2-2 , ATA
120 , LAZ , 2-2 , BOL
121 , LAZ , 2-2 , FIO
122 , LAZ , 2-0 , GEN
123 , LAZ , 2-2 , INT
124 , LAZ , 2-0 , JUV
125 , LAZ , 1-3 , LRV
126 , LAZ , 2-3 , MIL
127 , LAZ , 1-1 , NAP
128 , LAZ , 2-0 , NOV
129 , LAZ , 3-1 , PAD
130 , LAZ , 2-0 , PPA
131 , LAZ , 1-0 , ROM
132 , LAZ , 1-2 , SAM
133 , LAZ , 3-0 , SPA
134 , LAZ , 0-1 , TOR
135 , LAZ , 1-1 , TRI
136 , MIL , 4-1 , ATA
137 , MIL , 3-0 , BOL
138 , MIL , 0-2 , FIO
139 , MIL , 3-2 , GEN
140 , MIL , 1-2 , INT
141 , MIL , 3-1 , JUV
142 , MIL , 0-0 , LRV
143 , MIL , 1-3 , LAZ
144 , MIL , 0-0 , NAP
145 , MIL , 4-2 , NOV
146 , MIL , 4-1 , PAD
147 , MIL , 3-3 , PPA
148 , MIL , 4-1 , ROM
149 , MIL , 6-1 , SAM
150 , MIL , 2-0 , SPA
151 , MIL , 3-1 , TOR
152 , MIL , 1-0 , TRI
153 , NAP , 0-3 , ATA
154 , NAP , 3-3 , BOL
155 , NAP , 2-4 , FIO
156 , NAP , 2-1 , GEN
157 , NAP , 0-2 , INT
158 , NAP , 1-1 , JUV
159 , NAP , 0-0 , LRV
160 , NAP , 1-2 , LAZ
161 , NAP , 2-0 , MIL
162 , NAP , 0-2 , NOV
163 , NAP , 1-0 , PAD
164 , NAP , 8-1 , PPA
165 , NAP , 1-1 , ROM
166 , NAP , 3-1 , SAM
167 , NAP , 2-2 , SPA
168 , NAP , 2-2 , TOR
169 , NAP , 3-2 , TRI
170 , NOV , 2-1 , ATA
171 , NOV , 2-0 , BOL
172 , NOV , 1-1 , FIO
173 , NOV , 1-2 , GEN
174 , NOV , 2-2 , INT
175 , NOV , 0-0 , JUV
176 , NOV , 2-0 , LRV
177 , NOV , 6-2 , LAZ
178 , NOV , 3-4 , MIL
179 , NOV , 1-0 , NAP
180 , NOV , 3-0 , PAD
181 , NOV , 2-1 , PPA
182 , NOV , 2-2 , ROM
183 , NOV , 1-2 , SAM
184 , NOV , 1-1 , SPA
185 , NOV , 1-2 , TOR
186 , NOV , 0-1 , TRI
187 , PAD , 5-1 , ATA
188 , PAD , 3-1 , BOL
189 , PAD , 0-1 , FIO
190 , PAD , 2-1 , GEN
191 , PAD , 1-0 , INT
192 , PAD , 1-1 , JUV
193 , PAD , 3-1 , LRV
194 , PAD , 1-2 , LAZ
195 , PAD , 1-5 , MIL
196 , PAD , 1-1 , NAP
197 , PAD , 2-1 , NOV
198 , PAD , 2-1 , PPA
199 , PAD , 2-0 , ROM
200 , PAD , 1-3 , SAM
201 , PAD , 0-0 , SPA
202 , PAD , 2-0 , TOR
203 , PAD , 4-0 , TRI
204 , PPA , 2-0 , ATA
205 , PPA , 2-2 , BOL
206 , PPA , 2-2 , FIO
207 , PPA , 1-0 , GEN
208 , PPA , 0-4 , INT
209 , PPA , 2-2 , JUV
210 , PPA , 0-1 , LRV
211 , PPA , 1-2 , LAZ
212 , PPA , 1-1 , MIL
213 , PPA , 0-0 , NAP
214 , PPA , 0-0 , NOV
215 , PPA , 0-2 , PAD
216 , PPA , 3-5 , ROM
217 , PPA , 2-0 , SAM
218 , PPA , 1-2 , SPA
219 , PPA , 1-1 , TOR
220 , PPA , 1-4 , TRI
221 , ROM , 3-2 , ATA
222 , ROM , 2-0 , BOL
223 , ROM , 1-1 , FIO
224 , ROM , 2-0 , GEN
225 , ROM , 1-0 , INT
226 , ROM , 1-1 , JUV
227 , ROM , 4-1 , LRV
228 , ROM , 0-0 , LAZ
229 , ROM , 0-0 , MIL
230 , ROM , 2-1 , NAP
231 , ROM , 2-1 , NOV
232 , ROM , 1-1 , PAD
233 , ROM , 1-0 , PPA
234 , ROM , 1-2 , SAM
235 , ROM , 1-1 , SPA
236 , ROM , 2-1 , TOR
237 , ROM , 4-1 , TRI
238 , SAM , 4-0 , ATA
239 , SAM , 2-5 , BOL
240 , SAM , 0-0 , FIO
241 , SAM , 0-0 , GEN
242 , SAM , 3-2 , INT
243 , SAM , 2-0 , JUV
244 , SAM , 1-3 , LRV
245 , SAM , 1-1 , LAZ
246 , SAM , 2-2 , MIL
247 , SAM , 3-0 , NAP
248 , SAM , 1-1 , NOV
249 , SAM , 0-1 , PAD
250 , SAM , 7-0 , PPA
251 , SAM , 1-0 , ROM
252 , SAM , 3-1 , SPA
253 , SAM , 0-0 , TOR
254 , SAM , 1-0 , TRI
255 , SPA , 0-0 , ATA
256 , SPA , 2-1 , BOL
257 , SPA , 0-1 , FIO
258 , SPA , 1-0 , GEN
259 , SPA , 0-1 , INT
260 , SPA , 0-0 , JUV
261 , SPA , 5-0 , LRV
262 , SPA , 1-0 , LAZ
263 , SPA , 0-0 , MIL
264 , SPA , 1-2 , NAP
265 , SPA , 2-0 , NOV
266 , SPA , 2-0 , PAD
267 , SPA , 2-1 , PPA
268 , SPA , 1-0 , ROM
269 , SPA , 1-1 , SAM
270 , SPA , 1-2 , TOR
271 , SPA , 4-0 , TRI
272 , TOR , 1-3 , ATA
273 , TOR , 1-0 , BOL
274 , TOR , 0-1 , FIO
275 , TOR , 2-2 , GEN
276 , TOR , 0-2 , INT
277 , TOR , 0-0 , JUV
278 , TOR , 0-0 , LRV
279 , TOR , 2-2 , LAZ
280 , TOR , 1-1 , MIL
281 , TOR , 1-4 , NAP
282 , TOR , 2-1 , NOV
283 , TOR , 2-0 , PAD
284 , TOR , 6-0 , PPA
285 , TOR , 2-1 , ROM
286 , TOR , 2-1 , SAM
287 , TOR , 0-0 , SPA
288 , TOR , 5-0 , TRI
289 , TRI , 0-0 , ATA
290 , TRI , 1-3 , BOL
291 , TRI , 1-1 , FIO
292 , TRI , 2-0 , GEN
293 , TRI , 0-0 , INT
294 , TRI , 1-1 , JUV
295 , TRI , 0-2 , LRV
296 , TRI , 1-0 , LAZ
297 , TRI , 1-3 , MIL
298 , TRI , 2-1 , NAP
299 , TRI , 0-0 , NOV
300 , TRI , 1-0 , PAD
301 , TRI , 1-0 , PPA
