190 , M60 , 0-3 , DOR
191 , M60 , 4-1 , DUI
192 , M60 , 2-0 , FRA
193 , M60 , 3-1 , FRE
194 , M60 , 0-0 , HAM
195 , M60 , 2-1 , KAI
196 , M60 , 1-2 , LEV
197 , M60 , 1-0 , FCB
198 , M60 , 4-3 , ROS
199 , M60 , 3-3 , S04
200 , M60 , 1-1 , STU
201 , M60 , 4-1 , ULM
202 , M60 , 2-1 , UHA
203 , M60 , 1-2 , WOL
204 , ROS , 0-1 , BSC
205 , ROS , 2-1 , BIE
206 , ROS , 1-1 , BRE
207 , ROS , 1-0 , DOR
208 , ROS , 3-1 , DUI
209 , ROS , 3-1 , FRA
210 , ROS , 1-1 , FRE
211 , ROS , 3-3 , HAM
212 , ROS , 4-2 , KAI
213 , ROS , 1-1 , LEV
214 , ROS , 0-3 , FCB
215 , ROS , 0-0 , M60
216 , ROS , 1-0 , S04
217 , ROS , 1-4 , STU
218 , ROS , 2-1 , ULM
219 , ROS , 1-1 , UHA
220 , ROS , 1-1 , WOL
221 , S04 , 1-1 , BSC
222 , S04 , 1-1 , BIE
223 , S04 , 3-1 , BRE
224 , S04 , 0-0 , DOR
225 , S04 , 3-0 , DUI
226 , S04 , 0-0 , FRA
227 , S04 , 2-2 , FRE
228 , S04 , 1-3 , HAM
229 , S04 , 1-2 , KAI
230 , S04 , 1-1 , LEV
231 , S04 , 1-1 , FCB
232 , S04 , 2-2 , M60
233 , S04 , 0-3 , ROS
234 , S04 , 3-0 , STU
235 , S04 , 0-0 , ULM
236 , S04 , 1-0 , UHA
237 , S04 , 1-1 , WOL
238 , STU , 1-0 , BSC
239 , STU , 3-3 , BIE
240 , STU , 0-0 , BRE
241 , STU , 1-2 , DOR
242 , STU , 4-2 , DUI
243 , STU , 0-2 , FRA
244 , STU , 1-0 , FRE
245 , STU , 1-3 , HAM
246 , STU , 0-1 , KAI
247 , STU , 1-2 , LEV
248 , STU , 2-0 , FCB
249 , STU , 1-3 , M60
250 , STU , 3-1 , ROS
251 , STU , 0-2 , S04
252 , STU , 2-0 , ULM
253 , STU , 0-2 , UHA
254 , STU , 2-5 , WOL
255 , ULM , 0-1 , BSC
256 , ULM , 2-0 , BIE
257 , ULM , 2-1 , BRE
258 , ULM , 0-1 , DOR
259 , ULM , 0-3 , DUI
260 , ULM , 3-0 , FRA
261 , ULM , 1-1 , FRE
262 , ULM , 1-2 , HAM
263 , ULM , 3-1 , KAI
264 , ULM , 1-9 , LEV
265 , ULM , 0-1 , FCB
266 , ULM , 3-0 , M60
267 , ULM , 1-1 , ROS
268 , ULM , 1-1 , S04
269 , ULM , 1-1 , STU
270 , ULM , 1-0 , UHA
271 , ULM , 2-0 , WOL
272 , UHA , 1-1 , BSC
273 , UHA , 2-0 , BIE
274 , UHA , 1-0 , BRE
275 , UHA , 1-0 , DOR
276 , UHA , 2-0 , DUI
277 , UHA , 1-0 , FRA
278 , UHA , 1-0 , FRE
279 , UHA , 1-1 , HAM
280 , UHA , 1-2 , KAI
281 , UHA , 2-0 , LEV
282 , UHA , 0-2 , FCB
283 , UHA , 1-1 , M60
284 , UHA , 1-1 , ROS
285 , UHA , 3-1 , S04
286 , UHA , 2-0 , STU
287 , UHA , 1-0 , ULM
288 , UHA , 1-1 , WOL
289 , WOL , 2-3 , BSC
290 , WOL , 2-0 , BIE
291 , WOL , 2-7 , BRE
292 , WOL , 1-0 , DOR
293 , WOL , 1-0 , DUI
294 , WOL , 1-0 , FRA
295 , WOL , 2-1 , FRE
296 , WOL , 4-4 , HAM
297 , WOL , 3-2 , KAI
298 , WOL , 3-1 , LEV
299 , WOL , 1-1 , FCB
300 , WOL , 2-1 , M60
301 , WOL , 2-0 , ROS
302 , WOL , 0-0 , S04
303 , WOL , 0-2 , STU
304 , WOL , 1-2 , ULM
305 , WOL , 2-2 , UHA
