189 , KÖL , 1-4 , FCB
190 , KÖL , 1-6 , DOR
191 , KÖL , 0-3 , MGL
192 , KÖL , 4-0 , FRE
193 , KÖL , 0-1 , HAM
194 , KÖL , 2-0 , H96
195 , KÖL , 1-0 , BSC
196 , KÖL , 2-0 , HOF
197 , KÖL , 1-1 , KAI
198 , KÖL , 1-1 , MAI
199 , KÖL , 1-2 , NUR
200 , KÖL , 1-4 , S04
201 , KÖL , 1-1 , STU
202 , KÖL , 1-1 , BRE
203 , KÖL , 0-3 , WOL
204 , MAI , 0-1 , AUG
205 , MAI , 2-0 , LEV
206 , MAI , 3-2 , FCB
207 , MAI , 1-2 , DOR
208 , MAI , 0-3 , MGL
209 , MAI , 3-1 , FRE
210 , MAI , 0-0 , HAM
211 , MAI , 1-1 , H96
212 , MAI , 1-3 , BSC
213 , MAI , 0-4 , HOF
214 , MAI , 4-0 , KAI
215 , MAI , 4-0 , KÖL
216 , MAI , 2-1 , NUR
217 , MAI , 2-4 , S04
218 , MAI , 3-1 , STU
219 , MAI , 1-3 , BRE
220 , MAI , 0-0 , WOL
221 , NUR , 1-0 , AUG
222 , NUR , 1-4 , LEV
223 , NUR , 0-1 , FCB
224 , NUR , 0-2 , DOR
225 , NUR , 1-0 , MGL
226 , NUR , 1-2 , FRE
227 , NUR , 1-1 , HAM
228 , NUR , 1-2 , H96
229 , NUR , 2-0 , BSC
230 , NUR , 0-2 , HOF
231 , NUR , 1-0 , KAI
232 , NUR , 2-1 , KÖL
233 , NUR , 3-3 , MAI
234 , NUR , 4-1 , S04
235 , NUR , 2-2 , STU
236 , NUR , 1-1 , BRE
237 , NUR , 1-3 , WOL
238 , S04 , 3-1 , AUG
239 , S04 , 2-0 , LEV
240 , S04 , 0-2 , FCB
241 , S04 , 1-2 , DOR
242 , S04 , 1-0 , MGL
243 , S04 , 4-2 , FRE
244 , S04 , 3-1 , HAM
245 , S04 , 3-0 , H96
246 , S04 , 4-0 , BSC
247 , S04 , 3-1 , HOF
248 , S04 , 1-2 , KAI
249 , S04 , 5-1 , KÖL
250 , S04 , 1-1 , MAI
251 , S04 , 4-0 , NUR
252 , S04 , 3-1 , STU
253 , S04 , 5-0 , BRE
254 , S04 , 4-0 , WOL
255 , STU , 2-1 , AUG
256 , STU , 0-1 , LEV
257 , STU , 1-2 , FCB
258 , STU , 1-1 , DOR
259 , STU , 0-3 , MGL
260 , STU , 4-1 , FRE
261 , STU , 1-2 , HAM
262 , STU , 3-0 , H96
263 , STU , 5-0 , BSC
264 , STU , 2-0 , HOF
265 , STU , 0-0 , KAI
266 , STU , 2-2 , KÖL
267 , STU , 4-1 , MAI
268 , STU , 1-0 , NUR
269 , STU , 3-0 , S04
270 , STU , 4-1 , BRE
271 , STU , 3-2 , WOL
272 , BRE , 1-1 , AUG
273 , BRE , 1-1 , LEV
274 , BRE , 1-2 , FCB
275 , BRE , 0-2 , DOR
276 , BRE , 2-2 , MGL
277 , BRE , 5-3 , FRE
278 , BRE , 2-0 , HAM
279 , BRE , 3-0 , H96
280 , BRE , 2-1 , BSC
281 , BRE , 1-1 , HOF
282 , BRE , 2-0 , KAI
283 , BRE , 3-2 , KÖL
284 , BRE , 0-3 , MAI
285 , BRE , 0-1 , NUR
286 , BRE , 2-3 , S04
287 , BRE , 2-0 , STU
288 , BRE , 4-1 , WOL
289 , WOL , 1-2 , AUG
290 , WOL , 3-2 , LEV
291 , WOL , 0-1 , FCB
292 , WOL , 1-3 , DOR
293 , WOL , 0-0 , MGL
294 , WOL , 3-2 , FRE
295 , WOL , 2-1 , HAM
296 , WOL , 4-1 , H96
297 , WOL , 2-3 , BSC
298 , WOL , 1-2 , HOF
299 , WOL , 1-0 , KAI
300 , WOL , 1-0 , KÖL
301 , WOL , 2-2 , MAI
302 , WOL , 2-1 , NUR
303 , WOL , 2-1 , S04
304 , WOL , 1-0 , STU
305 , WOL , 3-1 , BRE
