0 , ATA , 0-1 , BOL
1 , ATA , 4-0 , CTN
2 , ATA , 5-1 , FIO
3 , ATA , 0-2 , GEN
4 , ATA , 1-1 , INT
5 , ATA , 2-1 , JUV
6 , ATA , 3-2 , LAZ
7 , ATA , 1-1 , MIL
8 , ATA , 1-1 , NAP
9 , ATA , 4-0 , NOV
10 , ATA , 1-2 , PPA
11 , ATA , 1-1 , ROM
12 , ATA , 1-1 , SAM
13 , ATA , 0-0 , SPA
14 , ATA , 2-0 , TOR
15 , ATA , 0-0 , TRI
16 , ATA , 0-2 , UDI
17 , BOL , 0-0 , ATA
18 , BOL , 4-2 , CTN
19 , BOL , 0-2 , FIO
20 , BOL , 2-1 , GEN
21 , BOL , 3-2 , INT
22 , BOL , 2-1 , JUV
23 , BOL , 2-1 , LAZ
24 , BOL , 1-2 , MIL
25 , BOL , 1-3 , NAP
26 , BOL , 2-2 , NOV
27 , BOL , 5-0 , PPA
28 , BOL , 1-3 , ROM
29 , BOL , 3-1 , SAM
30 , BOL , 2-0 , SPA
31 , BOL , 4-1 , TOR
32 , BOL , 1-1 , TRI
33 , BOL , 2-4 , UDI
34 , CTN , 1-0 , ATA
35 , CTN , 2-2 , BOL
36 , CTN , 0-1 , FIO
37 , CTN , 2-0 , GEN
38 , CTN , 1-1 , INT
39 , CTN , 2-2 , JUV
40 , CTN , 1-0 , LAZ
41 , CTN , 1-3 , MIL
42 , CTN , 1-1 , NAP
43 , CTN , 0-0 , NOV
44 , CTN , 2-1 , PPA
45 , CTN , 2-2 , ROM
46 , CTN , 2-1 , SAM
47 , CTN , 1-0 , SPA
48 , CTN , 2-1 , TOR
49 , CTN , 2-1 , TRI
50 , CTN , 5-0 , UDI
51 , FIO , 2-1 , ATA
52 , FIO , 0-2 , BOL
53 , FIO , 2-1 , CTN
54 , FIO , 2-2 , GEN
55 , FIO , 3-3 , INT
56 , FIO , 0-0 , JUV
57 , FIO , 0-1 , LAZ
58 , FIO , 0-2 , MIL
59 , FIO , 0-0 , NAP
60 , FIO , 1-0 , NOV
61 , FIO , 1-0 , PPA
62 , FIO , 1-1 , ROM
63 , FIO , 1-0 , SAM
64 , FIO , 1-0 , SPA
65 , FIO , 2-2 , TOR
66 , FIO , 4-1 , TRI
67 , FIO , 3-1 , UDI
68 , GEN , 1-0 , ATA
69 , GEN , 1-2 , BOL
70 , GEN , 0-0 , CTN
71 , GEN , 0-0 , FIO
72 , GEN , 2-0 , INT
73 , GEN , 2-0 , JUV
74 , GEN , 2-0 , LAZ
