188 , KÖL , 4-1 , BRE
189 , KÖL , 1-1 , DOR
190 , KÖL , 1-1 , DUI
191 , KÖL , 2-0 , DÜS
192 , KÖL , 2-1 , RWE
193 , KÖL , 1-4 , FRA
194 , KÖL , 0-0 , HAM
195 , KÖL , 1-1 , H96
196 , KÖL , 2-1 , KAI
197 , KÖL , 2-2 , KAR
198 , KÖL , 1-2 , MGL
199 , KÖL , 2-0 , M60
200 , KÖL , 2-4 , FCB
201 , KÖL , 2-0 , NUR
202 , KÖL , 2-1 , S04
203 , KÖL , 3-1 , STU
204 , MGL , 0-0 , BRS
205 , MGL , 1-1 , BRE
206 , MGL , 4-0 , DOR
207 , MGL , 3-3 , DUI
208 , MGL , 3-1 , DÜS
209 , MGL , 4-3 , RWE
210 , MGL , 0-0 , FRA
211 , MGL , 4-2 , HAM
212 , MGL , 2-0 , H96
213 , MGL , 1-1 , KAI
214 , MGL , 3-1 , KAR
215 , MGL , 3-0 , KÖL
216 , MGL , 2-3 , M60
217 , MGL , 1-2 , FCB
218 , MGL , 2-0 , NUR
219 , MGL , 11-0 , S04
220 , MGL , 1-2 , STU
221 , M60 , 2-1 , BRS
222 , M60 , 2-1 , BRE
223 , M60 , 1-2 , DOR
224 , M60 , 3-3 , DUI
225 , M60 , 3-0 , DÜS
226 , M60 , 1-0 , RWE
227 , M60 , 2-1 , FRA
228 , M60 , 2-0 , HAM
229 , M60 , 3-0 , H96
230 , M60 , 3-0 , KAI
231 , M60 , 3-0 , KAR
232 , M60 , 2-1 , KÖL
233 , M60 , 4-3 , MGL
234 , M60 , 1-0 , FCB
235 , M60 , 1-2 , NUR
236 , M60 , 0-2 , S04
237 , M60 , 1-1 , STU
238 , FCB , 2-0 , BRS
239 , FCB , 1-0 , BRE
240 , FCB , 1-0 , DOR
241 , FCB , 2-1 , DUI
242 , FCB , 1-2 , DÜS
243 , FCB , 4-1 , RWE
244 , FCB , 1-2 , FRA
245 , FCB , 3-1 , HAM
246 , FCB , 0-0 , H96
247 , FCB , 5-0 , KAI
248 , FCB , 2-2 , KAR
249 , FCB , 2-0 , KÖL
250 , FCB , 4-3 , MGL
251 , FCB , 3-0 , M60
