193 , MHS , 1-1 , EVI
194 , MHS , 1-1 , GUI
195 , MHS , 0-1 , LIL
196 , MHS , 0-2 , LOR
197 , MHS , 5-1 , OL
198 , MHS , 2-3 , OM
199 , MHS , 1-1 , ASM
200 , MHS , 1-1 , NAN
201 , MHS , 3-1 , NIC
202 , MHS , 1-1 , PSG
203 , MHS , 0-0 , REI
204 , MHS , 0-0 , REN
205 , MHS , 0-1 , STE
206 , MHS , 2-1 , SOC
207 , MHS , 2-1 , TFC
208 , MHS , 0-0 , VAL
209 , NAN , 2-2 , ACA
210 , NAN , 2-0 , BAS
211 , NAN , 0-0 , BOR
212 , NAN , 3-0 , EVI
213 , NAN , 1-0 , GUI
214 , NAN , 0-1 , LIL
215 , NAN , 1-0 , LOR
216 , NAN , 1-2 , OL
217 , NAN , 1-1 , OM
218 , NAN , 0-1 , ASM
219 , NAN , 2-1 , MHS
220 , NAN , 2-0 , NIC
221 , NAN , 1-2 , PSG
222 , NAN , 0-0 , REI
223 , NAN , 0-3 , REN
224 , NAN , 1-3 , STE
225 , NAN , 1-0 , SOC
226 , NAN , 1-2 , TFC
227 , NAN , 2-1 , VAL
228 , NIC , 2-0 , ACA
229 , NIC , 2-0 , BAS
230 , NIC , 1-2 , BOR
231 , NIC , 3-1 , EVI
232 , NIC , 1-0 , GUI
233 , NIC , 1-0 , LIL
234 , NIC , 1-2 , LOR
235 , NIC , 0-1 , OL
236 , NIC , 1-0 , OM
237 , NIC , 0-3 , ASM
238 , NIC , 2-2 , MHS
239 , NIC , 0-0 , NAN
240 , NIC , 0-1 , PSG
241 , NIC , 1-0 , REI
242 , NIC , 2-1 , REN
243 , NIC , 0-1 , STE
244 , NIC , 1-0 , SOC
245 , NIC , 0-2 , TFC
246 , NIC , 4-0 , VAL
247 , PSG , 1-1 , ACA
248 , PSG , 4-0 , BAS
249 , PSG , 2-0 , BOR
250 , PSG , 1-0 , EVI
251 , PSG , 2-0 , GUI
252 , PSG , 2-2 , LIL
253 , PSG , 4-0 , LOR
254 , PSG , 4-0 , OL
255 , PSG , 2-0 , OM
256 , PSG , 1-1 , ASM
257 , PSG , 4-0 , MHS
258 , PSG , 5-0 , NAN
259 , PSG , 3-1 , NIC
260 , PSG , 3-0 , REI
261 , PSG , 1-2 , REN
262 , PSG , 2-0 , STE
263 , PSG , 5-0 , SOC
264 , PSG , 2-0 , TFC
265 , PSG , 3-0 , VAL
266 , REI , 4-1 , ACA
267 , REI , 4-2 , BAS
268 , REI , 1-0 , BOR
269 , REI , 1-0 , EVI
270 , REI , 1-1 , GUI
271 , REI , 2-1 , LIL
272 , REI , 1-1 , LOR
273 , REI , 0-2 , OL
274 , REI , 1-1 , OM
275 , REI , 1-1 , ASM
276 , REI , 2-4 , MHS
277 , REI , 0-0 , NAN
278 , REI , 1-0 , NIC
279 , REI , 0-3 , PSG
280 , REI , 1-3 , REN
281 , REI , 2-2 , STE
282 , REI , 0-1 , SOC
283 , REI , 1-2 , TFC
284 , REI , 3-1 , VAL
285 , REN , 2-0 , ACA
286 , REN , 3-0 , BAS
287 , REN , 1-1 , BOR
288 , REN , 0-0 , EVI
289 , REN , 0-2 , GUI
290 , REN , 0-0 , LIL
291 , REN , 1-1 , LOR
292 , REN , 2-0 , OL
293 , REN , 1-1 , OM
294 , REN , 0-1 , ASM
295 , REN , 2-2 , MHS
296 , REN , 1-3 , NAN
297 , REN , 0-0 , NIC
298 , REN , 1-3 , PSG
299 , REN , 2-1 , REI
300 , REN , 3-1 , STE
301 , REN , 1-2 , SOC
302 , REN , 2-3 , TFC
303 , REN , 2-2 , VAL
304 , STE , 3-1 , ACA
305 , STE , 2-2 , BAS
306 , STE , 2-1 , BOR
307 , STE , 1-0 , EVI
308 , STE , 1-0 , GUI
309 , STE , 2-0 , LIL
310 , STE , 3-2 , LOR
311 , STE , 1-2 , OL
312 , STE , 1-1 , OM
313 , STE , 2-0 , ASM
314 , STE , 2-0 , MHS
315 , STE , 2-0 , NAN
316 , STE , 1-1 , NIC
317 , STE , 2-2 , PSG
318 , STE , 4-0 , REI
319 , STE , 0-0 , REN
320 , STE , 3-1 , SOC
321 , STE , 1-2 , TFC
322 , STE , 3-0 , VAL
323 , SOC , 0-0 , ACA
324 , SOC , 1-1 , BAS
325 , SOC , 2-0 , BOR
326 , SOC , 0-3 , EVI
327 , SOC , 1-0 , GUI
328 , SOC , 0-2 , LIL
329 , SOC , 2-0 , LOR
330 , SOC , 1-3 , OL
331 , SOC , 1-1 , OM
332 , SOC , 2-2 , ASM
333 , SOC , 0-2 , MHS
334 , SOC , 1-0 , NAN
335 , SOC , 2-0 , NIC
336 , SOC , 1-1 , PSG
337 , SOC , 0-2 , REI
338 , SOC , 2-1 , REN
339 , SOC , 0-0 , STE
340 , SOC , 2-0 , TFC
341 , SOC , 2-0 , VAL
342 , TFC , 1-1 , ACA
343 , TFC , 1-3 , BAS
344 , TFC , 1-1 , BOR
345 , TFC , 1-1 , EVI
346 , TFC , 0-0 , GUI
347 , TFC , 1-2 , LIL
348 , TFC , 1-0 , LOR
349 , TFC , 0-0 , OL
350 , TFC , 1-1 , OM
351 , TFC , 0-2 , ASM
352 , TFC , 1-1 , MHS
353 , TFC , 1-1 , NAN
354 , TFC , 1-0 , NIC
355 , TFC , 2-4 , PSG
356 , TFC , 3-2 , REI
357 , TFC , 0-5 , REN
358 , TFC , 0-0 , STE
359 , TFC , 5-1 , SOC
360 , TFC , 3-1 , VAL
361 , VAL , 2-3 , ACA
362 , VAL , 3-2 , BAS
363 , VAL , 0-1 , BOR
364 , VAL , 0-1 , EVI
365 , VAL , 1-1 , GUI
366 , VAL , 0-1 , LIL
367 , VAL , 1-1 , LOR
368 , VAL , 1-2 , OL
369 , VAL , 0-1 , OM
370 , VAL , 1-2 , ASM
371 , VAL , 1-1 , MHS
372 , VAL , 2-6 , NAN
373 , VAL , 2-1 , NIC
374 , VAL , 0-1 , PSG
375 , VAL , 1-1 , REI
376 , VAL , 2-1 , REN
377 , VAL , 1-3 , STE
378 , VAL , 2-2 , SOC
379 , VAL , 3-0 , TFC
