189 , NKI , 1-1 , KÖL
190 , NKI , 4-2 , MSV
191 , NKI , 3-0 , M60
192 , NKI , 1-1 , NUR
193 , NKI , 3-2 , S04
194 , NKI , 3-1 , STU
195 , NUR , 2-0 , BSC
196 , NUR , 3-2 , BRS
197 , NUR , 2-3 , BRE
198 , NUR , 1-0 , DOR
199 , NUR , 0-0 , FRA
200 , NUR , 2-3 , HAM
201 , NUR , 1-0 , H96
202 , NUR , 1-0 , KAI
203 , NUR , 4-1 , KAR
204 , NUR , 3-0 , KÖL
205 , NUR , 1-1 , MSV
206 , NUR , 2-2 , M60
207 , NUR , 2-0 , NKI
208 , NUR , 3-2 , S04
209 , NUR , 1-1 , STU
210 , S04 , 3-0 , BSC
211 , S04 , 0-3 , BRS
212 , S04 , 1-0 , BRE
213 , S04 , 2-6 , DOR
214 , S04 , 1-1 , FRA
215 , S04 , 3-1 , HAM
216 , S04 , 2-2 , H96
217 , S04 , 1-0 , KAI
218 , S04 , 1-1 , KAR
219 , S04 , 2-3 , KÖL
220 , S04 , 1-2 , MSV
221 , S04 , 2-2 , M60
222 , S04 , 1-1 , NKI
223 , S04 , 1-3 , NUR
224 , S04 , 3-1 , STU
225 , STU , 1-1 , BSC
226 , STU , 3-1 , BRS
227 , STU , 1-1 , BRE
228 , STU , 3-2 , DOR
229 , STU , 1-2 , FRA
230 , STU , 2-4 , HAM
231 , STU , 0-3 , H96
232 , STU , 1-0 , KAI
233 , STU , 1-2 , KAR
234 , STU , 3-3 , KÖL
235 , STU , 4-2 , MSV
236 , STU , 3-0 , M60
237 , STU , 3-2 , NKI
238 , STU , 3-1 , NUR
239 , STU , 2-1 , S04
