0 , ARS , 3-0 , AST
1 , ARS , 7-1 , BLB
2 , ARS , 3-0 , BOL
3 , ARS , 0-0 , CHE
4 , ARS , 1-0 , EVE
5 , ARS , 1-1 , FUL
6 , ARS , 0-2 , LIV
7 , ARS , 1-0 , MCI
8 , ARS , 1-2 , MUN
9 , ARS , 2-1 , NEW
10 , ARS , 3-3 , NOR
11 , ARS , 1-0 , QPR
12 , ARS , 3-1 , STK
13 , ARS , 2-1 , SUN
14 , ARS , 1-0 , SWA
15 , ARS , 5-2 , TOT
16 , ARS , 3-0 , WBA
17 , ARS , 1-2 , WIG
18 , ARS , 1-1 , WOL
19 , AST , 1-2 , ARS
20 , AST , 3-1 , BLB
21 , AST , 1-2 , BOL
22 , AST , 2-4 , CHE
23 , AST , 1-1 , EVE
24 , AST , 1-0 , FUL
25 , AST , 0-2 , LIV
26 , AST , 0-1 , MCI
27 , AST , 0-1 , MUN
28 , AST , 1-1 , NEW
29 , AST , 3-2 , NOR
30 , AST , 2-2 , QPR
31 , AST , 1-1 , STK
32 , AST , 0-0 , SUN
33 , AST , 0-2 , SWA
34 , AST , 1-1 , TOT
35 , AST , 1-2 , WBA
36 , AST , 2-0 , WIG
37 , AST , 0-0 , WOL
38 , BLB , 4-3 , ARS
39 , BLB , 1-1 , AST
40 , BLB , 1-2 , BOL
41 , BLB , 0-1 , CHE
42 , BLB , 0-1 , EVE
43 , BLB , 3-1 , FUL
44 , BLB , 2-3 , LIV
45 , BLB , 0-4 , MCI
46 , BLB , 0-2 , MUN
47 , BLB , 0-2 , NEW
48 , BLB , 2-0 , NOR
49 , BLB , 3-2 , QPR
50 , BLB , 1-2 , STK
51 , BLB , 2-0 , SUN
52 , BLB , 4-2 , SWA
53 , BLB , 1-2 , TOT
54 , BLB , 1-2 , WBA
55 , BLB , 0-1 , WIG
56 , BLB , 1-2 , WOL
57 , BOL , 0-0 , ARS
58 , BOL , 1-2 , AST
59 , BOL , 2-1 , BLB
60 , BOL , 1-5 , CHE
61 , BOL , 0-2 , EVE
62 , BOL , 0-3 , FUL
63 , BOL , 3-1 , LIV
64 , BOL , 2-3 , MCI
65 , BOL , 0-5 , MUN
66 , BOL , 0-2 , NEW
67 , BOL , 1-2 , NOR
68 , BOL , 2-1 , QPR
69 , BOL , 5-0 , STK
70 , BOL , 0-2 , SUN
71 , BOL , 1-1 , SWA
72 , BOL , 1-4 , TOT
73 , BOL , 2-2 , WBA
74 , BOL , 1-2 , WIG
75 , BOL , 1-1 , WOL
76 , CHE , 3-5 , ARS
77 , CHE , 1-3 , AST
78 , CHE , 2-1 , BLB
79 , CHE , 3-0 , BOL
80 , CHE , 3-1 , EVE
81 , CHE , 1-1 , FUL
82 , CHE , 1-2 , LIV
83 , CHE , 2-1 , MCI
84 , CHE , 3-3 , MUN
85 , CHE , 0-2 , NEW
86 , CHE , 3-1 , NOR
87 , CHE , 6-1 , QPR
88 , CHE , 1-0 , STK
89 , CHE , 1-0 , SUN
90 , CHE , 4-1 , SWA
91 , CHE , 0-0 , TOT
92 , CHE , 2-1 , WBA
93 , CHE , 2-1 , WIG
94 , CHE , 3-0 , WOL
95 , EVE , 0-1 , ARS
96 , EVE , 2-2 , AST
97 , EVE , 1-1 , BLB
98 , EVE , 1-2 , BOL
99 , EVE , 2-0 , CHE
100 , EVE , 4-0 , FUL
101 , EVE , 0-2 , LIV
102 , EVE , 1-0 , MCI
103 , EVE , 0-1 , MUN
104 , EVE , 3-1 , NEW
105 , EVE , 1-1 , NOR
106 , EVE , 0-1 , QPR
107 , EVE , 0-1 , STK
108 , EVE , 4-0 , SUN
109 , EVE , 1-0 , SWA
110 , EVE , 1-0 , TOT
111 , EVE , 2-0 , WBA
112 , EVE , 3-1 , WIG
113 , EVE , 2-1 , WOL
114 , FUL , 2-1 , ARS
115 , FUL , 0-0 , AST
116 , FUL , 1-1 , BLB
117 , FUL , 2-0 , BOL
118 , FUL , 1-1 , CHE
119 , FUL , 1-3 , EVE
120 , FUL , 1-0 , LIV
121 , FUL , 2-2 , MCI
122 , FUL , 0-5 , MUN
123 , FUL , 5-2 , NEW
124 , FUL , 2-1 , NOR
125 , FUL , 6-0 , QPR
126 , FUL , 2-1 , STK
127 , FUL , 2-1 , SUN
128 , FUL , 0-3 , SWA
129 , FUL , 1-3 , TOT
130 , FUL , 1-1 , WBA
131 , FUL , 2-1 , WIG
132 , FUL , 5-0 , WOL
133 , LIV , 1-2 , ARS
134 , LIV , 1-1 , AST
135 , LIV , 1-1 , BLB
136 , LIV , 3-1 , BOL
137 , LIV , 4-1 , CHE
138 , LIV , 3-0 , EVE
139 , LIV , 0-1 , FUL
140 , LIV , 1-1 , MCI
141 , LIV , 1-1 , MUN
142 , LIV , 3-1 , NEW
143 , LIV , 1-1 , NOR
144 , LIV , 1-0 , QPR
