189 , MGL , 1-1 , DOR
190 , MGL , 2-1 , FRA
191 , MGL , 0-4 , HAM
192 , MGL , 2-0 , H96
193 , MGL , 4-1 , KAI
194 , MGL , 1-1 , KAR
195 , MGL , 1-0 , KÖL
196 , MGL , 2-0 , LEV
197 , MGL , 1-1 , WMA
198 , MGL , 2-1 , FCB
199 , MGL , 1-1 , NUR
200 , MGL , 2-2 , STP
201 , MGL , 2-2 , STU
202 , MGL , 1-1 , SKI
203 , MGL , 3-0 , UER
204 , FCB , 5-0 , BOC
205 , FCB , 0-0 , BRE
206 , FCB , 1-1 , DOR
207 , FCB , 3-0 , FRA
208 , FCB , 1-0 , HAM
209 , FCB , 4-0 , H96
210 , FCB , 5-1 , KAI
211 , FCB , 3-2 , KAR
212 , FCB , 2-0 , KÖL
213 , FCB , 2-0 , LEV
214 , FCB , 1-0 , WMA
215 , FCB , 3-0 , MGL
216 , FCB , 1-0 , NUR
217 , FCB , 2-1 , STP
218 , FCB , 3-3 , STU
219 , FCB , 3-0 , SKI
220 , FCB , 5-0 , UER
221 , NUR , 3-1 , BOC
222 , NUR , 0-1 , BRE
223 , NUR , 1-1 , DOR
224 , NUR , 1-1 , FRA
225 , NUR , 1-4 , HAM
226 , NUR , 1-0 , H96
227 , NUR , 1-1 , KAI
228 , NUR , 1-3 , KAR
229 , NUR , 0-2 , KÖL
230 , NUR , 1-1 , LEV
231 , NUR , 1-0 , WMA
232 , NUR , 0-0 , MGL
233 , NUR , 2-1 , FCB
234 , NUR , 5-3 , STP
235 , NUR , 1-0 , STU
236 , NUR , 3-3 , SKI
237 , NUR , 1-0 , UER
238 , STP , 1-0 , BOC
239 , STP , 1-3 , BRE
240 , STP , 1-0 , DOR
241 , STP , 2-0 , FRA
242 , STP , 1-2 , HAM
243 , STP , 1-1 , H96
244 , STP , 1-1 , KAI
245 , STP , 1-0 , KAR
246 , STP , 0-1 , KÖL
247 , STP , 2-0 , LEV
248 , STP , 2-1 , WMA
249 , STP , 1-1 , MGL
250 , STP , 0-0 , FCB
251 , STP , 0-1 , NUR
252 , STP , 2-1 , STU
253 , STP , 1-0 , SKI
254 , STP , 5-1 , UER
255 , STU , 3-1 , BOC
256 , STU , 3-3 , BRE
