191 , ASM , 2-0 , AUX
192 , ASM , 2-2 , BOR
193 , ASM , 0-1 , BRS
194 , ASM , 2-2 , CAE
195 , ASM , 1-1 , RCL
196 , ASM , 1-0 , LIL
197 , ASM , 3-1 , LOR
198 , ASM , 0-2 , OL
199 , ASM , 0-0 , OM
200 , ASM , 0-0 , MHS
201 , ASM , 0-1 , NAL
202 , ASM , 1-1 , NIC
203 , ASM , 1-1 , PSG
204 , ASM , 1-0 , REN
205 , ASM , 0-2 , STE
206 , ASM , 2-1 , SOC
207 , ASM , 0-0 , TFC
208 , ASM , 0-2 , VAL
209 , MHS , 3-1 , ACAA
210 , MHS , 1-1 , AUX
211 , MHS , 1-0 , BOR
212 , MHS , 0-0 , BRS
213 , MHS , 0-0 , CAE
214 , MHS , 1-4 , RCL
215 , MHS , 1-0 , LIL
216 , MHS , 3-1 , LOR
217 , MHS , 1-2 , OL
218 , MHS , 1-2 , OM
219 , MHS , 0-1 , ASM
220 , MHS , 1-2 , NAL
221 , MHS , 1-1 , NIC
222 , MHS , 1-1 , PSG
223 , MHS , 0-1 , REN
224 , MHS , 1-2 , STE
225 , MHS , 2-0 , SOC
226 , MHS , 1-0 , TFC
227 , MHS , 2-1 , VAL
228 , NAL , 0-0 , ACAA
229 , NAL , 3-1 , AUX
230 , NAL , 0-0 , BOR
231 , NAL , 0-2 , BRS
232 , NAL , 2-0 , CAE
233 , NAL , 4-0 , RCL
234 , NAL , 0-1 , LIL
235 , NAL , 1-0 , LOR
236 , NAL , 2-3 , OL
237 , NAL , 1-2 , OM
238 , NAL , 0-4 , ASM
239 , NAL , 1-2 , MHS
240 , NAL , 3-0 , NIC
241 , NAL , 2-0 , PSG
242 , NAL , 0-3 , REN
243 , NAL , 1-1 , STE
244 , NAL , 1-0 , SOC
245 , NAL , 0-2 , TFC
246 , NAL , 2-0 , VAL
247 , NIC , 3-2 , ACAA
248 , NIC , 1-0 , AUX
249 , NIC , 2-1 , BOR
250 , NIC , 1-1 , BRS
251 , NIC , 0-4 , CAE
252 , NIC , 0-0 , RCL
253 , NIC , 0-2 , LIL
254 , NIC , 2-0 , LOR
255 , NIC , 2-2 , OL
256 , NIC , 1-0 , OM
257 , NIC , 3-2 , ASM
258 , NIC , 0-1 , MHS
259 , NIC , 1-1 , NAL
260 , NIC , 0-3 , PSG
261 , NIC , 1-2 , REN
262 , NIC , 2-1 , STE
263 , NIC , 1-0 , SOC
264 , NIC , 2-0 , TFC
265 , NIC , 0-0 , VAL
266 , PSG , 4-0 , ACAA
267 , PSG , 2-3 , AUX
268 , PSG , 1-2 , BOR
269 , PSG , 3-1 , BRS
270 , PSG , 2-1 , CAE
271 , PSG , 0-0 , RCL
272 , PSG , 2-2 , LIL
273 , PSG , 0-0 , LOR
274 , PSG , 1-0 , OL
275 , PSG , 2-1 , OM
276 , PSG , 2-2 , ASM
277 , PSG , 2-2 , MHS
278 , PSG , 2-2 , NAL
279 , PSG , 0-0 , NIC
280 , PSG , 0-0 , REN
281 , PSG , 3-1 , STE
282 , PSG , 2-1 , SOC
283 , PSG , 2-1 , TFC
284 , PSG , 3-1 , VAL
285 , REN , 4-0 , ACAA
286 , REN , 0-0 , AUX
287 , REN , 0-0 , BOR
288 , REN , 2-1 , BRS
289 , REN , 1-1 , CAE
290 , REN , 2-0 , RCL
291 , REN , 1-1 , LIL
292 , REN , 1-2 , LOR
293 , REN , 1-1 , OL
294 , REN , 0-2 , OM
295 , REN , 1-0 , ASM
296 , REN , 0-1 , MHS
297 , REN , 0-2 , NAL
298 , REN , 2-0 , NIC
299 , REN , 1-0 , PSG
300 , REN , 0-0 , STE
301 , REN , 2-1 , SOC
302 , REN , 3-1 , TFC
303 , REN , 1-0 , VAL
304 , STE , 2-0 , ACAA
305 , STE , 1-1 , AUX
306 , STE , 2-2 , BOR
307 , STE , 2-0 , BRS
308 , STE , 1-1 , CAE
309 , STE , 3-1 , RCL
310 , STE , 1-2 , LIL
311 , STE , 1-2 , LOR
312 , STE , 1-4 , OL
313 , STE , 1-1 , OM
314 , STE , 1-1 , ASM
315 , STE , 3-0 , MHS
316 , STE , 2-1 , NAL
317 , STE , 0-2 , NIC
318 , STE , 1-1 , PSG
319 , STE , 1-2 , REN
320 , STE , 3-2 , SOC
321 , STE , 2-1 , TFC
322 , STE , 1-1 , VAL
323 , SOC , 2-1 , ACAA
324 , SOC , 1-1 , AUX
325 , SOC , 1-1 , BOR
326 , SOC , 2-1 , BRS
327 , SOC , 3-2 , CAE
328 , SOC , 3-0 , RCL
329 , SOC , 0-0 , LIL
330 , SOC , 2-0 , LOR
331 , SOC , 0-2 , OL
332 , SOC , 1-2 , OM
333 , SOC , 3-0 , ASM
334 , SOC , 0-0 , MHS
335 , SOC , 1-0 , NAL
336 , SOC , 4-0 , NIC
337 , SOC , 3-1 , PSG
338 , SOC , 5-1 , REN
339 , SOC , 2-1 , STE
340 , SOC , 1-3 , TFC
341 , SOC , 2-1 , VAL
342 , TFC , 2-1 , ACAA
343 , TFC , 0-1 , AUX
344 , TFC , 2-0 , BOR
345 , TFC , 2-0 , BRS
346 , TFC , 1-0 , CAE
347 , TFC , 1-1 , RCL
348 , TFC , 1-1 , LIL
349 , TFC , 3-0 , LOR
350 , TFC , 2-0 , OL
351 , TFC , 0-1 , OM
352 , TFC , 2-0 , ASM
353 , TFC , 0-1 , MHS
354 , TFC , 1-0 , NAL
355 , TFC , 1-1 , NIC
356 , TFC , 0-2 , PSG
357 , TFC , 1-2 , REN
358 , TFC , 0-1 , STE
359 , TFC , 0-1 , SOC
360 , TFC , 0-0 , VAL
361 , VAL , 3-0 , ACAA
362 , VAL , 1-1 , AUX
363 , VAL , 2-2 , BOR
364 , VAL , 3-0 , BRS
