192 , ASM , 1-1 , CAE
193 , ASM , 1-0 , GRE
194 , ASM , 0-1 , HAC
195 , ASM , 3-0 , MFC
196 , ASM , 0-2 , LIL
197 , ASM , 2-0 , LOR
198 , ASM , 0-1 , OL
199 , ASM , 0-1 , OM
200 , ASM , 3-1 , NAL
201 , ASM , 1-2 , NAN
202 , ASM , 1-2 , NIC
203 , ASM , 1-0 , PSG
204 , ASM , 3-1 , REN
205 , ASM , 2-2 , STE
206 , ASM , 1-1 , SOC
207 , ASM , 3-2 , TFC
208 , ASM , 1-1 , VAL
209 , NAL , 0-2 , AUX
210 , NAL , 1-0 , BOR
211 , NAL , 1-1 , CAE
212 , NAL , 2-0 , GRE
213 , NAL , 2-1 , HAC
214 , NAL , 2-2 , MFC
215 , NAL , 0-0 , LIL
216 , NAL , 2-2 , LOR
217 , NAL , 0-2 , OL
218 , NAL , 1-2 , OM
219 , NAL , 0-1 , ASM
220 , NAL , 2-0 , NAN
221 , NAL , 1-2 , NIC
222 , NAL , 1-1 , PSG
223 , NAL , 0-0 , REN
224 , NAL , 1-2 , STE
225 , NAL , 1-1 , SOC
226 , NAL , 0-0 , TFC
227 , NAL , 2-0 , VAL
228 , NAN , 2-1 , AUX
229 , NAN , 1-2 , BOR
230 , NAN , 1-1 , CAE
231 , NAN , 1-1 , GRE
232 , NAN , 1-2 , HAC
233 , NAN , 1-4 , MFC
234 , NAN , 0-2 , LIL
235 , NAN , 1-1 , LOR
236 , NAN , 2-1 , OL
237 , NAN , 1-1 , OM
238 , NAN , 1-1 , ASM
239 , NAN , 0-1 , NAL
240 , NAN , 2-0 , NIC
241 , NAN , 1-4 , PSG
242 , NAN , 1-1 , REN
243 , NAN , 1-0 , STE
244 , NAN , 1-1 , SOC
245 , NAN , 1-1 , TFC
246 , NAN , 2-0 , VAL
247 , NIC , 2-0 , AUX
248 , NIC , 2-2 , BOR
249 , NIC , 2-2 , CAE
250 , NIC , 0-0 , GRE
251 , NIC , 0-0 , HAC
252 , NIC , 2-2 , MFC
253 , NIC , 0-1 , LIL
254 , NIC , 2-0 , LOR
255 , NIC , 1-3 , OL
256 , NIC , 0-2 , OM
257 , NIC , 0-0 , ASM
258 , NIC , 2-1 , NAL
259 , NIC , 2-1 , NAN
260 , NIC , 1-0 , PSG
261 , NIC , 0-1 , REN
262 , NIC , 3-1 , STE
263 , NIC , 1-1 , SOC
264 , NIC , 0-2 , TFC
265 , NIC , 2-0 , VAL
266 , PSG , 1-2 , AUX
267 , PSG , 1-0 , BOR
268 , PSG , 2-0 , CAE
269 , PSG , 0-1 , GRE
270 , PSG , 3-0 , HAC
271 , PSG , 3-1 , MFC
272 , PSG , 1-0 , LIL
273 , PSG , 3-2 , LOR
274 , PSG , 1-0 , OL
275 , PSG , 1-3 , OM
276 , PSG , 0-0 , ASM
277 , PSG , 4-1 , NAL
278 , PSG , 1-0 , NAN
