190 , OM , 2-0 , ACA
191 , OM , 3-0 , AUX
192 , OM , 0-0 , BOR
193 , OM , 1-1 , BRS
194 , OM , 1-1 , CAE
195 , OM , 1-2 , DIJ
196 , OM , 2-0 , EVI
197 , OM , 2-0 , LIL
198 , OM , 2-1 , LOR
199 , OM , 2-2 , OL
200 , OM , 1-3 , MHS
201 , OM , 1-0 , NAL
202 , OM , 2-0 , NIC
203 , OM , 3-0 , PSG
204 , OM , 0-1 , REN
205 , OM , 0-0 , STE
206 , OM , 2-2 , SOC
207 , OM , 0-1 , TFC
208 , OM , 1-1 , VAL
209 , MHS , 3-0 , ACA
210 , MHS , 3-1 , AUX
211 , MHS , 1-0 , BOR
212 , MHS , 1-0 , BRS
213 , MHS , 3-0 , CAE
214 , MHS , 5-3 , DIJ
215 , MHS , 2-2 , EVI
216 , MHS , 1-0 , LIL
217 , MHS , 4-0 , LOR
218 , MHS , 1-0 , OL
219 , MHS , 1-0 , OM
220 , MHS , 2-0 , NAL
221 , MHS , 1-0 , NIC
222 , MHS , 0-3 , PSG
223 , MHS , 4-0 , REN
224 , MHS , 1-0 , STE
225 , MHS , 2-1 , SOC
226 , MHS , 1-1 , TFC
227 , MHS , 1-0 , VAL
228 , NAL , 2-2 , ACA
229 , NAL , 0-0 , AUX
230 , NAL , 2-2 , BOR
231 , NAL , 2-1 , BRS
232 , NAL , 1-1 , CAE
233 , NAL , 1-2 , DIJ
234 , NAL , 1-1 , EVI
235 , NAL , 1-1 , LIL
236 , NAL , 2-2 , LOR
237 , NAL , 2-0 , OL
238 , NAL , 1-3 , OM
239 , NAL , 1-0 , MHS
240 , NAL , 1-0 , NIC
241 , NAL , 2-1 , PSG
242 , NAL , 0-0 , REN
243 , NAL , 3-2 , STE
244 , NAL , 1-2 , SOC
245 , NAL , 0-3 , TFC
246 , NAL , 1-1 , VAL
247 , NIC , 3-0 , ACA
248 , NIC , 1-0 , AUX
249 , NIC , 3-0 , BOR
250 , NIC , 0-0 , BRS
251 , NIC , 1-0 , CAE
252 , NIC , 1-1 , DIJ
253 , NIC , 1-1 , EVI
254 , NIC , 0-1 , LIL
255 , NIC , 2-0 , LOR
256 , NIC , 1-3 , OL
257 , NIC , 1-1 , OM
258 , NIC , 0-1 , MHS
259 , NIC , 1-1 , NAL
260 , NIC , 0-0 , PSG
261 , NIC , 2-0 , REN
262 , NIC , 0-2 , STE
263 , NIC , 1-1 , SOC
264 , NIC , 1-1 , TFC
265 , NIC , 2-0 , VAL
266 , PSG , 4-1 , ACA
267 , PSG , 3-2 , AUX
268 , PSG , 1-1 , BOR
269 , PSG , 1-0 , BRS
270 , PSG , 4-2 , CAE
271 , PSG , 2-0 , DIJ
272 , PSG , 3-1 , EVI
273 , PSG , 0-0 , LIL
274 , PSG , 0-1 , LOR
275 , PSG , 2-0 , OL
276 , PSG , 2-1 , OM
277 , PSG , 2-2 , MHS
278 , PSG , 0-1 , NAL
279 , PSG , 2-1 , NIC
280 , PSG , 3-0 , REN
281 , PSG , 2-0 , STE
282 , PSG , 6-1 , SOC
283 , PSG , 3-1 , TFC
284 , PSG , 2-1 , VAL
285 , REN , 3-1 , ACA
286 , REN , 1-1 , AUX
287 , REN , 1-0 , BOR
288 , REN , 1-1 , BRS
289 , REN , 3-2 , CAE
290 , REN , 5-0 , DIJ
291 , REN , 3-2 , EVI
292 , REN , 1-1 , LIL
293 , REN , 2-0 , LOR
294 , REN , 1-1 , OL
295 , REN , 1-2 , OM
296 , REN , 0-2 , MHS
297 , REN , 1-1 , NAL
298 , REN , 3-1 , NIC
299 , REN , 1-1 , PSG
300 , REN , 1-1 , STE
301 , REN , 1-0 , SOC
302 , REN , 0-1 , TFC
303 , REN , 1-1 , VAL
304 , STE , 3-1 , ACA
305 , STE , 1-1 , AUX
306 , STE , 2-3 , BOR
307 , STE , 2-1 , BRS
308 , STE , 2-0 , CAE
309 , STE , 1-0 , DIJ
310 , STE , 0-2 , EVI
311 , STE , 1-3 , LIL
312 , STE , 4-2 , LOR
313 , STE , 0-1 , OL
314 , STE , 0-0 , OM
315 , STE , 1-1 , MHS
316 , STE , 1-0 , NAL
317 , STE , 2-3 , NIC
318 , STE , 0-1 , PSG
319 , STE , 4-0 , REN
320 , STE , 1-0 , SOC
321 , STE , 1-1 , TFC
322 , STE , 1-0 , VAL
323 , SOC , 0-2 , ACA
324 , SOC , 0-0 , AUX
325 , SOC , 0-3 , BOR
326 , SOC , 2-1 , BRS
327 , SOC , 1-2 , CAE
328 , SOC , 1-0 , DIJ
329 , SOC , 1-1 , EVI
330 , SOC , 0-1 , LIL
331 , SOC , 1-1 , LOR
332 , SOC , 2-1 , OL
333 , SOC , 1-0 , OM
334 , SOC , 1-3 , MHS
335 , SOC , 1-0 , NAL
336 , SOC , 2-0 , NIC
337 , SOC , 0-1 , PSG
338 , SOC , 2-6 , REN
339 , SOC , 2-1 , STE
340 , SOC , 3-0 , TFC
341 , SOC , 1-1 , VAL
342 , TFC , 0-2 , ACA
343 , TFC , 1-0 , AUX
344 , TFC , 3-2 , BOR
345 , TFC , 0-0 , BRS
346 , TFC , 1-0 , CAE
347 , TFC , 2-0 , DIJ
348 , TFC , 2-1 , EVI
349 , TFC , 0-0 , LIL
350 , TFC , 1-1 , LOR
351 , TFC , 3-0 , OL
352 , TFC , 0-0 , OM
353 , TFC , 0-1 , MHS
354 , TFC , 1-0 , NAL
355 , TFC , 0-0 , NIC
356 , TFC , 1-3 , PSG
357 , TFC , 1-0 , REN
358 , TFC , 0-1 , STE
359 , TFC , 2-0 , SOC
360 , TFC , 2-0 , VAL
361 , VAL , 1-2 , ACA
362 , VAL , 2-1 , AUX
363 , VAL , 1-2 , BOR
364 , VAL , 0-0 , BRS
365 , VAL , 3-1 , CAE
366 , VAL , 4-0 , DIJ
367 , VAL , 0-3 , EVI
368 , VAL , 0-0 , LIL
369 , VAL , 2-0 , LOR
370 , VAL , 1-0 , OL
371 , VAL , 1-1 , OM
372 , VAL , 1-0 , MHS
373 , VAL , 1-0 , NAL
374 , VAL , 2-0 , NIC
375 , VAL , 3-4 , PSG
376 , VAL , 1-0 , REN
377 , VAL , 1-2 , STE
378 , VAL , 3-0 , SOC
379 , VAL , 2-0 , TFC
