189 , MGL , 0-7 , BRE
190 , MGL , 4-5 , DOR
191 , MGL , 1-2 , FRA
192 , MGL , 0-0 , HAM
193 , MGL , 2-0 , H96
194 , MGL , 2-0 , KAI
195 , MGL , 1-1 , KAR
196 , MGL , 2-3 , KÖL
197 , MGL , 1-2 , MSV
198 , MGL , 1-1 , M60
199 , MGL , 1-2 , FCB
200 , MGL , 4-1 , NKI
201 , MGL , 8-3 , NUR
202 , MGL , 2-0 , S04
203 , MGL , 1-0 , STU
204 , M60 , 4-0 , TAB
205 , M60 , 1-1 , BRS
206 , M60 , 3-1 , BRE
207 , M60 , 2-1 , DOR
208 , M60 , 4-2 , FRA
209 , M60 , 1-1 , HAM
210 , M60 , 5-0 , H96
211 , M60 , 4-2 , KAI
212 , M60 , 2-0 , KAR
213 , M60 , 2-1 , KÖL
214 , M60 , 3-3 , MSV
215 , M60 , 3-3 , MGL
216 , M60 , 1-0 , FCB
217 , M60 , 4-1 , NKI
218 , M60 , 1-1 , NUR
219 , M60 , 3-0 , S04
220 , M60 , 0-0 , STU
221 , FCB , 2-1 , TAB
222 , FCB , 2-2 , BRS
223 , FCB , 3-1 , BRE
224 , FCB , 0-2 , DOR
225 , FCB , 2-0 , FRA
226 , FCB , 3-0 , HAM
227 , FCB , 3-1 , H96
228 , FCB , 3-0 , KAI
229 , FCB , 5-1 , KAR
230 , FCB , 1-4 , KÖL
231 , FCB , 3-0 , MSV
232 , FCB , 5-2 , MGL
233 , FCB , 3-0 , M60
234 , FCB , 6-0 , NKI
235 , FCB , 0-0 , NUR
236 , FCB , 1-0 , S04
237 , FCB , 0-1 , STU
238 , NKI , 3-1 , TAB
239 , NKI , 1-0 , BRS
240 , NKI , 1-2 , BRE
241 , NKI , 1-3 , DOR
242 , NKI , 1-6 , FRA
243 , NKI , 1-1 , HAM
244 , NKI , 1-0 , H96
245 , NKI , 1-4 , KAI
246 , NKI , 1-0 , KAR
247 , NKI , 2-1 , KÖL
248 , NKI , 0-1 , MSV
249 , NKI , 1-1 , MGL
250 , NKI , 1-9 , M60
251 , NKI , 0-4 , FCB
252 , NKI , 2-1 , NUR
253 , NKI , 1-0 , S04
254 , NKI , 1-2 , STU
255 , NUR , 7-2 , TAB
256 , NUR , 1-1 , BRS
257 , NUR , 2-1 , BRE
258 , NUR , 0-0 , DOR
259 , NUR , 0-0 , FRA
260 , NUR , 5-0 , HAM
261 , NUR , 2-1 , H96
262 , NUR , 1-1 , KAI
263 , NUR , 3-0 , KAR
264 , NUR , 2-0 , KÖL
265 , NUR , 4-1 , MSV
266 , NUR , 2-2 , MGL
267 , NUR , 1-4 , M60
268 , NUR , 2-2 , FCB
269 , NUR , 3-1 , NKI
270 , NUR , 1-0 , S04
271 , NUR , 1-1 , STU
272 , S04 , 4-0 , TAB
273 , S04 , 1-1 , BRS
274 , S04 , 1-6 , BRE
275 , S04 , 2-3 , DOR
276 , S04 , 3-2 , FRA
277 , S04 , 2-1 , HAM
278 , S04 , 1-0 , H96
279 , S04 , 2-1 , KAI
280 , S04 , 0-0 , KAR
281 , S04 , 0-0 , KÖL
282 , S04 , 0-0 , MSV
283 , S04 , 0-0 , MGL
284 , S04 , 0-2 , M60
285 , S04 , 1-1 , FCB
286 , S04 , 2-0 , NKI
287 , S04 , 1-0 , NUR
288 , S04 , 2-0 , STU
289 , STU , 2-0 , TAB
290 , STU , 0-1 , BRS
291 , STU , 0-2 , BRE
292 , STU , 1-1 , DOR
293 , STU , 0-0 , FRA
294 , STU , 1-3 , HAM
295 , STU , 4-2 , H96
296 , STU , 4-1 , KAI
297 , STU , 1-0 , KAR
298 , STU , 0-1 , KÖL
299 , STU , 2-0 , MSV
300 , STU , 5-0 , MGL
301 , STU , 0-0 , M60
302 , STU , 0-1 , FCB
303 , STU , 2-0 , NKI
304 , STU , 1-0 , NUR
305 , STU , 1-0 , S04
