187 , WMA , 1-1 , BWB
188 , WMA , 0-0 , BOC
189 , WMA , 1-0 , BRE
190 , WMA , 2-1 , DOR
191 , WMA , 1-1 , DÜS
192 , WMA , 2-1 , FRA
193 , WMA , 2-2 , HAM
194 , WMA , 5-1 , HOM
195 , WMA , 4-3 , KAI
196 , WMA , 2-0 , KÖL
197 , WMA , 2-1 , LEV
198 , WMA , 1-1 , MGL
199 , WMA , 3-3 , FCB
200 , WMA , 3-0 , NUR
201 , WMA , 2-0 , S04
202 , WMA , 3-2 , STU
203 , WMA , 2-3 , UER
204 , MGL , 2-1 , BWB
205 , MGL , 2-1 , BOC
206 , MGL , 1-2 , BRE
207 , MGL , 2-2 , DOR
208 , MGL , 4-1 , DÜS
209 , MGL , 1-1 , FRA
210 , MGL , 0-3 , HAM
211 , MGL , 5-0 , HOM
212 , MGL , 0-1 , KAI
213 , MGL , 3-1 , KÖL
214 , MGL , 2-1 , LEV
215 , MGL , 7-2 , WMA
216 , MGL , 0-1 , FCB
217 , MGL , 4-0 , NUR
218 , MGL , 3-1 , S04
219 , MGL , 4-0 , STU
220 , MGL , 2-0 , UER
221 , FCB , 2-0 , BWB
222 , FCB , 3-2 , BOC
223 , FCB , 3-2 , BRE
224 , FCB , 2-2 , DOR
225 , FCB , 3-0 , DÜS
226 , FCB , 2-1 , FRA
227 , FCB , 3-1 , HAM
228 , FCB , 3-0 , HOM
229 , FCB , 3-0 , KAI
230 , FCB , 3-0 , KÖL
231 , FCB , 0-3 , LEV
232 , FCB , 3-0 , WMA
233 , FCB , 3-1 , MGL
234 , FCB , 4-0 , NUR
235 , FCB , 1-0 , S04
236 , FCB , 1-0 , STU
237 , FCB , 2-2 , UER
238 , NUR , 7-2 , BWB
239 , NUR , 3-3 , BOC
240 , NUR , 5-1 , BRE
241 , NUR , 1-2 , DOR
242 , NUR , 4-3 , DÜS
243 , NUR , 1-0 , FRA
244 , NUR , 3-3 , HAM
245 , NUR , 2-2 , HOM
246 , NUR , 2-1 , KAI
247 , NUR , 1-1 , KÖL
248 , NUR , 1-1 , LEV
249 , NUR , 1-1 , WMA
250 , NUR , 2-0 , MGL
251 , NUR , 1-2 , FCB
252 , NUR , 2-1 , S04
253 , NUR , 2-1 , STU
254 , NUR , 1-1 , UER
255 , S04 , 3-0 , BWB
256 , S04 , 0-0 , BOC
257 , S04 , 1-0 , BRE
258 , S04 , 2-1 , DOR
259 , S04 , 4-2 , DÜS
260 , S04 , 3-1 , FRA
261 , S04 , 1-1 , HAM
262 , S04 , 4-0 , HOM
263 , S04 , 3-2 , KAI
264 , S04 , 2-4 , KÖL
265 , S04 , 1-2 , LEV
266 , S04 , 3-1 , WMA
267 , S04 , 1-2 , MGL
268 , S04 , 2-2 , FCB
269 , S04 , 2-4 , NUR
270 , S04 , 2-1 , STU
271 , S04 , 2-1 , UER
272 , STU , 1-1 , BWB
273 , STU , 2-4 , BOC
274 , STU , 4-0 , BRE
275 , STU , 3-0 , DOR
276 , STU , 3-0 , DÜS
277 , STU , 4-1 , FRA
278 , STU , 1-1 , HAM
279 , STU , 4-0 , HOM
280 , STU , 1-1 , KAI
281 , STU , 5-1 , KÖL
282 , STU , 1-0 , LEV
283 , STU , 2-1 , WMA
284 , STU , 2-4 , MGL
285 , STU , 1-3 , FCB
286 , STU , 1-1 , NUR
287 , STU , 4-0 , S04
288 , STU , 2-0 , UER
289 , UER , 2-1 , BWB
290 , UER , 3-1 , BOC
291 , UER , 1-1 , BRE
292 , UER , 2-4 , DOR
293 , UER , 4-1 , DÜS
294 , UER , 1-0 , FRA
295 , UER , 1-0 , HAM
296 , UER , 2-1 , HOM
297 , UER , 1-2 , KAI
298 , UER , 3-1 , KÖL
299 , UER , 1-1 , LEV
300 , UER , 3-2 , WMA
301 , UER , 1-1 , MGL
302 , UER , 0-0 , FCB
303 , UER , 3-4 , NUR
304 , UER , 0-0 , S04
305 , UER , 2-2 , STU
