187 , KÖL , 2-1 , BSC
188 , KÖL , 7-1 , TBB
189 , KÖL , 4-1 , BOC
190 , KÖL , 3-0 , BRS
191 , KÖL , 3-1 , BRE
192 , KÖL , 4-2 , DUI
193 , KÖL , 2-2 , DÜS
194 , KÖL , 0-1 , RWE
195 , KÖL , 0-0 , FRA
196 , KÖL , 4-0 , HAM
197 , KÖL , 2-0 , KAI
198 , KÖL , 1-2 , MGL
199 , KÖL , 1-0 , FCB
200 , KÖL , 0-1 , OFF
201 , KÖL , 4-2 , S04
202 , KÖL , 4-2 , STU
203 , KÖL , 4-0 , WUP
204 , MGL , 1-1 , BSC
205 , MGL , 3-1 , TBB
206 , MGL , 3-0 , BOC
207 , MGL , 2-0 , BRS
208 , MGL , 4-2 , BRE
209 , MGL , 4-1 , DUI
210 , MGL , 3-1 , DÜS
211 , MGL , 1-1 , RWE
212 , MGL , 3-0 , FRA
213 , MGL , 1-3 , HAM
214 , MGL , 3-0 , KAI
215 , MGL , 1-1 , KÖL
216 , MGL , 1-2 , FCB
217 , MGL , 5-2 , OFF
218 , MGL , 1-0 , S04
219 , MGL , 5-1 , STU
220 , MGL , 6-2 , WUP
221 , FCB , 2-1 , BSC
222 , FCB , 3-1 , TBB
223 , FCB , 2-1 , BOC
224 , FCB , 1-0 , BRS
225 , FCB , 2-0 , BRE
226 , FCB , 2-1 , DUI
227 , FCB , 4-0 , DÜS
228 , FCB , 2-2 , RWE
229 , FCB , 2-1 , FRA
230 , FCB , 0-1 , HAM
231 , FCB , 2-5 , KAI
232 , FCB , 6-3 , KÖL
233 , FCB , 1-1 , MGL
234 , FCB , 2-3 , OFF
235 , FCB , 0-2 , S04
236 , FCB , 1-1 , STU
237 , FCB , 3-1 , WUP
238 , OFF , 3-1 , BSC
239 , OFF , 3-2 , TBB
240 , OFF , 2-0 , BOC
241 , OFF , 2-1 , BRS
242 , OFF , 5-1 , BRE
243 , OFF , 3-3 , DUI
244 , OFF , 2-3 , DÜS
