188 , LEV , 2-1 , DOR
189 , LEV , 1-1 , DRE
190 , LEV , 2-1 , DUI
191 , LEV , 2-2 , FRA
192 , LEV , 2-1 , FRE
193 , LEV , 1-2 , HAM
194 , LEV , 3-2 , KAI
195 , LEV , 3-1 , KAR
196 , LEV , 2-1 , KÖL
197 , LEV , 3-1 , LEI
198 , LEV , 0-1 , MGL
199 , LEV , 2-1 , FCB
200 , LEV , 4-0 , NUR
201 , LEV , 5-1 , S04
202 , LEV , 1-1 , STU
203 , LEV , 1-1 , W09
204 , MGL , 3-2 , BRE
205 , MGL , 0-0 , DOR
206 , MGL , 2-1 , DRE
207 , MGL , 4-1 , DUI
208 , MGL , 0-4 , FRA
209 , MGL , 1-1 , FRE
210 , MGL , 2-2 , HAM
211 , MGL , 3-1 , KAI
212 , MGL , 1-2 , KAR
213 , MGL , 4-1 , KÖL
214 , MGL , 6-1 , LEI
215 , MGL , 2-2 , LEV
216 , MGL , 2-0 , FCB
217 , MGL , 2-0 , NUR
218 , MGL , 3-2 , S04
219 , MGL , 0-2 , STU
220 , MGL , 3-3 , W09
221 , FCB , 2-0 , BRE
222 , FCB , 0-0 , DOR
223 , FCB , 5-0 , DRE
224 , FCB , 4-0 , DUI
225 , FCB , 2-1 , FRA
226 , FCB , 3-1 , FRE
227 , FCB , 4-0 , HAM
228 , FCB , 4-0 , KAI
229 , FCB , 1-0 , KAR
230 , FCB , 1-0 , KÖL
231 , FCB , 3-0 , LEI
232 , FCB , 1-1 , LEV
233 , FCB , 3-1 , MGL
234 , FCB , 5-0 , NUR
235 , FCB , 2-0 , S04
236 , FCB , 1-3 , STU
237 , FCB , 3-3 , W09
238 , NUR , 0-1 , BRE
239 , NUR , 0-0 , DOR
240 , NUR , 3-0 , DRE
241 , NUR , 0-0 , DUI
242 , NUR , 1-5 , FRA
243 , NUR , 2-2 , FRE
244 , NUR , 0-1 , HAM
245 , NUR , 0-2 , KAI
246 , NUR , 1-1 , KAR
247 , NUR , 1-0 , KÖL
248 , NUR , 5-0 , LEI
249 , NUR , 2-3 , LEV
250 , NUR , 2-4 , MGL
251 , NUR , 2-0 , FCB
252 , NUR , 1-0 , S04
253 , NUR , 1-0 , STU
254 , NUR , 4-1 , W09
255 , S04 , 1-1 , BRE
256 , S04 , 1-0 , DOR
257 , S04 , 0-0 , DRE
258 , S04 , 1-3 , DUI
259 , S04 , 1-3 , FRA
260 , S04 , 1-3 , FRE
261 , S04 , 1-0 , HAM
262 , S04 , 2-0 , KAI
263 , S04 , 2-0 , KAR
264 , S04 , 1-2 , KÖL
265 , S04 , 3-1 , LEI
266 , S04 , 1-1 , LEV
267 , S04 , 2-1 , MGL
268 , S04 , 1-1 , FCB
269 , S04 , 1-2 , NUR
270 , S04 , 0-1 , STU
271 , S04 , 4-1 , W09
272 , STU , 0-0 , BRE
273 , STU , 2-2 , DOR
274 , STU , 3-0 , DRE
275 , STU , 4-0 , DUI
276 , STU , 0-2 , FRA
277 , STU , 0-4 , FRE
278 , STU , 4-0 , HAM
279 , STU , 1-1 , KAI
280 , STU , 3-0 , KAR
281 , STU , 1-1 , KÖL
