193 , LIV , 3-3 , CHA
194 , LIV , 1-1 , CHE
195 , LIV , 2-0 , COV
196 , LIV , 1-2 , DER
197 , LIV , 3-2 , EVE
198 , LIV , 1-3 , LEE
199 , LIV , 0-1 , LEI
200 , LIV , 2-2 , MUN
201 , LIV , 3-1 , MID
202 , LIV , 4-2 , NEW
203 , LIV , 5-1 , NOT
204 , LIV , 2-0 , SHW
205 , LIV , 7-1 , SOU
206 , LIV , 3-2 , TOT
207 , LIV , 2-2 , WHU
208 , LIV , 3-0 , WDN
209 , MUN , 1-1 , ARS
210 , MUN , 2-1 , AST
211 , MUN , 3-2 , BLB
212 , MUN , 4-1 , CHA
213 , MUN , 1-1 , CHE
214 , MUN , 2-0 , COV
215 , MUN , 1-0 , DER
216 , MUN , 3-1 , EVE
217 , MUN , 3-2 , LEE
218 , MUN , 2-2 , LEI
219 , MUN , 2-0 , LIV
220 , MUN , 2-3 , MID
221 , MUN , 0-0 , NEW
222 , MUN , 3-0 , NOT
223 , MUN , 3-0 , SHW
224 , MUN , 2-1 , SOU
225 , MUN , 2-1 , TOT
226 , MUN , 4-1 , WHU
227 , MUN , 5-1 , WDN
228 , MID , 1-6 , ARS
229 , MID , 0-0 , AST
230 , MID , 2-1 , BLB
231 , MID , 2-0 , CHA
232 , MID , 0-0 , CHE
233 , MID , 2-0 , COV
234 , MID , 1-1 , DER
235 , MID , 2-2 , EVE
236 , MID , 0-0 , LEE
237 , MID , 0-0 , LEI
238 , MID , 1-3 , LIV
239 , MID , 0-1 , MUN
240 , MID , 2-2 , NEW
241 , MID , 1-1 , NOT
242 , MID , 4-0 , SHW
243 , MID , 3-0 , SOU
244 , MID , 0-0 , TOT
245 , MID , 1-0 , WHU
246 , MID , 3-1 , WDN
247 , NEW , 1-1 , ARS
248 , NEW , 2-1 , AST
249 , NEW , 1-1 , BLB
250 , NEW , 0-0 , CHA
251 , NEW , 0-1 , CHE
252 , NEW , 4-1 , COV
253 , NEW , 2-1 , DER
254 , NEW , 1-3 , EVE
255 , NEW , 0-3 , LEE
256 , NEW , 1-0 , LEI
257 , NEW , 1-4 , LIV
258 , NEW , 1-2 , MUN
259 , NEW , 1-1 , MID
260 , NEW , 2-0 , NOT
261 , NEW , 1-1 , SHW
262 , NEW , 4-0 , SOU
263 , NEW , 1-1 , TOT
264 , NEW , 0-3 , WHU
265 , NEW , 3-1 , WDN
266 , NOT , 0-1 , ARS
267 , NOT , 2-2 , AST
268 , NOT , 2-2 , BLB
269 , NOT , 0-1 , CHA
270 , NOT , 1-3 , CHE
271 , NOT , 1-0 , COV
272 , NOT , 2-2 , DER
273 , NOT , 0-2 , EVE
274 , NOT , 1-1 , LEE
275 , NOT , 1-0 , LEI
276 , NOT , 2-2 , LIV
277 , NOT , 1-8 , MUN
278 , NOT , 1-2 , MID
279 , NOT , 1-2 , NEW
280 , NOT , 2-0 , SHW
281 , NOT , 1-1 , SOU
282 , NOT , 0-1 , TOT
283 , NOT , 0-0 , WHU
284 , NOT , 0-1 , WDN
285 , SHW , 1-0 , ARS
286 , SHW , 0-1 , AST
287 , SHW , 3-0 , BLB
288 , SHW , 3-0 , CHA
289 , SHW , 0-0 , CHE
290 , SHW , 1-2 , COV
291 , SHW , 0-1 , DER
292 , SHW , 0-0 , EVE
293 , SHW , 0-2 , LEE
294 , SHW , 0-1 , LEI
295 , SHW , 1-0 , LIV
296 , SHW , 3-1 , MUN
297 , SHW , 3-1 , MID
298 , SHW , 1-1 , NEW
299 , SHW , 3-2 , NOT
300 , SHW , 0-0 , SOU
301 , SHW , 0-0 , TOT
302 , SHW , 0-1 , WHU
303 , SHW , 1-2 , WDN
304 , SOU , 0-0 , ARS
305 , SOU , 1-4 , AST
306 , SOU , 3-3 , BLB
307 , SOU , 3-1 , CHA
308 , SOU , 0-2 , CHE
309 , SOU , 2-1 , COV
310 , SOU , 0-1 , DER
311 , SOU , 2-0 , EVE
312 , SOU , 3-0 , LEE
313 , SOU , 2-1 , LEI
314 , SOU , 1-2 , LIV
315 , SOU , 0-3 , MUN
316 , SOU , 3-3 , MID
317 , SOU , 2-1 , NEW
318 , SOU , 1-2 , NOT
319 , SOU , 1-0 , SHW
320 , SOU , 1-1 , TOT
321 , SOU , 1-0 , WHU
322 , SOU , 3-1 , WDN
323 , TOT , 1-3 , ARS
324 , TOT , 1-0 , AST
325 , TOT , 2-1 , BLB
326 , TOT , 2-2 , CHA
327 , TOT , 2-2 , CHE
328 , TOT , 0-0 , COV
329 , TOT , 1-1 , DER
330 , TOT , 4-1 , EVE
