187 , MGL , 0-0 , BIE
188 , MGL , 6-2 , BOC
189 , MGL , 4-1 , BRE
190 , MGL , 5-1 , DOR
191 , MGL , 0-1 , DUI
192 , MGL , 2-0 , DÜS
193 , MGL , 4-3 , FRE
194 , MGL , 3-0 , HAM
195 , MGL , 1-3 , KAR
196 , MGL , 2-1 , KÖL
197 , MGL , 2-2 , LEV
198 , MGL , 2-2 , FCB
199 , MGL , 1-0 , M60
200 , MGL , 2-0 , ROS
201 , MGL , 0-0 , S04
202 , MGL , 0-0 , STP
203 , MGL , 0-1 , STU
204 , FCB , 1-0 , BIE
205 , FCB , 1-1 , BOC
206 , FCB , 1-0 , BRE
207 , FCB , 0-0 , DOR
208 , FCB , 5-2 , DUI
209 , FCB , 5-0 , DÜS
210 , FCB , 0-0 , FRE
211 , FCB , 2-1 , HAM
212 , FCB , 1-0 , KAR
213 , FCB , 3-2 , KÖL
214 , FCB , 4-2 , LEV
215 , FCB , 1-0 , MGL
216 , FCB , 1-1 , M60
217 , FCB , 2-1 , ROS
218 , FCB , 3-0 , S04
219 , FCB , 3-0 , STP
220 , FCB , 4-2 , STU
221 , M60 , 1-3 , BIE
222 , M60 , 0-1 , BOC
223 , M60 , 0-3 , BRE
224 , M60 , 1-3 , DOR
225 , M60 , 1-1 , DUI
226 , M60 , 3-0 , DÜS
227 , M60 , 4-0 , FRE
228 , M60 , 2-1 , HAM
229 , M60 , 1-1 , KAR
230 , M60 , 2-1 , KÖL
231 , M60 , 3-0 , LEV
232 , M60 , 3-0 , MGL
233 , M60 , 3-3 , FCB
234 , M60 , 2-0 , ROS
235 , M60 , 2-1 , S04
236 , M60 , 4-2 , STP
237 , M60 , 2-5 , STU
238 , ROS , 3-1 , BIE
239 , ROS , 0-0 , BOC
240 , ROS , 0-1 , BRE
241 , ROS , 0-1 , DOR
242 , ROS , 0-1 , DUI
243 , ROS , 3-1 , DÜS
244 , ROS , 3-1 , FRE
245 , ROS , 0-1 , HAM
246 , ROS , 2-2 , KAR
247 , ROS , 0-0 , KÖL
248 , ROS , 1-0 , LEV
249 , ROS , 1-0 , MGL
250 , ROS , 0-3 , FCB
251 , ROS , 2-4 , M60
252 , ROS , 0-1 , S04
253 , ROS , 3-1 , STP
254 , ROS , 2-2 , STU
255 , S04 , 0-0 , BIE
256 , S04 , 1-1 , BOC
257 , S04 , 1-1 , BRE
258 , S04 , 1-3 , DOR
259 , S04 , 4-0 , DUI
260 , S04 , 0-1 , DÜS
261 , S04 , 0-2 , FRE
262 , S04 , 2-0 , HAM
263 , S04 , 0-1 , KAR
264 , S04 , 1-1 , KÖL
265 , S04 , 1-2 , LEV
266 , S04 , 0-0 , MGL
267 , S04 , 1-1 , FCB
268 , S04 , 4-1 , M60
269 , S04 , 2-0 , ROS
270 , S04 , 0-0 , STP
271 , S04 , 1-0 , STU
272 , STP , 2-3 , BIE
273 , STP , 2-1 , BOC
274 , STP , 0-3 , BRE
275 , STP , 0-1 , DOR
276 , STP , 0-2 , DUI
277 , STP , 3-0 , DÜS
278 , STP , 2-0 , FRE
279 , STP , 2-2 , HAM
280 , STP , 2-4 , KAR
281 , STP , 0-0 , KÖL
282 , STP , 3-1 , LEV
283 , STP , 1-3 , MGL
284 , STP , 1-2 , FCB
285 , STP , 0-0 , M60
286 , STP , 0-1 , ROS
287 , STP , 4-4 , S04
288 , STP , 2-1 , STU
289 , STU , 4-2 , BIE
290 , STU , 3-1 , BOC
291 , STU , 2-1 , BRE
292 , STU , 4-1 , DOR
293 , STU , 0-2 , DUI
294 , STU , 0-2 , DÜS
295 , STU , 4-2 , FRE
296 , STU , 4-1 , HAM
297 , STU , 1-0 , KAR
298 , STU , 4-0 , KÖL
299 , STU , 1-2 , LEV
300 , STU , 5-0 , MGL
301 , STU , 1-1 , FCB
302 , STU , 1-1 , M60
303 , STU , 5-1 , ROS
304 , STU , 4-0 , S04
305 , STU , 3-0 , STP
