0 , ARS , 2-2 , AST
1 , ARS , 1-1 , BLB
2 , ARS , 3-3 , CHE
3 , ARS , 0-0 , COV
4 , ARS , 2-2 , DER
5 , ARS , 3-1 , EVE
6 , ARS , 3-0 , LEE
7 , ARS , 2-0 , LEI
8 , ARS , 1-2 , LIV
9 , ARS , 1-2 , MUN
10 , ARS , 2-0 , MID
11 , ARS , 0-1 , NEW
12 , ARS , 2-0 , NOT
13 , ARS , 4-1 , SHW
14 , ARS , 3-1 , SOU
15 , ARS , 2-0 , SUN
16 , ARS , 3-1 , TOT
17 , ARS , 2-0 , WHU
18 , ARS , 0-1 , WDN
19 , AST , 2-2 , ARS
20 , AST , 1-0 , BLB
21 , AST , 0-2 , CHE
22 , AST , 2-1 , COV
23 , AST , 2-0 , DER
24 , AST , 3-1 , EVE
25 , AST , 2-0 , LEE
26 , AST , 1-3 , LEI
27 , AST , 1-0 , LIV
28 , AST , 0-0 , MUN
29 , AST , 1-0 , MID
30 , AST , 2-2 , NEW
31 , AST , 2-0 , NOT
32 , AST , 0-1 , SHW
33 , AST , 1-0 , SOU
34 , AST , 1-0 , SUN
35 , AST , 1-1 , TOT
36 , AST , 0-0 , WHU
37 , AST , 5-0 , WDN
38 , BLB , 0-2 , ARS
39 , BLB , 0-2 , AST
40 , BLB , 1-1 , CHE
41 , BLB , 4-0 , COV
42 , BLB , 1-2 , DER
43 , BLB , 1-1 , EVE
44 , BLB , 0-1 , LEE
45 , BLB , 2-4 , LEI
46 , BLB , 3-0 , LIV
47 , BLB , 2-3 , MUN
48 , BLB , 0-0 , MID
49 , BLB , 1-0 , NEW
50 , BLB , 1-1 , NOT
51 , BLB , 4-1 , SHW
52 , BLB , 2-1 , SOU
53 , BLB , 1-0 , SUN
54 , BLB , 0-2 , TOT
55 , BLB , 2-1 , WHU
56 , BLB , 3-1 , WDN
57 , CHE , 0-3 , ARS
58 , CHE , 1-1 , AST
59 , CHE , 1-1 , BLB
60 , CHE , 2-0 , COV
61 , CHE , 3-1 , DER
62 , CHE , 2-2 , EVE
63 , CHE , 0-0 , LEE
64 , CHE , 2-1 , LEI
65 , CHE , 1-0 , LIV
66 , CHE , 1-1 , MUN
67 , CHE , 1-0 , MID
68 , CHE , 1-1 , NEW
69 , CHE , 1-1 , NOT
70 , CHE , 2-2 , SHW
71 , CHE , 1-0 , SOU
72 , CHE , 6-2 , SUN
73 , CHE , 3-1 , TOT
74 , CHE , 3-1 , WHU
75 , CHE , 2-4 , WDN
76 , COV , 1-1 , ARS
77 , COV , 1-2 , AST
78 , COV , 0-0 , BLB
79 , COV , 3-1 , CHE
80 , COV , 1-2 , DER
81 , COV , 0-0 , EVE
82 , COV , 2-1 , LEE
83 , COV , 0-0 , LEI
84 , COV , 0-1 , LIV
85 , COV , 0-2 , MUN
86 , COV , 3-0 , MID
87 , COV , 2-1 , NEW
88 , COV , 0-3 , NOT
89 , COV , 0-0 , SHW
90 , COV , 1-1 , SOU
91 , COV , 2-2 , SUN
92 , COV , 1-2 , TOT
93 , COV , 1-3 , WHU
94 , COV , 1-1 , WDN
95 , DER , 1-3 , ARS
96 , DER , 2-1 , AST
97 , DER , 0-0 , BLB
98 , DER , 3-2 , CHE
99 , DER , 2-1 , COV
100 , DER , 0-1 , EVE
101 , DER , 3-3 , LEE
102 , DER , 2-0 , LEI
103 , DER , 0-1 , LIV
104 , DER , 1-1 , MUN
105 , DER , 2-1 , MID
106 , DER , 0-1 , NEW
107 , DER , 0-0 , NOT
108 , DER , 2-2 , SHW
109 , DER , 1-1 , SOU
110 , DER , 1-0 , SUN
111 , DER , 4-2 , TOT
112 , DER , 1-0 , WHU
113 , DER , 0-2 , WDN
114 , EVE , 0-2 , ARS
115 , EVE , 0-1 , AST
116 , EVE , 0-2 , BLB
117 , EVE , 1-2 , CHE
118 , EVE , 1-1 , COV
119 , EVE , 1-0 , DER
120 , EVE , 0-0 , LEE
121 , EVE , 1-1 , LEI
122 , EVE , 1-1 , LIV
123 , EVE , 0-2 , MUN
124 , EVE , 1-2 , MID
125 , EVE , 2-0 , NEW
126 , EVE , 2-0 , NOT
127 , EVE , 2-0 , SHW
128 , EVE , 7-1 , SOU
129 , EVE , 1-3 , SUN
130 , EVE , 1-0 , TOT
131 , EVE , 2-1 , WHU
132 , EVE , 1-3 , WDN
133 , LEE , 0-0 , ARS
134 , LEE , 0-0 , AST
135 , LEE , 0-0 , BLB
136 , LEE , 2-0 , CHE
137 , LEE , 1-3 , COV
138 , LEE , 0-0 , DER
139 , LEE , 1-0 , EVE
140 , LEE , 3-0 , LEI
141 , LEE , 0-2 , LIV
142 , LEE , 0-4 , MUN
143 , LEE , 1-1 , MID
144 , LEE , 0-1 , NEW
145 , LEE , 2-0 , NOT
146 , LEE , 0-2 , SHW
147 , LEE , 0-0 , SOU
148 , LEE , 3-0 , SUN
149 , LEE , 0-0 , TOT
150 , LEE , 1-0 , WHU
151 , LEE , 1-0 , WDN
152 , LEI , 0-2 , ARS
153 , LEI , 1-0 , AST
154 , LEI , 1-1 , BLB
155 , LEI , 1-3 , CHE
156 , LEI , 0-2 , COV
157 , LEI , 4-2 , DER
158 , LEI , 1-2 , EVE
159 , LEI , 1-0 , LEE
160 , LEI , 0-3 , LIV
161 , LEI , 2-2 , MUN
162 , LEI , 1-3 , MID
163 , LEI , 2-0 , NEW
