0 , BSC , 1-1 , BIE
1 , BSC , 2-2 , BOC
2 , BSC , 0-2 , BRE
3 , BSC , 1-1 , DOR
4 , BSC , 1-3 , DUI
5 , BSC , 0-2 , HAM
6 , BSC , 2-0 , KAI
7 , BSC , 3-1 , KAR
8 , BSC , 1-0 , KÖL
9 , BSC , 2-2 , LEV
10 , BSC , 2-2 , MGL
11 , BSC , 2-1 , FCB
12 , BSC , 2-0 , M60
13 , BSC , 1-1 , ROS
14 , BSC , 1-4 , S04
15 , BSC , 3-0 , STU
16 , BSC , 1-0 , WOL
17 , BIE , 1-3 , BSC
18 , BIE , 0-2 , BOC
19 , BIE , 3-0 , BRE
20 , BIE , 3-1 , DOR
21 , BIE , 3-3 , DUI
22 , BIE , 0-3 , HAM
23 , BIE , 2-2 , KAI
24 , BIE , 2-1 , KAR
25 , BIE , 2-1 , KÖL
26 , BIE , 2-1 , LEV
27 , BIE , 3-1 , MGL
28 , BIE , 4-4 , FCB
29 , BIE , 1-1 , M60
30 , BIE , 0-1 , ROS
31 , BIE , 1-1 , S04
32 , BIE , 2-1 , STU
33 , BIE , 0-1 , WOL
34 , BOC , 2-1 , BSC
35 , BOC , 1-0 , BIE
36 , BOC , 0-1 , BRE
37 , BOC , 2-1 , DOR
38 , BOC , 0-0 , DUI
39 , BOC , 0-0 , HAM
40 , BOC , 1-3 , KAI
41 , BOC , 3-3 , KAR
42 , BOC , 2-1 , KÖL
43 , BOC , 0-0 , LEV
44 , BOC , 3-1 , MGL
45 , BOC , 2-3 , FCB
46 , BOC , 1-0 , M60
47 , BOC , 1-3 , ROS
48 , BOC , 3-0 , S04
49 , BOC , 0-2 , STU
50 , BOC , 2-1 , WOL
51 , BRE , 0-2 , BSC
52 , BRE , 2-1 , BIE
53 , BRE , 1-0 , BOC
54 , BRE , 2-1 , DOR
55 , BRE , 2-2 , DUI
56 , BRE , 0-0 , HAM
57 , BRE , 1-1 , KAI
58 , BRE , 2-4 , KAR
59 , BRE , 3-0 , KÖL
60 , BRE , 2-1 , LEV
61 , BRE , 1-0 , MGL
62 , BRE , 0-3 , FCB
63 , BRE , 3-3 , M60
64 , BRE , 1-1 , ROS
65 , BRE , 2-1 , S04
66 , BRE , 2-2 , STU
67 , BRE , 3-1 , WOL
68 , DOR , 3-0 , BSC
69 , DOR , 3-2 , BIE
70 , DOR , 5-2 , BOC
71 , DOR , 2-2 , BRE
72 , DOR , 3-0 , DUI
73 , DOR , 0-1 , HAM
74 , DOR , 2-2 , KAI
75 , DOR , 2-2 , KAR
76 , DOR , 3-0 , KÖL
77 , DOR , 0-1 , LEV
78 , DOR , 1-2 , MGL
79 , DOR , 0-2 , FCB
80 , DOR , 2-3 , M60
81 , DOR , 3-2 , ROS
82 , DOR , 2-2 , S04
83 , DOR , 3-1 , STU
84 , DOR , 2-1 , WOL
85 , DUI , 0-1 , BSC
86 , DUI , 2-1 , BIE
87 , DUI , 2-0 , BOC
88 , DUI , 2-1 , BRE
89 , DUI , 0-0 , DOR
90 , DUI , 3-0 , HAM
91 , DUI , 1-1 , KAI
92 , DUI , 1-0 , KAR
93 , DUI , 2-2 , KÖL
94 , DUI , 1-1 , LEV
95 , DUI , 4-5 , MGL
