0 , BSC , 1-0 , BIE
1 , BSC , 1-2 , BRE
2 , BSC , 0-0 , DOR
3 , BSC , 3-2 , DUI
4 , BSC , 2-0 , FRA
5 , BSC , 4-2 , HAM
6 , BSC , 1-1 , H96
7 , BSC , 3-0 , KAI
8 , BSC , 2-4 , KÖL
9 , BSC , 1-5 , LEV
10 , BSC , 3-1 , MAI
11 , BSC , 2-2 , MGL
12 , BSC , 0-0 , FCB
13 , BSC , 1-1 , NUR
14 , BSC , 1-2 , S04
15 , BSC , 2-0 , STU
16 , BSC , 3-0 , WOL
17 , BIE , 3-0 , BSC
18 , BIE , 0-1 , BRE
19 , BIE , 1-0 , DOR
20 , BIE , 0-2 , DUI
21 , BIE , 1-0 , FRA
22 , BIE , 0-2 , HAM
23 , BIE , 4-1 , H96
24 , BIE , 0-0 , KAI
25 , BIE , 3-2 , KÖL
26 , BIE , 1-0 , LEV
27 , BIE , 2-0 , MAI
28 , BIE , 0-2 , MGL
29 , BIE , 1-2 , FCB
30 , BIE , 0-0 , NUR
31 , BIE , 0-1 , S04
32 , BIE , 2-1 , STU
33 , BIE , 0-1 , WOL
34 , BRE , 0-3 , BSC
35 , BRE , 5-2 , BIE
36 , BRE , 3-2 , DOR
37 , BRE , 2-0 , DUI
38 , BRE , 4-1 , FRA
39 , BRE , 1-1 , HAM
40 , BRE , 5-0 , H96
41 , BRE , 0-2 , KAI
42 , BRE , 6-0 , KÖL
43 , BRE , 2-1 , LEV
44 , BRE , 4-2 , MAI
45 , BRE , 2-0 , MGL
46 , BRE , 3-0 , FCB
47 , BRE , 6-2 , NUR
48 , BRE , 0-0 , S04
49 , BRE , 1-1 , STU
50 , BRE , 6-1 , WOL
51 , DOR , 2-0 , BSC
52 , DOR , 2-0 , BIE
53 , DOR , 0-1 , BRE
54 , DOR , 2-0 , DUI
55 , DOR , 1-1 , FRA
56 , DOR , 1-1 , HAM
57 , DOR , 0-2 , H96
58 , DOR , 2-1 , KAI
59 , DOR , 2-1 , KÖL
60 , DOR , 1-2 , LEV
61 , DOR , 1-1 , MAI
62 , DOR , 2-1 , MGL
63 , DOR , 1-2 , FCB
64 , DOR , 2-1 , NUR
65 , DOR , 1-2 , S04
66 , DOR , 0-0 , STU
67 , DOR , 3-2 , WOL
68 , DUI , 2-1 , BSC
69 , DUI , 1-1 , BIE
70 , DUI , 3-5 , BRE
71 , DUI , 1-1 , DOR
72 , DUI , 0-1 , FRA
73 , DUI , 0-2 , HAM
74 , DUI , 0-0 , H96
75 , DUI , 2-2 , KAI
76 , DUI , 1-1 , KÖL
77 , DUI , 1-3 , LEV
78 , DUI , 0-0 , MAI
79 , DUI , 1-1 , MGL
80 , DUI , 1-3 , FCB
81 , DUI , 1-0 , NUR
82 , DUI , 1-1 , S04
83 , DUI , 1-1 , STU
84 , DUI , 1-0 , WOL
85 , FRA , 1-1 , BSC
86 , FRA , 3-0 , BIE
87 , FRA , 0-1 , BRE
88 , FRA , 2-0 , DOR
89 , FRA , 5-2 , DUI
90 , FRA , 1-2 , HAM
91 , FRA , 0-1 , H96
92 , FRA , 2-2 , KAI
93 , FRA , 6-3 , KÖL
94 , FRA , 1-4 , LEV
95 , FRA , 0-0 , MAI
96 , FRA , 0-2 , MGL
97 , FRA , 0-1 , FCB
98 , FRA , 1-0 , NUR
99 , FRA , 0-1 , S04
100 , FRA , 1-1 , STU
101 , FRA , 1-1 , WOL
102 , HAM , 2-1 , BSC
103 , HAM , 2-1 , BIE
104 , HAM , 1-2 , BRE
105 , HAM , 2-4 , DOR
106 , HAM , 2-0 , DUI
107 , HAM , 1-1 , FRA
108 , HAM , 1-1 , H96
109 , HAM , 3-0 , KAI
110 , HAM , 3-1 , KÖL
111 , HAM , 0-2 , LEV
112 , HAM , 1-0 , MAI
113 , HAM , 2-0 , MGL
114 , HAM , 2-0 , FCB
115 , HAM , 3-0 , NUR
116 , HAM , 1-0 , S04
117 , HAM , 0-2 , STU
118 , HAM , 0-1 , WOL
119 , H96 , 2-2 , BSC
120 , H96 , 0-1 , BIE
121 , H96 , 0-0 , BRE
122 , H96 , 1-2 , DOR
123 , H96 , 1-1 , DUI
124 , H96 , 2-0 , FRA
125 , H96 , 2-1 , HAM
126 , H96 , 5-1 , KAI
127 , H96 , 1-0 , KÖL
128 , H96 , 2-2 , LEV
129 , H96 , 2-2 , MAI
130 , H96 , 1-1 , MGL
131 , H96 , 1-1 , FCB
132 , H96 , 1-1 , NUR
133 , H96 , 1-2 , S04
134 , H96 , 3-3 , STU
135 , H96 , 2-4 , WOL
136 , KAI , 0-2 , BSC
137 , KAI , 2-0 , BIE
138 , KAI , 1-5 , BRE
139 , KAI , 3-3 , DOR
140 , KAI , 5-3 , DUI
141 , KAI , 1-2 , FRA
142 , KAI , 0-3 , HAM
143 , KAI , 1-0 , H96
144 , KAI , 2-2 , KÖL
145 , KAI , 2-2 , LEV
146 , KAI , 0-2 , MAI
147 , KAI , 3-0 , MGL
148 , KAI , 1-1 , FCB
149 , KAI , 1-3 , NUR
150 , KAI , 0-2 , S04
151 , KAI , 1-1 , STU
152 , KAI , 3-2 , WOL
153 , KÖL , 0-1 , BSC
154 , KÖL , 4-2 , BIE
155 , KÖL , 1-4 , BRE
156 , KÖL , 0-0 , DOR
157 , KÖL , 3-1 , DUI
158 , KÖL , 1-1 , FRA
159 , KÖL , 0-1 , HAM
160 , KÖL , 1-4 , H96
161 , KÖL , 2-3 , KAI
162 , KÖL , 0-3 , LEV
163 , KÖL , 1-0 , MAI
164 , KÖL , 2-1 , MGL
165 , KÖL , 1-2 , FCB
166 , KÖL , 3-4 , NUR
167 , KÖL , 2-2 , S04
168 , KÖL , 0-0 , STU
169 , KÖL , 3-0 , WOL
170 , LEV , 1-2 , BSC
171 , LEV , 1-1 , BIE
172 , LEV , 1-1 , BRE
173 , LEV , 2-1 , DOR
174 , LEV , 3-2 , DUI
175 , LEV , 2-1 , FRA
176 , LEV , 0-1 , HAM
177 , LEV , 0-0 , H96
178 , LEV , 5-1 , KAI
179 , LEV , 2-1 , KÖL
180 , LEV , 1-2 , MAI
181 , LEV , 2-1 , MGL
182 , LEV , 2-5 , FCB
183 , LEV , 2-2 , NUR
184 , LEV , 1-1 , S04
185 , LEV , 1-1 , STU
186 , LEV , 4-0 , WOL
187 , MAI , 2-2 , BSC
188 , MAI , 1-1 , BIE
189 , MAI , 0-2 , BRE
190 , MAI , 1-1 , DOR
191 , MAI , 1-1 , DUI
192 , MAI , 2-2 , FRA
193 , MAI , 1-3 , HAM
194 , MAI , 0-0 , H96
195 , MAI , 0-2 , KAI
196 , MAI , 4-2 , KÖL
197 , MAI , 3-1 , LEV
198 , MAI , 3-0 , MGL
199 , MAI , 2-2 , FCB
200 , MAI , 4-1 , NUR
201 , MAI , 1-0 , S04
202 , MAI , 1-2 , STU
203 , MAI , 5-1 , WOL
204 , MGL , 2-2 , BSC
205 , MGL , 2-0 , BIE
206 , MGL , 2-1 , BRE
207 , MGL , 2-1 , DOR
208 , MGL , 2-1 , DUI
209 , MGL , 4-3 , FRA
210 , MGL , 0-0 , HAM
211 , MGL , 2-2 , H96
212 , MGL , 4-1 , KAI
213 , MGL , 2-0 , KÖL
214 , MGL , 1-1 , LEV
215 , MGL , 1-0 , MAI
216 , MGL , 1-3 , FCB
217 , MGL , 0-1 , NUR
218 , MGL , 0-0 , S04
219 , MGL , 1-1 , STU
220 , MGL , 1-1 , WOL
221 , FCB , 3-0 , BSC
222 , FCB , 2-0 , BIE
223 , FCB , 3-1 , BRE
224 , FCB , 3-3 , DOR
225 , FCB , 4-0 , DUI
226 , FCB , 5-2 , FRA
227 , FCB , 1-2 , HAM
228 , FCB , 1-0 , H96
229 , FCB , 2-1 , KAI
230 , FCB , 2-2 , KÖL
231 , FCB , 1-0 , LEV
232 , FCB , 2-1 , MAI
233 , FCB , 3-0 , MGL
234 , FCB , 2-1 , NUR
235 , FCB , 3-0 , S04
236 , FCB , 3-1 , STU
237 , FCB , 2-0 , WOL
238 , NUR , 2-1 , BSC
239 , NUR , 2-3 , BIE
240 , NUR , 3-1 , BRE
241 , NUR , 1-2 , DOR
242 , NUR , 3-0 , DUI
243 , NUR , 0-1 , FRA
244 , NUR , 2-1 , HAM
245 , NUR , 1-1 , H96
246 , NUR , 3-2 , KAI
247 , NUR , 2-1 , KÖL
248 , NUR , 1-1 , LEV
249 , NUR , 3-0 , MAI
250 , NUR , 5-2 , MGL
251 , NUR , 1-2 , FCB
252 , NUR , 1-1 , S04
253 , NUR , 0-1 , STU
254 , NUR , 1-0 , WOL
255 , S04 , 0-0 , BSC
256 , S04 , 3-1 , BIE
257 , S04 , 2-1 , BRE
258 , S04 , 0-0 , DOR
259 , S04 , 3-0 , DUI
260 , S04 , 2-0 , FRA
261 , S04 , 0-2 , HAM
262 , S04 , 2-0 , H96
263 , S04 , 2-1 , KAI
264 , S04 , 1-1 , KÖL
265 , S04 , 7-4 , LEV
266 , S04 , 1-0 , MAI
267 , S04 , 1-1 , MGL
268 , S04 , 1-1 , FCB
269 , S04 , 2-0 , NUR
270 , S04 , 3-2 , STU
271 , S04 , 2-2 , WOL
272 , STU , 3-3 , BSC
273 , STU , 1-1 , BIE
274 , STU , 0-0 , BRE
275 , STU , 0-0 , DOR
276 , STU , 0-1 , DUI
277 , STU , 0-2 , FRA
278 , STU , 1-2 , HAM
279 , STU , 2-2 , H96
280 , STU , 1-0 , KAI
281 , STU , 2-3 , KÖL
282 , STU , 0-2 , LEV
283 , STU , 2-1 , MAI
284 , STU , 1-1 , MGL
285 , STU , 0-0 , FCB
286 , STU , 1-0 , NUR
287 , STU , 2-0 , S04
288 , STU , 2-1 , WOL
289 , WOL , 1-1 , BSC
290 , WOL , 0-0 , BIE
291 , WOL , 1-1 , BRE
292 , WOL , 2-2 , DOR
293 , WOL , 1-1 , DUI
294 , WOL , 1-0 , FRA
295 , WOL , 0-1 , HAM
296 , WOL , 2-1 , H96
297 , WOL , 2-2 , KAI
298 , WOL , 1-1 , KÖL
299 , WOL , 2-1 , LEV
300 , WOL , 0-3 , MAI
