186 , KÖL , 1-1 , WUP
187 , MGL , 2-2 , BSC
188 , MGL , 6-0 , BOC
189 , MGL , 4-0 , BRS
190 , MGL , 3-1 , BRE
191 , MGL , 4-3 , DUI
192 , MGL , 2-3 , DÜS
193 , MGL , 0-2 , FRA
194 , MGL , 6-1 , HAM
195 , MGL , 3-1 , H96
196 , MGL , 6-2 , KAI
197 , MGL , 5-2 , KÖL
198 , MGL , 0-3 , FCB
199 , MGL , 4-1 , OBH
200 , MGL , 3-2 , OFF
201 , MGL , 4-1 , S04
202 , MGL , 3-4 , STU
203 , MGL , 2-1 , WUP
204 , FCB , 4-0 , BSC
205 , FCB , 5-1 , BOC
206 , FCB , 3-0 , BRS
207 , FCB , 2-1 , BRE
208 , FCB , 2-0 , DUI
209 , FCB , 3-2 , DÜS
210 , FCB , 3-1 , FRA
211 , FCB , 1-0 , HAM
212 , FCB , 7-2 , H96
213 , FCB , 6-0 , KAI
214 , FCB , 1-1 , KÖL
215 , FCB , 3-0 , MGL
216 , FCB , 5-3 , OBH
217 , FCB , 3-1 , OFF
218 , FCB , 5-0 , S04
219 , FCB , 5-1 , STU
220 , FCB , 4-1 , WUP
221 , OBH , 2-1 , BSC
222 , OBH , 1-1 , BOC
223 , OBH , 0-1 , BRS
224 , OBH , 2-3 , BRE
225 , OBH , 4-0 , DUI
226 , OBH , 0-3 , DÜS
227 , OBH , 1-0 , FRA
228 , OBH , 3-1 , HAM
229 , OBH , 1-0 , H96
230 , OBH , 3-1 , KAI
231 , OBH , 2-2 , KÖL
232 , OBH , 1-3 , MGL
233 , OBH , 0-5 , FCB
234 , OBH , 2-1 , OFF
235 , OBH , 2-1 , S04
236 , OBH , 2-2 , STU
237 , OBH , 2-1 , WUP
238 , OFF , 0-0 , BSC
239 , OFF , 4-0 , BOC
240 , OFF , 1-0 , BRS
241 , OFF , 2-1 , BRE
242 , OFF , 4-1 , DUI
243 , OFF , 1-1 , DÜS
244 , OFF , 3-2 , FRA
245 , OFF , 2-1 , HAM
246 , OFF , 2-1 , H96
247 , OFF , 2-2 , KAI
248 , OFF , 2-3 , KÖL
