0 , BSC , 0-1 , BIE
1 , BSC , 1-0 , BRS
2 , BSC , 3-1 , BRE
3 , BSC , 5-2 , DOR
4 , BSC , 3-1 , DUI
5 , BSC , 1-1 , RWE
6 , BSC , 6-2 , FRA
7 , BSC , 2-0 , HAM
8 , BSC , 0-0 , H96
9 , BSC , 5-3 , KAI
10 , BSC , 3-2 , KÖL
11 , BSC , 4-2 , MGL
12 , BSC , 3-3 , FCB
13 , BSC , 3-1 , OBH
14 , BSC , 3-1 , OFF
15 , BSC , 2-1 , S04
16 , BSC , 2-0 , STU
17 , BIE , 1-1 , BSC
18 , BIE , 0-1 , BRS
19 , BIE , 3-0 , BRE
20 , BIE , 2-3 , DOR
21 , BIE , 0-0 , DUI
22 , BIE , 0-0 , RWE
23 , BIE , 1-0 , FRA
24 , BIE , 1-1 , HAM
25 , BIE , 3-1 , H96
26 , BIE , 2-1 , KAI
27 , BIE , 1-0 , KÖL
28 , BIE , 0-2 , MGL
29 , BIE , 1-0 , FCB
30 , BIE , 2-1 , OBH
31 , BIE , 2-0 , OFF
32 , BIE , 0-3 , S04
33 , BIE , 1-0 , STU
34 , BRS , 2-1 , BSC
35 , BRS , 3-2 , BIE
36 , BRS , 1-0 , BRE
37 , BRS , 3-0 , DOR
38 , BRS , 5-0 , DUI
39 , BRS , 1-0 , RWE
40 , BRS , 2-0 , FRA
41 , BRS , 4-1 , HAM
42 , BRS , 0-4 , H96
43 , BRS , 2-0 , KAI
44 , BRS , 3-1 , KÖL
45 , BRS , 1-1 , MGL
46 , BRS , 1-1 , FCB
47 , BRS , 1-1 , OBH
48 , BRS , 3-0 , OFF
49 , BRS , 3-3 , S04
50 , BRS , 4-0 , STU
51 , BRE , 0-0 , BSC
52 , BRE , 4-1 , BIE
53 , BRE , 2-0 , BRS
54 , BRE , 3-1 , DOR
55 , BRE , 0-2 , DUI
56 , BRE , 1-1 , RWE
57 , BRE , 1-0 , FRA
58 , BRE , 2-2 , HAM
59 , BRE , 0-0 , H96
60 , BRE , 1-1 , KAI
61 , BRE , 1-1 , KÖL
62 , BRE , 1-1 , MGL
