189 , MGL , 1-0 , DOR
190 , MGL , 0-4 , FRA
191 , MGL , 2-0 , FRE
192 , MGL , 1-2 , HAM
193 , MGL , 1-2 , H96
194 , MGL , 2-0 , HOF
195 , MGL , 0-1 , KAI
196 , MGL , 5-1 , KÖL
197 , MGL , 2-3 , MAI
198 , MGL , 1-1 , NUR
199 , MGL , 2-1 , S04
200 , MGL , 1-2 , STP
201 , MGL , 2-3 , STU
202 , MGL , 1-4 , BRE
203 , MGL , 1-1 , WOL
204 , NUR , 1-0 , LEV
205 , NUR , 1-1 , FCB
206 , NUR , 0-2 , DOR
207 , NUR , 3-0 , FRA
208 , NUR , 1-2 , FRE
209 , NUR , 2-0 , HAM
210 , NUR , 3-1 , H96
211 , NUR , 1-2 , HOF
212 , NUR , 1-3 , KAI
213 , NUR , 3-1 , KÖL
214 , NUR , 0-0 , MAI
215 , NUR , 0-1 , MGL
216 , NUR , 2-1 , S04
217 , NUR , 5-0 , STP
218 , NUR , 2-1 , STU
219 , NUR , 1-3 , BRE
220 , NUR , 2-1 , WOL
221 , S04 , 0-1 , LEV
222 , S04 , 2-0 , FCB
223 , S04 , 1-3 , DOR
224 , S04 , 2-1 , FRA
225 , S04 , 1-0 , FRE
226 , S04 , 0-1 , HAM
227 , S04 , 1-2 , H96
228 , S04 , 0-1 , HOF
229 , S04 , 0-1 , KAI
230 , S04 , 3-0 , KÖL
231 , S04 , 1-3 , MAI
232 , S04 , 2-2 , MGL
233 , S04 , 1-1 , NUR
234 , S04 , 3-0 , STP
235 , S04 , 2-2 , STU
236 , S04 , 4-0 , BRE
237 , S04 , 1-0 , WOL
238 , STP , 0-1 , LEV
239 , STP , 1-8 , FCB
240 , STP , 1-3 , DOR
241 , STP , 1-3 , FRA
242 , STP , 2-2 , FRE
243 , STP , 1-1 , HAM
244 , STP , 0-1 , H96
245 , STP , 0-1 , HOF
246 , STP , 1-0 , KAI
247 , STP , 3-0 , KÖL
248 , STP , 2-4 , MAI
249 , STP , 3-1 , MGL
250 , STP , 3-2 , NUR
251 , STP , 0-2 , S04
252 , STP , 1-2 , STU
253 , STP , 1-3 , BRE
254 , STP , 1-1 , WOL
255 , STU , 1-4 , LEV
256 , STU , 3-5 , FCB
257 , STU , 1-3 , DOR
258 , STU , 1-2 , FRA
259 , STU , 0-1 , FRE
260 , STU , 3-0 , HAM
261 , STU , 2-1 , H96
262 , STU , 1-1 , HOF
263 , STU , 2-4 , KAI
264 , STU , 0-1 , KÖL
265 , STU , 1-0 , MAI
266 , STU , 7-0 , MGL
267 , STU , 1-4 , NUR
268 , STU , 1-0 , S04
269 , STU , 2-0 , STP
270 , STU , 6-0 , BRE
271 , STU , 1-1 , WOL
272 , BRE , 2-2 , LEV
273 , BRE , 1-3 , FCB
274 , BRE , 2-0 , DOR
275 , BRE , 0-0 , FRA
276 , BRE , 2-1 , FRE
277 , BRE , 3-2 , HAM
278 , BRE , 1-1 , H96
279 , BRE , 2-1 , HOF
280 , BRE , 1-2 , KAI
281 , BRE , 4-2 , KÖL
282 , BRE , 0-2 , MAI
283 , BRE , 1-1 , MGL
284 , BRE , 2-3 , NUR
285 , BRE , 1-1 , S04
286 , BRE , 3-0 , STP
287 , BRE , 1-1 , STU
288 , BRE , 0-1 , WOL
289 , WOL , 2-3 , LEV
290 , WOL , 1-1 , FCB
291 , WOL , 0-3 , DOR
292 , WOL , 1-1 , FRA
293 , WOL , 2-1 , FRE
294 , WOL , 0-1 , HAM
295 , WOL , 2-0 , H96
296 , WOL , 2-2 , HOF
297 , WOL , 1-2 , KAI
298 , WOL , 4-1 , KÖL
299 , WOL , 3-4 , MAI
300 , WOL , 2-1 , MGL
301 , WOL , 1-2 , NUR
302 , WOL , 2-2 , S04
303 , WOL , 2-2 , STP
304 , WOL , 2-0 , STU
305 , WOL , 0-0 , BRE
