0 , BSC , 4-1 , BOC
1 , BSC , 1-0 , BRS
2 , BSC , 0-0 , BRE
3 , BSC , 1-2 , DUI
4 , BSC , 2-2 , DÜS
5 , BSC , 2-2 , RWE
6 , BSC , 4-4 , FRA
7 , BSC , 1-1 , HAM
8 , BSC , 1-0 , H96
9 , BSC , 3-0 , KAI
10 , BSC , 1-1 , KAR
11 , BSC , 2-1 , KÖL
12 , BSC , 3-0 , MGL
13 , BSC , 2-1 , FCB
14 , BSC , 1-0 , OFF
15 , BSC , 2-1 , S04
16 , BSC , 5-0 , UER
17 , BOC , 2-0 , BSC
18 , BOC , 2-0 , BRS
19 , BOC , 0-3 , BRE
20 , BOC , 1-2 , DUI
21 , BOC , 0-1 , DÜS
22 , BOC , 2-1 , RWE
23 , BOC , 5-3 , FRA
24 , BOC , 0-3 , HAM
25 , BOC , 2-0 , H96
26 , BOC , 2-0 , KAI
27 , BOC , 4-2 , KAR
28 , BOC , 1-0 , KÖL
29 , BOC , 2-0 , MGL
30 , BOC , 3-1 , FCB
31 , BOC , 5-1 , OFF
32 , BOC , 1-4 , S04
33 , BOC , 3-0 , UER
34 , BRS , 5-2 , BSC
35 , BRS , 1-1 , BOC
36 , BRS , 3-2 , BRE
37 , BRS , 3-1 , DUI
38 , BRS , 3-1 , DÜS
39 , BRS , 1-1 , RWE
40 , BRS , 2-0 , FRA
41 , BRS , 1-0 , HAM
42 , BRS , 3-2 , H96
43 , BRS , 2-0 , KAI
44 , BRS , 2-0 , KAR
45 , BRS , 0-0 , KÖL
46 , BRS , 0-0 , MGL
47 , BRS , 1-1 , FCB
48 , BRS , 5-1 , OFF
49 , BRS , 4-1 , S04
50 , BRS , 1-0 , UER
51 , BRE , 3-2 , BSC
52 , BRE , 4-1 , BOC
53 , BRE , 0-1 , BRS
54 , BRE , 2-0 , DUI
55 , BRE , 3-0 , DÜS
56 , BRE , 3-3 , RWE
57 , BRE , 1-2 , FRA
58 , BRE , 1-3 , HAM
59 , BRE , 0-0 , H96
60 , BRE , 3-2 , KAI
61 , BRE , 1-0 , KAR
62 , BRE , 3-2 , KÖL
63 , BRE , 2-2 , MGL
64 , BRE , 0-0 , FCB
65 , BRE , 3-1 , OFF
66 , BRE , 1-1 , S04
67 , BRE , 3-0 , UER
68 , DUI , 2-1 , BSC
69 , DUI , 1-1 , BOC
70 , DUI , 1-0 , BRS
71 , DUI , 2-0 , BRE
72 , DUI , 2-2 , DÜS
73 , DUI , 4-0 , RWE
74 , DUI , 1-1 , FRA
75 , DUI , 1-1 , HAM
76 , DUI , 4-3 , H96
77 , DUI , 1-2 , KAI
78 , DUI , 1-0 , KAR
79 , DUI , 0-4 , KÖL
80 , DUI , 2-3 , MGL
81 , DUI , 1-1 , FCB
82 , DUI , 6-2 , OFF
83 , DUI , 1-3 , S04
84 , DUI , 2-0 , UER
85 , DÜS , 2-1 , BSC
86 , DÜS , 3-1 , BOC
87 , DÜS , 3-3 , BRS
88 , DÜS , 3-0 , BRE
89 , DÜS , 1-3 , DUI
90 , DÜS , 5-2 , RWE
91 , DÜS , 1-1 , FRA
92 , DÜS , 1-0 , HAM
93 , DÜS , 3-0 , H96
94 , DÜS , 5-1 , KAI
95 , DÜS , 0-2 , KAR
96 , DÜS , 0-0 , KÖL
97 , DÜS , 1-1 , MGL
98 , DÜS , 1-1 , FCB
99 , DÜS , 0-0 , OFF
100 , DÜS , 1-2 , S04
101 , DÜS , 2-0 , UER
102 , RWE , 3-1 , BSC
103 , RWE , 1-0 , BOC
104 , RWE , 2-2 , BRS
105 , RWE , 2-0 , BRE
106 , RWE , 5-2 , DUI
107 , RWE , 2-2 , DÜS
108 , RWE , 4-3 , FRA
109 , RWE , 1-1 , HAM
110 , RWE , 1-0 , H96
111 , RWE , 5-1 , KAI
112 , RWE , 1-0 , KAR
113 , RWE , 2-3 , KÖL
114 , RWE , 1-3 , MGL
115 , RWE , 3-3 , FCB
116 , RWE , 2-2 , OFF
117 , RWE , 0-0 , S04
118 , RWE , 2-1 , UER
119 , FRA , 1-1 , BSC
120 , FRA , 6-0 , BOC
121 , FRA , 6-1 , BRS
122 , FRA , 2-0 , BRE
123 , FRA , 1-1 , DUI
124 , FRA , 5-2 , DÜS
125 , FRA , 1-3 , RWE
126 , FRA , 1-0 , HAM
127 , FRA , 5-1 , H96
128 , FRA , 1-1 , KAI
129 , FRA , 0-2 , KAR
130 , FRA , 2-2 , KÖL
131 , FRA , 1-1 , MGL
132 , FRA , 6-0 , FCB
133 , FRA , 1-0 , OFF
134 , FRA , 2-1 , S04
135 , FRA , 3-1 , UER
136 , HAM , 2-1 , BSC
137 , HAM , 5-3 , BOC
138 , HAM , 4-0 , BRS
139 , HAM , 1-2 , BRE
140 , HAM , 3-0 , DUI
141 , HAM , 3-1 , DÜS
142 , HAM , 4-1 , RWE
143 , HAM , 4-2 , FRA
144 , HAM , 3-0 , H96
145 , HAM , 2-0 , KAI
146 , HAM , 3-0 , KAR
147 , HAM , 2-1 , KÖL
148 , HAM , 0-0 , MGL
149 , HAM , 0-1 , FCB
150 , HAM , 2-0 , OFF
151 , HAM , 4-1 , S04
152 , HAM , 0-0 , UER
153 , H96 , 2-6 , BSC
154 , H96 , 4-1 , BOC
155 , H96 , 2-0 , BRS
156 , H96 , 0-0 , BRE
157 , H96 , 0-2 , DUI
158 , H96 , 1-2 , DÜS
159 , H96 , 0-0 , RWE
160 , H96 , 3-2 , FRA
161 , H96 , 1-0 , HAM
162 , H96 , 2-0 , KAI
163 , H96 , 2-0 , KAR
164 , H96 , 3-3 , KÖL
165 , H96 , 3-3 , MGL
166 , H96 , 2-2 , FCB
167 , H96 , 4-0 , OFF
168 , H96 , 1-1 , S04
169 , H96 , 3-1 , UER
170 , KAI , 5-0 , BSC
171 , KAI , 2-1 , BOC
172 , KAI , 3-1 , BRS
173 , KAI , 4-0 , BRE
174 , KAI , 3-0 , DUI
175 , KAI , 2-1 , DÜS
176 , KAI , 5-0 , RWE
177 , KAI , 3-1 , FRA
178 , KAI , 2-0 , HAM
179 , KAI , 2-2 , H96
180 , KAI , 3-1 , KAR
181 , KAI , 1-1 , KÖL
182 , KAI , 0-3 , MGL
183 , KAI , 2-1 , FCB
184 , KAI , 2-2 , OFF
185 , KAI , 1-3 , S04
186 , KAI , 1-2 , UER
187 , KAR , 3-0 , BSC
188 , KAR , 2-2 , BOC
189 , KAR , 0-2 , BRS
190 , KAR , 2-0 , BRE
191 , KAR , 2-2 , DUI
192 , KAR , 1-0 , DÜS
193 , KAR , 1-2 , RWE
194 , KAR , 1-0 , FRA
195 , KAR , 3-2 , HAM
196 , KAR , 3-2 , H96
197 , KAR , 3-5 , KAI
198 , KAR , 3-1 , KÖL
199 , KAR , 2-4 , MGL
200 , KAR , 1-2 , FCB
201 , KAR , 2-1 , OFF
202 , KAR , 2-2 , S04
203 , KAR , 1-0 , UER
204 , KÖL , 2-0 , BSC
205 , KÖL , 1-0 , BOC
206 , KÖL , 1-1 , BRS
207 , KÖL , 1-1 , BRE
208 , KÖL , 3-2 , DUI
209 , KÖL , 4-0 , DÜS
210 , KÖL , 3-0 , RWE
211 , KÖL , 3-3 , FRA
212 , KÖL , 1-1 , HAM
213 , KÖL , 2-1 , H96
214 , KÖL , 1-1 , KAI
215 , KÖL , 1-3 , KAR
216 , KÖL , 0-4 , MGL
217 , KÖL , 1-0 , FCB
218 , KÖL , 4-0 , OFF
219 , KÖL , 2-1 , S04
220 , KÖL , 4-0 , UER
221 , MGL , 1-1 , BSC
222 , MGL , 1-1 , BOC
223 , MGL , 0-0 , BRS
224 , MGL , 3-0 , BRE
225 , MGL , 3-0 , DUI
226 , MGL , 1-0 , DÜS
227 , MGL , 1-2 , RWE
228 , MGL , 4-2 , FRA
229 , MGL , 1-1 , HAM
230 , MGL , 2-0 , H96
231 , MGL , 3-0 , KAI
232 , MGL , 4-0 , KAR
233 , MGL , 2-1 , KÖL
234 , MGL , 4-1 , FCB
235 , MGL , 2-0 , OFF
236 , MGL , 0-2 , S04
237 , MGL , 6-1 , UER
238 , FCB , 7-4 , BSC
239 , FCB , 4-0 , BOC
240 , FCB , 1-1 , BRS
241 , FCB , 4-0 , BRE
242 , FCB , 3-0 , DUI
243 , FCB , 5-0 , DÜS
244 , FCB , 5-1 , RWE
245 , FCB , 1-1 , FRA
246 , FCB , 1-0 , HAM
247 , FCB , 3-1 , H96
248 , FCB , 3-4 , KAI
249 , FCB , 2-0 , KAR
250 , FCB , 1-2 , KÖL
251 , FCB , 4-0 , MGL
252 , FCB , 3-1 , OFF
253 , FCB , 3-2 , S04
254 , FCB , 2-0 , UER
255 , OFF , 2-1 , BSC
256 , OFF , 1-0 , BOC
257 , OFF , 4-2 , BRS
258 , OFF , 2-0 , BRE
259 , OFF , 2-1 , DUI
260 , OFF , 1-1 , DÜS
261 , OFF , 0-4 , RWE
262 , OFF , 2-1 , FRA
263 , OFF , 3-2 , HAM
264 , OFF , 1-0 , H96
265 , OFF , 1-4 , KAI
266 , OFF , 0-0 , KAR
267 , OFF , 1-5 , KÖL
268 , OFF , 1-1 , MGL
269 , OFF , 2-2 , FCB
270 , OFF , 1-1 , S04
271 , OFF , 2-3 , UER
272 , S04 , 2-2 , BSC
273 , S04 , 1-1 , BOC
274 , S04 , 5-1 , BRS
275 , S04 , 4-2 , BRE
276 , S04 , 5-1 , DUI
277 , S04 , 2-0 , DÜS
278 , S04 , 5-1 , RWE
279 , S04 , 2-4 , FRA
280 , S04 , 0-1 , HAM
281 , S04 , 1-2 , H96
282 , S04 , 2-2 , KAI
283 , S04 , 6-2 , KAR
284 , S04 , 3-1 , KÖL
285 , S04 , 2-2 , MGL
286 , S04 , 2-2 , FCB
287 , S04 , 1-1 , OFF
288 , S04 , 5-1 , UER
289 , UER , 1-1 , BSC
290 , UER , 0-0 , BOC
291 , UER , 0-0 , BRS
292 , UER , 2-1 , BRE
293 , UER , 0-4 , DUI
294 , UER , 2-0 , DÜS
295 , UER , 1-1 , RWE
296 , UER , 0-5 , FRA
297 , UER , 0-1 , HAM
298 , UER , 1-1 , H96
299 , UER , 2-2 , KAI
300 , UER , 1-1 , KAR
301 , UER , 1-1 , KÖL
302 , UER , 1-1 , MGL
303 , UER , 2-1 , FCB
304 , UER , 1-2 , OFF
305 , UER , 3-2 , S04
