167 , Genoa , 3-1 , Parma
168 , Genoa , 4-3 , Roma
169 , Genoa , 2-1 , Sampdoria
170 , Genoa , 2-4 , Udinese
171 , Internazionale , 4-0 , Bari
172 , Internazionale , 4-1 , Bologna
173 , Internazionale , 1-1 , Brescia
174 , Internazionale , 1-0 , Cagliari
175 , Internazionale , 3-1 , Catania
176 , Internazionale , 3-2 , Cesena
177 , Internazionale , 2-0 , Chievo
178 , Internazionale , 3-1 , Fiorentina
179 , Internazionale , 5-2 , Genoa
180 , Internazionale , 0-0 , Juventus
181 , Internazionale , 2-1 , Lazio
182 , Internazionale , 1-0 , Lecce
183 , Internazionale , 0-1 , Milan
184 , Internazionale , 3-1 , Napoli
185 , Internazionale , 3-2 , Palermo
186 , Internazionale , 5-2 , Parma
187 , Internazionale , 5-3 , Roma
188 , Internazionale , 1-1 , Sampdoria
189 , Internazionale , 2-1 , Udinese
190 , Juventus , 2-1 , Bari
191 , Juventus , 0-2 , Bologna
192 , Juventus , 2-1 , Brescia
193 , Juventus , 4-2 , Cagliari
194 , Juventus , 2-2 , Catania
195 , Juventus , 3-1 , Cesena
196 , Juventus , 2-2 , Chievo
197 , Juventus , 1-1 , Fiorentina
198 , Juventus , 3-2 , Genoa
199 , Juventus , 1-0 , Internazionale
200 , Juventus , 2-1 , Lazio
201 , Juventus , 4-0 , Lecce
202 , Juventus , 0-1 , Milan
203 , Juventus , 2-2 , Napoli
204 , Juventus , 1-3 , Palermo
205 , Juventus , 1-4 , Parma
206 , Juventus , 1-1 , Roma
207 , Juventus , 3-3 , Sampdoria
208 , Juventus , 1-2 , Udinese
209 , Lazio , 1-0 , Bari
210 , Lazio , 3-1 , Bologna
211 , Lazio , 1-0 , Brescia
212 , Lazio , 2-1 , Cagliari
213 , Lazio , 1-1 , Catania
214 , Lazio , 1-0 , Cesena
215 , Lazio , 1-1 , Chievo
216 , Lazio , 2-0 , Fiorentina
217 , Lazio , 4-2 , Genoa
218 , Lazio , 3-1 , Internazionale
219 , Lazio , 0-1 , Juventus
220 , Lazio , 1-2 , Lecce
221 , Lazio , 1-1 , Milan
222 , Lazio , 2-0 , Napoli
223 , Lazio , 2-0 , Palermo
224 , Lazio , 2-0 , Parma
