156 , Milan , 1-5 , Internazionale
157 , Milan , 2-2 , Juventus
158 , Milan , 1-2 , L.R. Vicenza
159 , Milan , 0-0 , Lazio
160 , Milan , 0-0 , Napoli
161 , Milan , 2-0 , Roma
162 , Milan , 2-1 , Sampdoria
163 , Milan , 1-0 , Torino
164 , Milan , 2-1 , Hellas Verona
165 , Napoli , 2-0 , Bologna
166 , Napoli , 1-0 , Cagliari
167 , Napoli , 1-0 , Cesena
168 , Napoli , 2-1 , Fiorentina
169 , Napoli , 1-1 , Foggia
170 , Napoli , 1-0 , Genoa
171 , Napoli , 2-1 , Internazionale
172 , Napoli , 2-0 , Juventus
173 , Napoli , 2-1 , L.R. Vicenza
174 , Napoli , 3-3 , Lazio
175 , Napoli , 1-2 , Milan
176 , Napoli , 1-1 , Roma
177 , Napoli , 1-0 , Sampdoria
178 , Napoli , 1-1 , Torino
179 , Napoli , 2-0 , Hellas Verona
180 , Roma , 2-1 , Bologna
181 , Roma , 2-0 , Cagliari
182 , Roma , 1-0 , Cesena
183 , Roma , 0-0 , Fiorentina
184 , Roma , 3-0 , Foggia
185 , Roma , 2-0 , Genoa
186 , Roma , 3-3 , Internazionale
187 , Roma , 3-2 , Juventus
188 , Roma , 0-0 , L.R. Vicenza
189 , Roma , 1-2 , Lazio
190 , Roma , 1-2 , Milan
191 , Roma , 0-1 , Napoli
192 , Roma , 2-1 , Sampdoria
193 , Roma , 0-0 , Torino
194 , Roma , 1-0 , Hellas Verona
195 , Sampdoria , 0-0 , Bologna
196 , Sampdoria , 1-1 , Cagliari
197 , Sampdoria , 1-1 , Cesena
198 , Sampdoria , 1-2 , Fiorentina
199 , Sampdoria , 0-0 , Foggia
200 , Sampdoria , 1-1 , Genoa
201 , Sampdoria , 1-1 , Internazionale
202 , Sampdoria , 1-2 , Juventus
203 , Sampdoria , 2-1 , L.R. Vicenza
204 , Sampdoria , 1-0 , Lazio
205 , Sampdoria , 3-2 , Milan
206 , Sampdoria , 0-0 , Napoli
207 , Sampdoria , 0-0 , Roma
208 , Sampdoria , 1-1 , Torino
209 , Sampdoria , 2-1 , Hellas Verona
210 , Torino , 2-0 , Bologna
211 , Torino , 1-2 , Cagliari
212 , Torino , 2-1 , Cesena
213 , Torino , 0-1 , Fiorentina
214 , Torino , 0-0 , Foggia
215 , Torino , 1-0 , Genoa
216 , Torino , 2-2 , Internazionale
217 , Torino , 0-1 , Juventus
218 , Torino , 1-0 , L.R. Vicenza
219 , Torino , 2-1 , Lazio
220 , Torino , 1-0 , Milan
221 , Torino , 1-1 , Napoli
222 , Torino , 1-0 , Roma
223 , Torino , 1-1 , Sampdoria
224 , Torino , 0-0 , Hellas Verona
225 , Hellas Verona , 1-1 , Bologna
226 , Hellas Verona , 2-0 , Cagliari
227 , Hellas Verona , 2-1 , Cesena
228 , Hellas Verona , 1-1 , Fiorentina
229 , Hellas Verona , 3-0 , Foggia
230 , Hellas Verona , 2-0 , Genoa
231 , Hellas Verona , 1-3 , Internazionale
232 , Hellas Verona , 0-0 , Juventus
233 , Hellas Verona , 1-1 , L.R. Vicenza
234 , Hellas Verona , 0-1 , Lazio
235 , Hellas Verona , 2-1 , Milan
236 , Hellas Verona , 1-0 , Napoli
237 , Hellas Verona , 0-1 , Roma
238 , Hellas Verona , 1-0 , Sampdoria
239 , Hellas Verona , 0-1 , Torino
shortNames:,,Home ╲ Away,Bologna !BOL,Cagliari !CAG,Cesena !CES,Fiorentina !FIO,Foggia !FOG,Genoa !GEN,Internazionale !INT,Juventus !JUV,L.R. Vicenza !LRV,Lazio !LAZ,Milan !MIL,Napoli !NAP,Roma !ROM,Sampdoria !SAM,Torino !TOR,Hellas Verona !HEL
fullNames:,,Bologna,Cagliari,Cesena,Fiorentina,Foggia,Genoa,Internazionale,Juventus,L.R. Vicenza,Lazio,Milan,Napoli,Roma,Sampdoria,Torino,Hellas Verona
