0 , Athletic Bilbao , 3-0 , Atlético Madrid
1 , Athletic Bilbao , 2-2 , Barcelona
2 , Athletic Bilbao , 2-3 , Betis
3 , Athletic Bilbao , 3-3 , Espanyol
4 , Athletic Bilbao , 0-0 , Getafe
5 , Athletic Bilbao , 0-1 , Granada
6 , Athletic Bilbao , 3-0 , Levante
7 , Athletic Bilbao , 3-0 , Málaga
8 , Athletic Bilbao , 1-0 , Mallorca
9 , Athletic Bilbao , 3-1 , Osasuna
10 , Athletic Bilbao , 1-1 , Racing Santander
11 , Athletic Bilbao , 1-1 , Rayo Vallecano
12 , Athletic Bilbao , 0-3 , Real Madrid
13 , Athletic Bilbao , 2-0 , Real Sociedad
14 , Athletic Bilbao , 1-0 , Sevilla
15 , Athletic Bilbao , 1-1 , Sporting de Gijón
16 , Athletic Bilbao , 0-3 , Valencia
17 , Athletic Bilbao , 1-1 , Villarreal
18 , Athletic Bilbao , 2-1 , Zaragoza
19 , Atlético Madrid , 2-1 , Athletic Bilbao
20 , Atlético Madrid , 1-2 , Barcelona
21 , Atlético Madrid , 0-2 , Betis
22 , Atlético Madrid , 3-1 , Espanyol
23 , Atlético Madrid , 3-0 , Getafe
24 , Atlético Madrid , 2-0 , Granada
25 , Atlético Madrid , 3-2 , Levante
26 , Atlético Madrid , 2-1 , Málaga
27 , Atlético Madrid , 1-1 , Mallorca
28 , Atlético Madrid , 0-0 , Osasuna
29 , Atlético Madrid , 4-0 , Racing Santander
30 , Atlético Madrid , 3-1 , Rayo Vallecano
31 , Atlético Madrid , 1-4 , Real Madrid
32 , Atlético Madrid , 1-1 , Real Sociedad
33 , Atlético Madrid , 0-0 , Sevilla
34 , Atlético Madrid , 4-0 , Sporting de Gijón
35 , Atlético Madrid , 0-0 , Valencia
36 , Atlético Madrid , 3-0 , Villarreal
37 , Atlético Madrid , 3-1 , Zaragoza
38 , Barcelona , 2-0 , Athletic Bilbao
39 , Barcelona , 5-0 , Atlético Madrid
40 , Barcelona , 4-2 , Betis
41 , Barcelona , 4-0 , Espanyol
42 , Barcelona , 4-0 , Getafe
43 , Barcelona , 5-3 , Granada
44 , Barcelona , 5-0 , Levante
45 , Barcelona , 4-1 , Málaga
46 , Barcelona , 5-0 , Mallorca
47 , Barcelona , 8-0 , Osasuna
48 , Barcelona , 3-0 , Racing Santander
49 , Barcelona , 4-0 , Rayo Vallecano
50 , Barcelona , 1-2 , Real Madrid
51 , Barcelona , 2-1 , Real Sociedad
52 , Barcelona , 0-0 , Sevilla
53 , Barcelona , 3-1 , Sporting de Gijón
54 , Barcelona , 5-1 , Valencia
55 , Barcelona , 5-0 , Villarreal
56 , Barcelona , 4-0 , Zaragoza
57 , Betis , 2-1 , Athletic Bilbao
58 , Betis , 2-2 , Atlético Madrid
59 , Betis , 2-2 , Barcelona
60 , Betis , 1-1 , Espanyol
61 , Betis , 1-1 , Getafe
62 , Betis , 1-2 , Granada
63 , Betis , 0-1 , Levante
64 , Betis , 0-0 , Málaga
65 , Betis , 1-0 , Mallorca
66 , Betis , 1-0 , Osasuna
67 , Betis , 1-1 , Racing Santander
68 , Betis , 0-2 , Rayo Vallecano
69 , Betis , 2-3 , Real Madrid
70 , Betis , 2-3 , Real Sociedad
71 , Betis , 1-1 , Sevilla
72 , Betis , 2-0 , Sporting de Gijón
73 , Betis , 2-1 , Valencia
74 , Betis , 3-1 , Villarreal
75 , Betis , 4-3 , Zaragoza
76 , Espanyol , 2-1 , Athletic Bilbao
77 , Espanyol , 4-2 , Atlético Madrid
78 , Espanyol , 1-1 , Barcelona
79 , Espanyol , 1-0 , Betis
80 , Espanyol , 1-0 , Getafe
81 , Espanyol , 3-0 , Granada
82 , Espanyol , 1-2 , Levante
83 , Espanyol , 1-2 , Málaga
84 , Espanyol , 1-0 , Mallorca
