131 , SD Compostela , 1-1 , Celta de Vigo
132 , SD Compostela , 4-0 , Deportivo de La Coruña
133 , SD Compostela , 2-1 , RCD Espanyol
134 , SD Compostela , 1-0 , CP Mérida
135 , SD Compostela , 2-0 , Racing de Santander
136 , SD Compostela , 1-0 , Rayo Vallecano
137 , SD Compostela , 3-3 , Real Madrid
138 , SD Compostela , 4-1 , Real Oviedo
139 , SD Compostela , 2-0 , Real Sociedad
140 , SD Compostela , 0-0 , UD Salamanca
141 , SD Compostela , 0-0 , Sevilla FC
142 , SD Compostela , 1-0 , Sporting de Gijón
143 , SD Compostela , 0-2 , Tenerife
144 , SD Compostela , 0-4 , Valencia CF
145 , SD Compostela , 1-3 , Valladolid
146 , SD Compostela , 3-2 , Zaragoza
147 , Deportivo de La Coruña , 5-0 , Albacete
148 , Deportivo de La Coruña , 0-0 , Athletic Bilbao
149 , Deportivo de La Coruña , 2-2 , Atlético Madrid
150 , Deportivo de La Coruña , 2-2 , FC Barcelona
151 , Deportivo de La Coruña , 0-0 , Betis
152 , Deportivo de La Coruña , 2-1 , Celta de Vigo
153 , Deportivo de La Coruña , 2-0 , SD Compostela
154 , Deportivo de La Coruña , 0-1 , RCD Espanyol
155 , Deportivo de La Coruña , 2-1 , CP Mérida
156 , Deportivo de La Coruña , 2-3 , Racing de Santander
157 , Deportivo de La Coruña , 1-0 , Rayo Vallecano
158 , Deportivo de La Coruña , 3-0 , Real Madrid
159 , Deportivo de La Coruña , 0-4 , Real Oviedo
160 , Deportivo de La Coruña , 1-1 , Real Sociedad
161 , Deportivo de La Coruña , 2-0 , UD Salamanca
162 , Deportivo de La Coruña , 3-2 , Sevilla FC
163 , Deportivo de La Coruña , 1-0 , Sporting de Gijón
164 , Deportivo de La Coruña , 1-1 , Tenerife
165 , Deportivo de La Coruña , 3-0 , Valencia CF
166 , Deportivo de La Coruña , 3-1 , Valladolid
167 , Deportivo de La Coruña , 2-3 , Zaragoza
168 , RCD Espanyol , 1-0 , Albacete
169 , RCD Espanyol , 3-0 , Athletic Bilbao
170 , RCD Espanyol , 0-2 , Atlético Madrid
171 , RCD Espanyol , 1-1 , FC Barcelona
172 , RCD Espanyol , 1-1 , Betis
173 , RCD Espanyol , 2-2 , Celta de Vigo
174 , RCD Espanyol , 0-0 , SD Compostela
175 , RCD Espanyol , 0-0 , Deportivo de La Coruña
176 , RCD Espanyol , 3-0 , CP Mérida
177 , RCD Espanyol , 1-0 , Racing de Santander
178 , RCD Espanyol , 4-2 , Rayo Vallecano
179 , RCD Espanyol , 3-1 , Real Madrid
180 , RCD Espanyol , 5-0 , Real Oviedo
181 , RCD Espanyol , 0-0 , Real Sociedad
182 , RCD Espanyol , 3-1 , UD Salamanca
183 , RCD Espanyol , 0-1 , Sevilla FC
184 , RCD Espanyol , 0-0 , Sporting de Gijón
185 , RCD Espanyol , 2-1 , Tenerife
186 , RCD Espanyol , 2-0 , Valencia CF
187 , RCD Espanyol , 2-0 , Valladolid
188 , RCD Espanyol , 1-1 , Zaragoza
189 , CP Mérida , 1-1 , Albacete
190 , CP Mérida , 1-0 , Athletic Bilbao
191 , CP Mérida , 0-1 , Atlético Madrid
192 , CP Mérida , 0-0 , FC Barcelona
193 , CP Mérida , 1-1 , Betis
194 , CP Mérida , 2-0 , Celta de Vigo
195 , CP Mérida , 0-2 , SD Compostela
196 , CP Mérida , 0-2 , Deportivo de La Coruña
197 , CP Mérida , 0-1 , RCD Espanyol
198 , CP Mérida , 3-1 , Racing de Santander
199 , CP Mérida , 0-1 , Rayo Vallecano
200 , CP Mérida , 2-2 , Real Madrid
201 , CP Mérida , 3-1 , Real Oviedo
202 , CP Mérida , 1-2 , Real Sociedad
203 , CP Mérida , 0-0 , UD Salamanca
204 , CP Mérida , 3-2 , Sevilla FC
205 , CP Mérida , 1-0 , Sporting de Gijón
206 , CP Mérida , 2-0 , Tenerife
207 , CP Mérida , 0-2 , Valencia CF
208 , CP Mérida , 1-0 , Valladolid
209 , CP Mérida , 1-1 , Zaragoza
210 , Racing de Santander , 5-5 , Albacete
211 , Racing de Santander , 1-1 , Athletic Bilbao
212 , Racing de Santander , 0-4 , Atlético Madrid
213 , Racing de Santander , 1-1 , FC Barcelona
214 , Racing de Santander , 0-0 , Betis
215 , Racing de Santander , 2-1 , Celta de Vigo
216 , Racing de Santander , 1-0 , SD Compostela
217 , Racing de Santander , 2-1 , Deportivo de La Coruña
218 , Racing de Santander , 1-1 , RCD Espanyol
219 , Racing de Santander , 2-0 , CP Mérida
220 , Racing de Santander , 1-2 , Rayo Vallecano
221 , Racing de Santander , 2-0 , Real Madrid
222 , Racing de Santander , 0-0 , Real Oviedo
223 , Racing de Santander , 2-3 , Real Sociedad
224 , Racing de Santander , 2-1 , UD Salamanca
225 , Racing de Santander , 1-1 , Sevilla FC
226 , Racing de Santander , 1-1 , Sporting de Gijón
227 , Racing de Santander , 1-2 , Tenerife
228 , Racing de Santander , 0-3 , Valencia CF
229 , Racing de Santander , 0-0 , Valladolid
230 , Racing de Santander , 0-0 , Zaragoza
231 , Rayo Vallecano , 2-0 , Albacete
232 , Rayo Vallecano , 2-2 , Athletic Bilbao
233 , Rayo Vallecano , 0-3 , Atlético Madrid
234 , Rayo Vallecano , 1-1 , FC Barcelona
235 , Rayo Vallecano , 1-2 , Betis
236 , Rayo Vallecano , 1-3 , Celta de Vigo
237 , Rayo Vallecano , 0-1 , SD Compostela
238 , Rayo Vallecano , 0-6 , Deportivo de La Coruña
239 , Rayo Vallecano , 1-0 , RCD Espanyol
240 , Rayo Vallecano , 4-1 , CP Mérida
241 , Rayo Vallecano , 1-2 , Racing de Santander
242 , Rayo Vallecano , 1-5 , Real Madrid
243 , Rayo Vallecano , 1-2 , Real Oviedo
244 , Rayo Vallecano , 2-0 , Real Sociedad
245 , Rayo Vallecano , 1-4 , UD Salamanca
246 , Rayo Vallecano , 0-0 , Sevilla FC
247 , Rayo Vallecano , 2-0 , Sporting de Gijón
