0 , Athletic Bilbao , 2-1 , Atlético Madrid
1 , Athletic Bilbao , 0-6 , Barcelona
2 , Athletic Bilbao , 4-0 , Betis
3 , Athletic Bilbao , 1-0 , Cádiz
4 , Athletic Bilbao , 1-1 , Castellón
5 , Athletic Bilbao , 1-1 , Espanyol
6 , Athletic Bilbao , 1-1 , Logroñés
7 , Athletic Bilbao , 2-0 , Mallorca
8 , Athletic Bilbao , 2-0 , Osasuna
9 , Athletic Bilbao , 2-1 , Real Burgos
10 , Athletic Bilbao , 1-0 , Real Madrid
11 , Athletic Bilbao , 2-1 , Oviedo
12 , Athletic Bilbao , 2-1 , Real Sociedad
13 , Athletic Bilbao , 2-0 , Sevilla
14 , Athletic Bilbao , 1-2 , Sporting de Gijón
15 , Athletic Bilbao , 2-0 , Tenerife
16 , Athletic Bilbao , 0-2 , Valencia
17 , Athletic Bilbao , 0-1 , Valladolid
18 , Athletic Bilbao , 2-0 , Zaragoza
19 , Atlético Madrid , 2-0 , Athletic Bilbao
20 , Atlético Madrid , 2-1 , Barcelona
21 , Atlético Madrid , 2-1 , Betis
22 , Atlético Madrid , 0-0 , Cádiz
23 , Atlético Madrid , 3-1 , Castellón
24 , Atlético Madrid , 4-0 , Espanyol
25 , Atlético Madrid , 3-0 , Logroñés
26 , Atlético Madrid , 0-1 , Mallorca
27 , Atlético Madrid , 2-2 , Osasuna
28 , Atlético Madrid , 0-0 , Real Burgos
29 , Atlético Madrid , 0-3 , Real Madrid
30 , Atlético Madrid , 0-0 , Oviedo
31 , Atlético Madrid , 4-0 , Real Sociedad
32 , Atlético Madrid , 1-0 , Sevilla
33 , Atlético Madrid , 3-1 , Sporting de Gijón
34 , Atlético Madrid , 1-1 , Tenerife
35 , Atlético Madrid , 2-0 , Valencia
36 , Atlético Madrid , 2-0 , Valladolid
37 , Atlético Madrid , 4-0 , Zaragoza
38 , Barcelona , 4-1 , Athletic Bilbao
39 , Barcelona , 1-1 , Atlético Madrid
40 , Barcelona , 4-2 , Betis
41 , Barcelona , 2-0 , Cádiz
42 , Barcelona , 6-0 , Castellón
43 , Barcelona , 5-2 , Espanyol
44 , Barcelona , 2-1 , Logroñés
45 , Barcelona , 2-1 , Mallorca
46 , Barcelona , 2-0 , Osasuna
47 , Barcelona , 0-0 , Real Burgos
48 , Barcelona , 2-1 , Real Madrid
49 , Barcelona , 0-0 , Oviedo
50 , Barcelona , 1-3 , Real Sociedad
51 , Barcelona , 3-0 , Sevilla
52 , Barcelona , 3-2 , Sporting de Gijón
53 , Barcelona , 1-0 , Tenerife
54 , Barcelona , 3-1 , Valencia
55 , Barcelona , 1-0 , Valladolid
56 , Barcelona , 2-1 , Zaragoza
57 , Betis , 1-0 , Athletic Bilbao
58 , Betis , 0-0 , Atlético Madrid
59 , Betis , 2-3 , Barcelona
60 , Betis , 3-0 , Cádiz
61 , Betis , 1-0 , Castellón
62 , Betis , 1-2 , Espanyol
63 , Betis , 3-2 , Logroñés
64 , Betis , 2-2 , Mallorca
65 , Betis , 0-1 , Osasuna
66 , Betis , 0-0 , Real Burgos
67 , Betis , 1-3 , Real Madrid
68 , Betis , 1-1 , Oviedo
69 , Betis , 1-1 , Real Sociedad
70 , Betis , 0-3 , Sevilla
71 , Betis , 2-2 , Sporting de Gijón
72 , Betis , 1-1 , Tenerife
73 , Betis , 2-2 , Valencia
74 , Betis , 0-0 , Valladolid
75 , Betis , 1-1 , Zaragoza
76 , Cádiz , 2-3 , Athletic Bilbao
77 , Cádiz , 0-1 , Atlético Madrid
78 , Cádiz , 4-0 , Barcelona
79 , Cádiz , 1-2 , Betis
80 , Cádiz , 0-0 , Castellón
81 , Cádiz , 0-0 , Espanyol
82 , Cádiz , 2-0 , Logroñés
83 , Cádiz , 1-0 , Mallorca
84 , Cádiz , 1-1 , Osasuna
85 , Cádiz , 0-0 , Real Burgos
86 , Cádiz , 1-0 , Real Madrid
87 , Cádiz , 2-1 , Oviedo
88 , Cádiz , 1-1 , Real Sociedad
89 , Cádiz , 2-1 , Sevilla
90 , Cádiz , 1-1 , Sporting de Gijón
91 , Cádiz , 1-2 , Tenerife
92 , Cádiz , 0-0 , Valencia
93 , Cádiz , 0-0 , Valladolid
94 , Cádiz , 2-1 , Zaragoza
95 , Castellón , 2-0 , Athletic Bilbao
96 , Castellón , 0-0 , Atlético Madrid
97 , Castellón , 0-1 , Barcelona
98 , Castellón , 3-1 , Betis
99 , Castellón , 2-0 , Cádiz
100 , Castellón , 1-1 , Espanyol
101 , Castellón , 0-0 , Logroñés
102 , Castellón , 0-1 , Mallorca
103 , Castellón , 1-0 , Osasuna
104 , Castellón , 0-0 , Real Burgos
105 , Castellón , 0-3 , Real Madrid
106 , Castellón , 1-0 , Oviedo
107 , Castellón , 1-1 , Real Sociedad
108 , Castellón , 0-0 , Sevilla
109 , Castellón , 3-2 , Sporting de Gijón
110 , Castellón , 5-1 , Tenerife
111 , Castellón , 0-2 , Valencia
112 , Castellón , 4-2 , Valladolid
113 , Castellón , 0-0 , Zaragoza
114 , Espanyol , 1-2 , Athletic Bilbao
115 , Espanyol , 3-1 , Atlético Madrid
116 , Espanyol , 0-1 , Barcelona
117 , Espanyol , 2-2 , Betis
118 , Espanyol , 2-1 , Cádiz
119 , Espanyol , 1-0 , Castellón
120 , Espanyol , 0-1 , Logroñés
121 , Espanyol , 3-0 , Mallorca
122 , Espanyol , 0-1 , Osasuna
123 , Espanyol , 1-0 , Real Burgos
124 , Espanyol , 3-1 , Real Madrid
125 , Espanyol , 5-0 , Oviedo
126 , Espanyol , 1-0 , Real Sociedad
127 , Espanyol , 4-0 , Sevilla
128 , Espanyol , 0-2 , Sporting de Gijón
129 , Espanyol , 1-0 , Tenerife
130 , Espanyol , 0-0 , Valencia
131 , Espanyol , 2-0 , Valladolid
132 , Espanyol , 0-0 , Zaragoza
133 , Logroñés , 1-1 , Athletic Bilbao
134 , Logroñés , 0-1 , Atlético Madrid
135 , Logroñés , 0-2 , Barcelona
136 , Logroñés , 1-0 , Betis
137 , Logroñés , 1-1 , Cádiz
138 , Logroñés , 2-1 , Castellón
139 , Logroñés , 1-0 , Espanyol
140 , Logroñés , 1-2 , Mallorca
141 , Logroñés , 2-0 , Osasuna
142 , Logroñés , 0-0 , Real Burgos
143 , Logroñés , 1-0 , Real Madrid
144 , Logroñés , 1-0 , Oviedo
145 , Logroñés , 0-0 , Real Sociedad
146 , Logroñés , 2-1 , Sevilla
147 , Logroñés , 1-2 , Sporting de Gijón
148 , Logroñés , 1-0 , Tenerife
149 , Logroñés , 1-0 , Valencia
150 , Logroñés , 1-2 , Valladolid
151 , Logroñés , 1-1 , Zaragoza
152 , Mallorca , 0-0 , Athletic Bilbao
153 , Mallorca , 1-0 , Atlético Madrid
154 , Mallorca , 1-1 , Barcelona
155 , Mallorca , 1-0 , Betis
156 , Mallorca , 0-0 , Cádiz
157 , Mallorca , 0-0 , Castellón
158 , Mallorca , 4-0 , Espanyol
159 , Mallorca , 2-0 , Logroñés
160 , Mallorca , 1-1 , Osasuna
161 , Mallorca , 0-0 , Real Burgos
162 , Mallorca , 1-1 , Real Madrid
163 , Mallorca , 1-1 , Oviedo
164 , Mallorca , 2-1 , Real Sociedad
165 , Mallorca , 1-1 , Sevilla
166 , Mallorca , 1-1 , Sporting de Gijón
167 , Mallorca , 0-1 , Tenerife
168 , Mallorca , 0-1 , Valencia
169 , Mallorca , 0-0 , Valladolid
170 , Mallorca , 3-2 , Zaragoza
171 , Osasuna , 1-0 , Athletic Bilbao
172 , Osasuna , 0-3 , Atlético Madrid
173 , Osasuna , 0-0 , Barcelona
174 , Osasuna , 3-0 , Betis
175 , Osasuna , 1-1 , Cádiz
176 , Osasuna , 2-0 , Castellón
177 , Osasuna , 1-0 , Espanyol
178 , Osasuna , 1-1 , Logroñés
179 , Osasuna , 1-0 , Mallorca
180 , Osasuna , 1-0 , Real Burgos
181 , Osasuna , 3-3 , Real Madrid
182 , Osasuna , 0-0 , Oviedo
