169 , Roma , 0-0 , Como
170 , Roma , 2-1 , Empoli
171 , Roma , 1-1 , Fiorentina
172 , Roma , 1-0 , Inter
173 , Roma , 3-0 , Juventus
174 , Roma , 1-2 , Milan
175 , Roma , 0-1 , Napoli
176 , Roma , 0-3 , Sampdoria
177 , Roma , 1-0 , Torino
178 , Roma , 4-0 , Udinese
179 , Roma , 0-0 , Verona
180 , Sampdoria , 1-0 , Ascoli
181 , Sampdoria , 1-0 , Atalanta
182 , Sampdoria , 2-2 , Avellino
183 , Sampdoria , 2-0 , Brescia
184 , Sampdoria , 0-1 , Como
185 , Sampdoria , 3-0 , Empoli
186 , Sampdoria , 3-1 , Fiorentina
187 , Sampdoria , 3-1 , Inter
188 , Sampdoria , 4-1 , Juventus
189 , Sampdoria , 3-0 , Milan
190 , Sampdoria , 1-2 , Napoli
191 , Sampdoria , 0-0 , Roma
192 , Sampdoria , 3-0 , Torino
193 , Sampdoria , 0-0 , Udinese
194 , Sampdoria , 0-0 , Verona
195 , Torino , 0-2 , Ascoli
196 , Torino , 0-0 , Atalanta
197 , Torino , 4-1 , Avellino
198 , Torino , 2-2 , Brescia
199 , Torino , 1-0 , Como
200 , Torino , 1-0 , Empoli
201 , Torino , 2-1 , Fiorentina
202 , Torino , 0-0 , Inter
203 , Torino , 1-1 , Juventus
204 , Torino , 0-0 , Milan
205 , Torino , 0-1 , Napoli
206 , Torino , 0-2 , Roma
207 , Torino , 2-0 , Sampdoria
208 , Torino , 3-1 , Udinese
209 , Torino , 2-1 , Verona
210 , Udinese , 3-0 , Ascoli
211 , Udinese , 1-0 , Atalanta
212 , Udinese , 2-6 , Avellino
213 , Udinese , 1-0 , Brescia
214 , Udinese , 0-0 , Como
215 , Udinese , 3-0 , Empoli
216 , Udinese , 1-1 , Fiorentina
217 , Udinese , 0-0 , Inter
218 , Udinese , 0-2 , Juventus
219 , Udinese , 0-0 , Milan
220 , Udinese , 0-3 , Napoli
221 , Udinese , 2-1 , Roma
222 , Udinese , 0-0 , Sampdoria
223 , Udinese , 1-1 , Torino
224 , Udinese , 2-2 , Verona
225 , Verona , 2-1 , Ascoli
226 , Verona , 2-1 , Atalanta
227 , Verona , 2-2 , Avellino
228 , Verona , 4-1 , Brescia
229 , Verona , 1-0 , Como
230 , Verona , 1-0 , Empoli
231 , Verona , 2-2 , Fiorentina
232 , Verona , 2-1 , Inter
233 , Verona , 1-1 , Juventus
234 , Verona , 1-0 , Milan
235 , Verona , 3-0 , Napoli
236 , Verona , 0-1 , Roma
237 , Verona , 1-1 , Sampdoria
238 , Verona , 2-1 , Torino
239 , Verona , 3-1 , Udinese
shortNames:,,,Ascoli,Atalanta,Avellino,Brescia,Como,Empoli,Fiorentina,Inter,Juventus,Milan,Napoli,Roma,Sampdoria,Torino,Udinese,Verona
fullNames:,,Ascoli,Atalanta,Avellino,Brescia,Como,Empoli,Fiorentina,Inter,Juventus,Milan,Napoli,Roma,Sampdoria,Torino,Udinese,Verona
