135 , Málaga , 1-4 , Celta de Vigo
136 , Málaga , 3-1 , Alavés
137 , Málaga , 1-3 , Deportivo La Coruña
138 , Málaga , 0-0 , Espanyol
139 , Málaga , 2-1 , Las Palmas
140 , Málaga , 0-1 , Mallorca
141 , Málaga , 1-3 , Numancia
142 , Málaga , 3-1 , Osasuna
143 , Málaga , 2-1 , Racing Santander
144 , Málaga , 1-1 , Rayo Vallecano
145 , Málaga , 3-3 , Real Madrid
146 , Málaga , 2-2 , Oviedo
147 , Málaga , 3-0 , Real Sociedad
148 , Málaga , 3-0 , Valencia
149 , Málaga , 3-1 , Valladolid
150 , Málaga , 2-1 , Villarreal
151 , Málaga , 2-0 , Zaragoza
152 , Mallorca , 1-0 , Athletic Bilbao
153 , Mallorca , 2-0 , Barcelona
154 , Mallorca , 2-0 , Celta de Vigo
155 , Mallorca , 4-3 , Alavés
156 , Mallorca , 2-1 , Deportivo La Coruña
157 , Mallorca , 3-2 , Espanyol
158 , Mallorca , 2-1 , Las Palmas
159 , Mallorca , 0-1 , Málaga
160 , Mallorca , 2-1 , Numancia
161 , Mallorca , 1-1 , Osasuna
162 , Mallorca , 2-1 , Racing Santander
163 , Mallorca , 4-0 , Rayo Vallecano
164 , Mallorca , 1-0 , Real Madrid
165 , Mallorca , 4-2 , Oviedo
166 , Mallorca , 1-1 , Real Sociedad
167 , Mallorca , 2-2 , Valencia
168 , Mallorca , 1-1 , Valladolid
169 , Mallorca , 2-1 , Villarreal
170 , Mallorca , 2-1 , Zaragoza
171 , Numancia , 0-0 , Athletic Bilbao
172 , Numancia , 1-1 , Barcelona
173 , Numancia , 4-2 , Celta de Vigo
174 , Numancia , 2-1 , Alavés
175 , Numancia , 1-2 , Deportivo La Coruña
176 , Numancia , 2-1 , Espanyol
177 , Numancia , 0-1 , Las Palmas
178 , Numancia , 3-2 , Málaga
179 , Numancia , 0-2 , Mallorca
180 , Numancia , 1-0 , Osasuna
181 , Numancia , 1-0 , Racing Santander
182 , Numancia , 0-2 , Rayo Vallecano
183 , Numancia , 3-1 , Real Madrid
184 , Numancia , 1-0 , Oviedo
185 , Numancia , 3-3 , Real Sociedad
186 , Numancia , 0-3 , Valencia
187 , Numancia , 0-0 , Valladolid
188 , Numancia , 1-3 , Villarreal
189 , Numancia , 1-1 , Zaragoza
190 , Osasuna , 1-1 , Athletic Bilbao
191 , Osasuna , 3-1 , Barcelona
192 , Osasuna , 0-2 , Celta de Vigo
193 , Osasuna , 0-1 , Alavés
194 , Osasuna , 1-1 , Deportivo La Coruña
195 , Osasuna , 1-3 , Espanyol
196 , Osasuna , 3-3 , Las Palmas
197 , Osasuna , 3-3 , Málaga
198 , Osasuna , 1-0 , Mallorca
199 , Osasuna , 2-0 , Numancia
200 , Osasuna , 1-1 , Racing Santander
201 , Osasuna , 2-2 , Rayo Vallecano
