0 , Ambrosiana-Inter , 2-1 , Atalanta
1 , Ambrosiana-Inter , 5-0 , Bari
2 , Ambrosiana-Inter , 2-1 , Bologna
3 , Ambrosiana-Inter , 0-2 , Fiorentina
4 , Ambrosiana-Inter , 4-0 , Genova 1893
5 , Ambrosiana-Inter , 2-1 , Juventus
6 , Ambrosiana-Inter , 1-1 , Lazio
7 , Ambrosiana-Inter , 3-0 , Livorno
8 , Ambrosiana-Inter , 2-2 , Milano
9 , Ambrosiana-Inter , 1-0 , Napoli
10 , Ambrosiana-Inter , 0-0 , Novara
11 , Ambrosiana-Inter , 5-1 , Roma
12 , Ambrosiana-Inter , 0-2 , Torino
13 , Ambrosiana-Inter , 1-1 , Triestina
14 , Ambrosiana-Inter , 4-2 , Venezia
15 , Atalanta , 1-3 , Ambrosiana-Inter
16 , Atalanta , 4-0 , Bari
17 , Atalanta , 2-0 , Bologna
18 , Atalanta , 0-0 , Fiorentina
19 , Atalanta , 1-1 , Genova 1893
20 , Atalanta , 3-0 , Juventus
21 , Atalanta , 2-0 , Lazio
22 , Atalanta , 2-1 , Livorno
23 , Atalanta , 2-1 , Milano
24 , Atalanta , 4-0 , Napoli
25 , Atalanta , 2-0 , Novara
26 , Atalanta , 0-0 , Roma
27 , Atalanta , 0-1 , Torino
28 , Atalanta , 2-0 , Triestina
29 , Atalanta , 3-1 , Venezia
30 , Bari , 0-0 , Ambrosiana-Inter
31 , Bari , 2-2 , Atalanta
32 , Bari , 1-0 , Bologna
33 , Bari , 1-0 , Fiorentina
34 , Bari , 1-1 , Genova 1893
35 , Bari , 3-5 , Juventus
36 , Bari , 1-2 , Lazio
37 , Bari , 1-1 , Livorno
38 , Bari , 1-3 , Milano
39 , Bari , 0-4 , Napoli
40 , Bari , 1-2 , Novara
41 , Bari , 2-2 , Roma
42 , Bari , 1-0 , Torino
43 , Bari , 0-3 , Triestina
44 , Bari , 3-2 , Venezia
45 , Bologna , 5-0 , Ambrosiana-Inter
46 , Bologna , 1-0 , Atalanta
47 , Bologna , 5-1 , Bari
48 , Bologna , 5-3 , Fiorentina
49 , Bologna , 4-1 , Genova 1893
50 , Bologna , 1-0 , Juventus
51 , Bologna , 2-2 , Lazio
52 , Bologna , 3-0 , Livorno
53 , Bologna , 4-2 , Milano
54 , Bologna , 3-0 , Napoli
55 , Bologna , 3-0 , Novara
56 , Bologna , 2-1 , Roma
57 , Bologna , 3-0 , Torino
58 , Bologna , 2-0 , Triestina
59 , Bologna , 1-1 , Venezia
60 , Fiorentina , 2-1 , Ambrosiana-Inter
61 , Fiorentina , 1-1 , Atalanta
62 , Fiorentina , 4-0 , Bari
63 , Fiorentina , 3-0 , Bologna
64 , Fiorentina , 4-3 , Genova 1893
65 , Fiorentina , 5-0 , Juventus
66 , Fiorentina , 2-1 , Lazio
67 , Fiorentina , 5-2 , Livorno
68 , Fiorentina , 2-3 , Milano
69 , Fiorentina , 1-2 , Napoli
70 , Fiorentina , 2-2 , Novara
71 , Fiorentina , 1-1 , Roma
72 , Fiorentina , 2-1 , Torino
73 , Fiorentina , 6-3 , Triestina
74 , Fiorentina , 2-1 , Venezia
75 , Genova 1893 , 2-0 , Ambrosiana-Inter
76 , Genova 1893 , 2-0 , Atalanta
77 , Genova 1893 , 6-1 , Bari
78 , Genova 1893 , 0-1 , Bologna
79 , Genova 1893 , 0-1 , Fiorentina
80 , Genova 1893 , 2-0 , Juventus
81 , Genova 1893 , 2-2 , Lazio
82 , Genova 1893 , 3-0 , Livorno
83 , Genova 1893 , 1-1 , Milano
84 , Genova 1893 , 1-2 , Napoli
85 , Genova 1893 , 1-1 , Novara
86 , Genova 1893 , 0-0 , Roma
87 , Genova 1893 , 4-0 , Torino
88 , Genova 1893 , 2-1 , Triestina
89 , Genova 1893 , 1-0 , Venezia
90 , Juventus , 2-0 , Ambrosiana-Inter
91 , Juventus , 3-1 , Atalanta
92 , Juventus , 5-1 , Bari
93 , Juventus , 3-1 , Bologna
94 , Juventus , 2-3 , Fiorentina
95 , Juventus , 2-0 , Genova 1893
96 , Juventus , 3-2 , Lazio
97 , Juventus , 2-1 , Livorno
98 , Juventus , 1-2 , Milano
99 , Juventus , 0-0 , Napoli
100 , Juventus , 3-0 , Novara
101 , Juventus , 3-1 , Roma
102 , Juventus , 2-1 , Torino
103 , Juventus , 1-1 , Triestina
104 , Juventus , 2-2 , Venezia
105 , Lazio , 2-4 , Ambrosiana-Inter
106 , Lazio , 1-1 , Atalanta
107 , Lazio , 2-2 , Bari
108 , Lazio , 2-4 , Bologna
109 , Lazio , 4-1 , Fiorentina
110 , Lazio , 0-1 , Genova 1893
111 , Lazio , 2-2 , Juventus
112 , Lazio , 1-0 , Livorno
113 , Lazio , 0-0 , Milano
114 , Lazio , 1-1 , Napoli
115 , Lazio , 0-0 , Novara
116 , Lazio , 2-0 , Roma
117 , Lazio , 0-2 , Torino
118 , Lazio , 2-1 , Triestina
119 , Lazio , 4-1 , Venezia
120 , Livorno , 1-1 , Ambrosiana-Inter
121 , Livorno , 3-1 , Atalanta
