158 , Lyon , 3-1 , Lille
159 , Lyon , 3-0 , Lorient
160 , Lyon , 3-2 , Marseille
161 , Lyon , 0-0 , Monaco
162 , Lyon , 3-2 , Montpellier
163 , Lyon , 4-0 , Nancy
164 , Lyon , 1-0 , Nice
165 , Lyon , 2-2 , Paris Saint-Germain
166 , Lyon , 1-1 , Rennes
167 , Lyon , 0-1 , Saint-Étienne
168 , Lyon , 2-1 , Sochaux
169 , Lyon , 2-0 , Toulouse
170 , Lyon , 1-1 , Valenciennes
171 , Marseille , 1-0 , Arles-Avignon
172 , Marseille , 1-1 , Auxerre
173 , Marseille , 2-1 , Bordeaux
174 , Marseille , 3-0 , Brest
175 , Marseille , 1-2 , Caen
176 , Marseille , 1-1 , Lens
177 , Marseille , 1-2 , Lille
178 , Marseille , 2-0 , Lorient
179 , Marseille , 1-1 , Lyon
180 , Marseille , 2-2 , Monaco
181 , Marseille , 4-0 , Montpellier
182 , Marseille , 1-0 , Nancy
183 , Marseille , 4-2 , Nice
184 , Marseille , 2-1 , Paris Saint-Germain
185 , Marseille , 0-0 , Rennes
186 , Marseille , 2-1 , Saint-Étienne
187 , Marseille , 2-1 , Sochaux
188 , Marseille , 2-2 , Toulouse
189 , Marseille , 2-2 , Valenciennes
190 , Monaco , 0-0 , Arles-Avignon
191 , Monaco , 2-0 , Auxerre
192 , Monaco , 2-2 , Bordeaux
193 , Monaco , 0-1 , Brest
194 , Monaco , 2-2 , Caen
195 , Monaco , 1-1 , Lens
196 , Monaco , 1-0 , Lille
197 , Monaco , 3-1 , Lorient
198 , Monaco , 0-2 , Lyon
199 , Monaco , 0-0 , Marseille
200 , Monaco , 0-0 , Montpellier
201 , Monaco , 0-1 , Nancy
202 , Monaco , 1-1 , Nice
203 , Monaco , 1-1 , Paris Saint-Germain
204 , Monaco , 1-0 , Rennes
205 , Monaco , 0-2 , Saint-Étienne
206 , Monaco , 2-1 , Sochaux
207 , Monaco , 0-0 , Toulouse
208 , Monaco , 0-2 , Valenciennes
209 , Montpellier , 3-1 , Arles-Avignon
210 , Montpellier , 1-1 , Auxerre
211 , Montpellier , 1-0 , Bordeaux
212 , Montpellier , 0-0 , Brest
213 , Montpellier , 0-0 , Caen
214 , Montpellier , 1-4 , Lens
215 , Montpellier , 1-0 , Lille
216 , Montpellier , 3-1 , Lorient
217 , Montpellier , 1-2 , Lyon
218 , Montpellier , 1-2 , Marseille
219 , Montpellier , 0-1 , Monaco
220 , Montpellier , 1-2 , Nancy
221 , Montpellier , 1-1 , Nice
222 , Montpellier , 1-1 , Paris Saint-Germain
223 , Montpellier , 0-1 , Rennes
224 , Montpellier , 1-2 , Saint-Étienne
225 , Montpellier , 2-0 , Sochaux
226 , Montpellier , 1-0 , Toulouse
227 , Montpellier , 2-1 , Valenciennes
228 , Nancy , 0-0 , Arles-Avignon
229 , Nancy , 3-1 , Auxerre
230 , Nancy , 0-0 , Bordeaux
231 , Nancy , 0-2 , Brest
232 , Nancy , 2-0 , Caen
233 , Nancy , 4-0 , Lens
234 , Nancy , 0-1 , Lille
235 , Nancy , 1-0 , Lorient
236 , Nancy , 2-3 , Lyon
237 , Nancy , 1-2 , Marseille
238 , Nancy , 0-4 , Monaco
239 , Nancy , 1-2 , Montpellier
240 , Nancy , 3-0 , Nice
241 , Nancy , 2-0 , Paris Saint-Germain
242 , Nancy , 0-3 , Rennes
243 , Nancy , 1-1 , Saint-Étienne
244 , Nancy , 1-0 , Sochaux
245 , Nancy , 0-2 , Toulouse
246 , Nancy , 2-0 , Valenciennes
247 , Nice , 3-2 , Arles-Avignon
248 , Nice , 1-0 , Auxerre
249 , Nice , 2-1 , Bordeaux
250 , Nice , 1-1 , Brest
251 , Nice , 0-4 , Caen
252 , Nice , 0-0 , Lens
253 , Nice , 0-2 , Lille
254 , Nice , 2-0 , Lorient
255 , Nice , 2-2 , Lyon
256 , Nice , 1-0 , Marseille
257 , Nice , 3-2 , Monaco
258 , Nice , 0-1 , Montpellier
259 , Nice , 1-1 , Nancy
260 , Nice , 0-3 , Paris Saint-Germain
261 , Nice , 1-2 , Rennes
262 , Nice , 2-1 , Saint-Étienne
263 , Nice , 1-0 , Sochaux
264 , Nice , 2-0 , Toulouse
265 , Nice , 0-0 , Valenciennes
266 , Paris Saint-Germain , 4-0 , Arles-Avignon
267 , Paris Saint-Germain , 2-3 , Auxerre
268 , Paris Saint-Germain , 1-2 , Bordeaux
269 , Paris Saint-Germain , 3-1 , Brest
270 , Paris Saint-Germain , 2-1 , Caen
