136 , Getafe , 2-4 , Betis
137 , Getafe , 3-1 , Celta de Vigo
138 , Getafe , 3-1 , Deportivo La Coruña
139 , Getafe , 0-2 , Espanyol
140 , Getafe , 2-2 , Granada
141 , Getafe , 0-1 , Levante
142 , Getafe , 1-0 , Málaga
143 , Getafe , 1-0 , Mallorca
144 , Getafe , 1-1 , Osasuna
145 , Getafe , 1-2 , Rayo Vallecano
146 , Getafe , 2-1 , Real Madrid
147 , Getafe , 2-1 , Real Sociedad
148 , Getafe , 1-1 , Sevilla
149 , Getafe , 0-1 , Valencia
150 , Getafe , 2-1 , Valladolid
151 , Getafe , 2-0 , Zaragoza
152 , Granada , 1-2 , Athletic Bilbao
153 , Granada , 0-1 , Atlético Madrid
154 , Granada , 1-2 , Barcelona
155 , Granada , 1-5 , Betis
156 , Granada , 2-1 , Celta de Vigo
157 , Granada , 1-1 , Deportivo La Coruña
158 , Granada , 0-0 , Espanyol
159 , Granada , 2-0 , Getafe
160 , Granada , 1-1 , Levante
161 , Granada , 1-0 , Málaga
162 , Granada , 1-2 , Mallorca
163 , Granada , 3-0 , Osasuna
164 , Granada , 2-0 , Rayo Vallecano
165 , Granada , 1-0 , Real Madrid
166 , Granada , 0-0 , Real Sociedad
167 , Granada , 1-1 , Sevilla
168 , Granada , 1-2 , Valencia
169 , Granada , 1-1 , Valladolid
170 , Granada , 1-2 , Zaragoza
171 , Levante , 3-1 , Athletic Bilbao
172 , Levante , 1-1 , Atlético Madrid
173 , Levante , 0-4 , Barcelona
174 , Levante , 1-1 , Betis
175 , Levante , 0-1 , Celta de Vigo
176 , Levante , 0-4 , Deportivo La Coruña
177 , Levante , 3-2 , Espanyol
178 , Levante , 0-0 , Getafe
179 , Levante , 3-1 , Granada
180 , Levante , 1-2 , Málaga
181 , Levante , 4-0 , Mallorca
182 , Levante , 0-2 , Osasuna
183 , Levante , 2-3 , Rayo Vallecano
184 , Levante , 1-2 , Real Madrid
185 , Levante , 2-1 , Real Sociedad
186 , Levante , 1-0 , Sevilla
187 , Levante , 1-0 , Valencia
188 , Levante , 2-1 , Valladolid
189 , Levante , 0-0 , Zaragoza
190 , Málaga , 1-0 , Athletic Bilbao
191 , Málaga , 0-0 , Atlético Madrid
192 , Málaga , 1-3 , Barcelona
193 , Málaga , 4-0 , Betis
194 , Málaga , 1-1 , Celta de Vigo
195 , Málaga , 3-1 , Deportivo La Coruña
196 , Málaga , 0-2 , Espanyol
197 , Málaga , 2-1 , Getafe
198 , Málaga , 4-0 , Granada
199 , Málaga , 3-1 , Levante
200 , Málaga , 1-1 , Mallorca
201 , Málaga , 1-0 , Osasuna
202 , Málaga , 1-2 , Rayo Vallecano
203 , Málaga , 3-2 , Real Madrid
204 , Málaga , 1-2 , Real Sociedad
205 , Málaga , 0-0 , Sevilla
206 , Málaga , 4-0 , Valencia
207 , Málaga , 2-1 , Valladolid
208 , Málaga , 1-1 , Zaragoza
209 , Mallorca , 0-1 , Athletic Bilbao
210 , Mallorca , 1-1 , Atlético Madrid
211 , Mallorca , 2-4 , Barcelona
212 , Mallorca , 1-0 , Betis
213 , Mallorca , 1-0 , Celta de Vigo
214 , Mallorca , 2-3 , Deportivo La Coruña
215 , Mallorca , 2-1 , Espanyol
216 , Mallorca , 1-3 , Getafe
217 , Mallorca , 1-2 , Granada
218 , Mallorca , 1-1 , Levante
219 , Mallorca , 2-3 , Málaga
220 , Mallorca , 1-1 , Osasuna
221 , Mallorca , 1-1 , Rayo Vallecano
222 , Mallorca , 0-5 , Real Madrid
223 , Mallorca , 1-0 , Real Sociedad
224 , Mallorca , 2-1 , Sevilla
225 , Mallorca , 2-0 , Valencia
226 , Mallorca , 4-2 , Valladolid
227 , Mallorca , 1-1 , Zaragoza
228 , Osasuna , 0-1 , Athletic Bilbao
229 , Osasuna , 0-2 , Atlético Madrid
230 , Osasuna , 1-2 , Barcelona
231 , Osasuna , 0-0 , Betis
232 , Osasuna , 1-0 , Celta de Vigo
233 , Osasuna , 2-1 , Deportivo La Coruña
234 , Osasuna , 0-2 , Espanyol
235 , Osasuna , 1-0 , Getafe
236 , Osasuna , 1-2 , Granada
237 , Osasuna , 4-0 , Levante
238 , Osasuna , 0-0 , Málaga
239 , Osasuna , 1-1 , Mallorca
240 , Osasuna , 1-0 , Rayo Vallecano
241 , Osasuna , 0-0 , Real Madrid
242 , Osasuna , 0-0 , Real Sociedad
243 , Osasuna , 2-1 , Sevilla
244 , Osasuna , 0-1 , Valencia
245 , Osasuna , 0-1 , Valladolid
246 , Osasuna , 1-0 , Zaragoza
247 , Rayo Vallecano , 2-2 , Athletic Bilbao
248 , Rayo Vallecano , 2-1 , Atlético Madrid
249 , Rayo Vallecano , 0-5 , Barcelona
250 , Rayo Vallecano , 3-0 , Betis
251 , Rayo Vallecano , 3-2 , Celta de Vigo
252 , Rayo Vallecano , 2-1 , Deportivo La Coruña
253 , Rayo Vallecano , 2-0 , Espanyol
254 , Rayo Vallecano , 3-1 , Getafe
255 , Rayo Vallecano , 1-0 , Granada
256 , Rayo Vallecano , 3-0 , Levante
257 , Rayo Vallecano , 1-3 , Málaga
258 , Rayo Vallecano , 2-0 , Mallorca
259 , Rayo Vallecano , 2-2 , Osasuna
260 , Rayo Vallecano , 0-2 , Real Madrid
261 , Rayo Vallecano , 0-2 , Real Sociedad
262 , Rayo Vallecano , 0-0 , Sevilla
263 , Rayo Vallecano , 0-4 , Valencia
264 , Rayo Vallecano , 1-2 , Valladolid
265 , Rayo Vallecano , 0-2 , Zaragoza
266 , Real Madrid , 5-1 , Athletic Bilbao
267 , Real Madrid , 2-0 , Atlético Madrid
268 , Real Madrid , 2-1 , Barcelona
269 , Real Madrid , 3-1 , Betis
270 , Real Madrid , 2-0 , Celta de Vigo
271 , Real Madrid , 5-1 , Deportivo La Coruña
272 , Real Madrid , 2-2 , Espanyol
273 , Real Madrid , 4-0 , Getafe
274 , Real Madrid , 3-0 , Granada
275 , Real Madrid , 5-1 , Levante
276 , Real Madrid , 6-2 , Málaga
277 , Real Madrid , 5-2 , Mallorca
278 , Real Madrid , 4-2 , Osasuna
279 , Real Madrid , 2-0 , Rayo Vallecano
280 , Real Madrid , 4-3 , Real Sociedad
281 , Real Madrid , 4-1 , Sevilla
282 , Real Madrid , 1-1 , Valencia
283 , Real Madrid , 4-3 , Valladolid
284 , Real Madrid , 4-0 , Zaragoza
285 , Real Sociedad , 2-0 , Athletic Bilbao
286 , Real Sociedad , 0-1 , Atlético Madrid
287 , Real Sociedad , 3-2 , Barcelona
288 , Real Sociedad , 3-3 , Betis
289 , Real Sociedad , 2-1 , Celta de Vigo
290 , Real Sociedad , 1-1 , Deportivo La Coruña
291 , Real Sociedad , 0-1 , Espanyol
292 , Real Sociedad , 1-1 , Getafe
293 , Real Sociedad , 2-2 , Granada
294 , Real Sociedad , 1-1 , Levante
295 , Real Sociedad , 4-2 , Málaga
296 , Real Sociedad , 3-0 , Mallorca
297 , Real Sociedad , 0-0 , Osasuna
298 , Real Sociedad , 4-0 , Rayo Vallecano
299 , Real Sociedad , 3-3 , Real Madrid
300 , Real Sociedad , 2-1 , Sevilla
301 , Real Sociedad , 4-2 , Valencia
302 , Real Sociedad , 4-1 , Valladolid
303 , Real Sociedad , 2-0 , Zaragoza
304 , Sevilla , 2-1 , Athletic Bilbao
305 , Sevilla , 0-1 , Atlético Madrid
306 , Sevilla , 2-3 , Barcelona
307 , Sevilla , 5-1 , Betis
308 , Sevilla , 4-1 , Celta de Vigo
309 , Sevilla , 3-1 , Deportivo La Coruña
310 , Sevilla , 3-0 , Espanyol
311 , Sevilla , 2-1 , Getafe
312 , Sevilla , 3-0 , Granada
313 , Sevilla , 0-0 , Levante
314 , Sevilla , 0-2 , Málaga
315 , Sevilla , 3-2 , Mallorca
316 , Sevilla , 1-0 , Osasuna
317 , Sevilla , 2-1 , Rayo Vallecano
318 , Sevilla , 1-0 , Real Madrid
319 , Sevilla , 1-2 , Real Sociedad
320 , Sevilla , 4-3 , Valencia
321 , Sevilla , 1-2 , Valladolid
322 , Sevilla , 4-0 , Zaragoza
323 , Valencia , 3-2 , Athletic Bilbao
324 , Valencia , 2-0 , Atlético Madrid
325 , Valencia , 1-1 , Barcelona
326 , Valencia , 3-0 , Betis
327 , Valencia , 2-1 , Celta de Vigo
328 , Valencia , 3-3 , Deportivo La Coruña
329 , Valencia , 2-1 , Espanyol
330 , Valencia , 4-2 , Getafe
331 , Valencia , 1-0 , Granada
332 , Valencia , 2-2 , Levante
333 , Valencia , 5-1 , Málaga
334 , Valencia , 2-0 , Mallorca
335 , Valencia , 4-0 , Osasuna
336 , Valencia , 0-1 , Rayo Vallecano
