166 , Lyon , 1-1 , Paris Saint-Germain
167 , Lyon , 2-1 , Reims
168 , Lyon , 2-0 , Rennes
169 , Lyon , 2-2 , Saint-Étienne
170 , Lyon , 3-0 , Toulouse
171 , Marseille , 3-0 , Bastia
172 , Marseille , 3-1 , Bordeaux
173 , Marseille , 2-3 , Caen
174 , Marseille , 1-0 , Evian
175 , Marseille , 2-1 , Guingamp
176 , Marseille , 2-1 , Lens
177 , Marseille , 2-1 , Lille
178 , Marseille , 3-5 , Lorient
179 , Marseille , 0-0 , Lyon
180 , Marseille , 3-1 , Metz
181 , Marseille , 2-1 , Monaco
182 , Marseille , 0-2 , Montpellier
183 , Marseille , 2-0 , Nantes
184 , Marseille , 4-0 , Nice
185 , Marseille , 2-3 , Paris Saint-Germain
186 , Marseille , 2-2 , Reims
187 , Marseille , 3-0 , Rennes
188 , Marseille , 2-1 , Saint-Étienne
189 , Marseille , 2-0 , Toulouse
190 , Metz , 3-1 , Bastia
191 , Metz , 0-0 , Bordeaux
192 , Metz , 3-2 , Caen
193 , Metz , 1-2 , Evian
194 , Metz , 0-2 , Guingamp
195 , Metz , 3-1 , Lens
196 , Metz , 1-4 , Lille
197 , Metz , 0-4 , Lorient
198 , Metz , 2-1 , Lyon
199 , Metz , 0-2 , Marseille
200 , Metz , 0-1 , Monaco
201 , Metz , 2-3 , Montpellier
202 , Metz , 1-1 , Nantes
203 , Metz , 0-0 , Nice
204 , Metz , 2-3 , Paris Saint-Germain
205 , Metz , 3-0 , Reims
206 , Metz , 0-0 , Rennes
207 , Metz , 2-3 , Saint-Étienne
208 , Metz , 3-2 , Toulouse
209 , Monaco , 3-0 , Bastia
210 , Monaco , 0-0 , Bordeaux
211 , Monaco , 2-2 , Caen
212 , Monaco , 2-0 , Evian
213 , Monaco , 1-0 , Guingamp
214 , Monaco , 2-0 , Lens
215 , Monaco , 1-1 , Lille
216 , Monaco , 1-2 , Lorient
217 , Monaco , 0-0 , Lyon
