129 , Deportivo de La Coruña , 0-0 , CD Málaga
130 , Deportivo de La Coruña , 1-1 , Real Gijón
131 , Deportivo de La Coruña , 1-0 , Real Madrid
132 , Deportivo de La Coruña , 1-0 , Real Sociedad
133 , Deportivo de La Coruña , 1-0 , CE Sabadell FC
134 , Deportivo de La Coruña , 1-0 , Sevilla CF
135 , Deportivo de La Coruña , 3-0 , Valencia CF
136 , RCD Español , 1-2 , Atlético Bilbao
137 , RCD Español , 1-2 , Atlético Madrid
138 , RCD Español , 3-0 , CF Barcelona
139 , RCD Español , 3-0 , Betis
140 , RCD Español , 1-1 , Burgos
141 , RCD Español , 1-0 , Celta de Vigo
142 , RCD Español , 1-1 , Córdoba CF
143 , RCD Español , 2-0 , Deportivo de La Coruña
144 , RCD Español , 2-3 , Granada CF
145 , RCD Español , 4-0 , UD Las Palmas
146 , RCD Español , 4-1 , CD Málaga
147 , RCD Español , 0-0 , Real Gijón
148 , RCD Español , 0-0 , Real Madrid
149 , RCD Español , 1-0 , Real Sociedad
150 , RCD Español , 2-1 , CE Sabadell FC
151 , RCD Español , 2-0 , Sevilla CF
152 , RCD Español , 3-1 , Valencia CF
153 , Granada CF , 5-1 , Atlético Bilbao
154 , Granada CF , 1-0 , Atlético Madrid
155 , Granada CF , 2-0 , CF Barcelona
156 , Granada CF , 0-0 , Betis
157 , Granada CF , 2-1 , Burgos
158 , Granada CF , 0-0 , Celta de Vigo
159 , Granada CF , 1-0 , Córdoba CF
160 , Granada CF , 2-2 , Deportivo de La Coruña
161 , Granada CF , 0-0 , RCD Español
162 , Granada CF , 3-0 , UD Las Palmas
163 , Granada CF , 2-0 , CD Málaga
164 , Granada CF , 1-0 , Real Gijón
165 , Granada CF , 2-1 , Real Madrid
166 , Granada CF , 1-0 , Real Sociedad
167 , Granada CF , 3-1 , CE Sabadell FC
168 , Granada CF , 3-0 , Sevilla CF
169 , Granada CF , 1-0 , Valencia CF
170 , UD Las Palmas , 2-1 , Atlético Bilbao
171 , UD Las Palmas , 1-0 , Atlético Madrid
172 , UD Las Palmas , 1-2 , CF Barcelona
173 , UD Las Palmas , 2-0 , Betis
174 , UD Las Palmas , 3-1 , Burgos
175 , UD Las Palmas , 1-1 , Celta de Vigo
176 , UD Las Palmas , 3-0 , Córdoba CF
177 , UD Las Palmas , 2-0 , Deportivo de La Coruña
178 , UD Las Palmas , 1-0 , RCD Español
179 , UD Las Palmas , 2-2 , Granada CF
180 , UD Las Palmas , 2-0 , CD Málaga
181 , UD Las Palmas , 5-1 , Real Gijón
182 , UD Las Palmas , 2-0 , Real Madrid
183 , UD Las Palmas , 0-0 , Real Sociedad
184 , UD Las Palmas , 0-0 , CE Sabadell FC
185 , UD Las Palmas , 1-1 , Sevilla CF
186 , UD Las Palmas , 1-1 , Valencia CF
187 , CD Málaga , 1-0 , Atlético Bilbao
188 , CD Málaga , 0-0 , Atlético Madrid
189 , CD Málaga , 0-0 , CF Barcelona
190 , CD Málaga , 0-0 , Betis
191 , CD Málaga , 4-1 , Burgos
192 , CD Málaga , 1-1 , Celta de Vigo
193 , CD Málaga , 2-2 , Córdoba CF
194 , CD Málaga , 2-0 , Deportivo de La Coruña
195 , CD Málaga , 1-0 , RCD Español
196 , CD Málaga , 1-0 , Granada CF
197 , CD Málaga , 0-0 , UD Las Palmas
198 , CD Málaga , 1-1 , Real Gijón
199 , CD Málaga , 1-1 , Real Madrid
200 , CD Málaga , 1-1 , Real Sociedad
201 , CD Málaga , 1-0 , CE Sabadell FC
202 , CD Málaga , 2-2 , Sevilla CF
203 , CD Málaga , 0-2 , Valencia CF
204 , Real Gijón , 3-2 , Atlético Bilbao
205 , Real Gijón , 1-2 , Atlético Madrid
206 , Real Gijón , 1-0 , CF Barcelona
207 , Real Gijón , 3-1 , Betis
208 , Real Gijón , 0-0 , Burgos
209 , Real Gijón , 2-2 , Celta de Vigo
210 , Real Gijón , 0-0 , Córdoba CF
211 , Real Gijón , 2-0 , Deportivo de La Coruña
212 , Real Gijón , 4-0 , RCD Español
213 , Real Gijón , 2-0 , Granada CF
214 , Real Gijón , 0-1 , UD Las Palmas
215 , Real Gijón , 1-2 , CD Málaga
216 , Real Gijón , 1-1 , Real Madrid
217 , Real Gijón , 1-0 , Real Sociedad
218 , Real Gijón , 3-0 , CE Sabadell FC
219 , Real Gijón , 1-0 , Sevilla CF
220 , Real Gijón , 4-0 , Valencia CF
221 , Real Madrid , 1-0 , Atlético Bilbao
222 , Real Madrid , 1-0 , Atlético Madrid
223 , Real Madrid , 1-1 , CF Barcelona
224 , Real Madrid , 2-0 , Betis
225 , Real Madrid , 1-1 , Burgos
