0 , Atalanta , 1-0 , Bari
1 , Atalanta , 1-1 , Bologna
2 , Atalanta , 3-1 , Cagliari
3 , Atalanta , 0-0 , Catania
4 , Atalanta , 0-1 , Chievo
5 , Atalanta , 2-1 , Fiorentina
6 , Atalanta , 0-1 , Genoa
7 , Atalanta , 1-1 , Internazionale
8 , Atalanta , 2-5 , Juventus
9 , Atalanta , 3-0 , Lazio
10 , Atalanta , 3-0 , Livorno
11 , Atalanta , 1-1 , Milan
12 , Atalanta , 0-2 , Napoli
13 , Atalanta , 1-2 , Palermo
14 , Atalanta , 3-1 , Parma
15 , Atalanta , 1-2 , Roma
16 , Atalanta , 0-1 , Sampdoria
17 , Atalanta , 2-0 , Siena
18 , Atalanta , 0-0 , Udinese
19 , Bari , 4-1 , Atalanta
20 , Bari , 0-0 , Bologna
21 , Bari , 0-1 , Cagliari
22 , Bari , 0-0 , Catania
23 , Bari , 1-0 , Chievo
24 , Bari , 2-0 , Fiorentina
25 , Bari , 3-0 , Genoa
26 , Bari , 2-2 , Internazionale
27 , Bari , 3-1 , Juventus
28 , Bari , 2-0 , Lazio
29 , Bari , 1-0 , Livorno
30 , Bari , 0-2 , Milan
31 , Bari , 1-2 , Napoli
32 , Bari , 4-2 , Palermo
33 , Bari , 1-1 , Parma
34 , Bari , 0-1 , Roma
35 , Bari , 2-1 , Sampdoria
36 , Bari , 2-1 , Siena
37 , Bari , 2-0 , Udinese
38 , Bologna , 2-2 , Atalanta
39 , Bologna , 2-1 , Bari
40 , Bologna , 0-1 , Cagliari
41 , Bologna , 1-1 , Catania
42 , Bologna , 0-2 , Chievo
43 , Bologna , 1-1 , Fiorentina
44 , Bologna , 1-3 , Genoa
45 , Bologna , 1-3 , Internazionale
46 , Bologna , 1-2 , Juventus
47 , Bologna , 2-3 , Lazio
48 , Bologna , 2-0 , Livorno
49 , Bologna , 0-0 , Milan
50 , Bologna , 2-1 , Napoli
51 , Bologna , 3-1 , Palermo
52 , Bologna , 2-1 , Parma
53 , Bologna , 0-2 , Roma
54 , Bologna , 1-1 , Sampdoria
55 , Bologna , 2-1 , Siena
56 , Bologna , 2-1 , Udinese
57 , Cagliari , 3-0 , Atalanta
58 , Cagliari , 3-1 , Bari
59 , Cagliari , 1-1 , Bologna
60 , Cagliari , 2-2 , Catania
61 , Cagliari , 1-2 , Chievo
62 , Cagliari , 2-2 , Fiorentina
63 , Cagliari , 3-2 , Genoa
64 , Cagliari , 1-2 , Internazionale
65 , Cagliari , 2-0 , Juventus
66 , Cagliari , 0-2 , Lazio
67 , Cagliari , 3-0 , Livorno
68 , Cagliari , 2-3 , Milan
69 , Cagliari , 3-3 , Napoli
70 , Cagliari , 2-2 , Palermo
71 , Cagliari , 2-0 , Parma
72 , Cagliari , 2-2 , Roma
73 , Cagliari , 2-0 , Sampdoria
74 , Cagliari , 1-3 , Siena
75 , Cagliari , 2-2 , Udinese
76 , Catania , 0-0 , Atalanta
77 , Catania , 4-0 , Bari
78 , Catania , 1-0 , Bologna
79 , Catania , 2-1 , Cagliari
80 , Catania , 1-2 , Chievo
81 , Catania , 1-0 , Fiorentina
82 , Catania , 1-0 , Genoa
83 , Catania , 3-1 , Internazionale
84 , Catania , 1-1 , Juventus
85 , Catania , 1-1 , Lazio
