139 , Deportivo La Coruña , 1-0 , Compostela
140 , Deportivo La Coruña , 1-1 , Espanyol
141 , Deportivo La Coruña , 5-0 , Logroñés
142 , Deportivo La Coruña , 3-0 , Racing Santander
143 , Deportivo La Coruña , 0-0 , Real Madrid
144 , Deportivo La Coruña , 2-2 , Oviedo
145 , Deportivo La Coruña , 3-1 , Real Sociedad
146 , Deportivo La Coruña , 5-1 , Sevilla
147 , Deportivo La Coruña , 2-1 , Sporting de Gijón
148 , Deportivo La Coruña , 4-1 , Tenerife
149 , Deportivo La Coruña , 3-1 , Valencia
150 , Deportivo La Coruña , 4-0 , Valladolid
151 , Deportivo La Coruña , 3-3 , Zaragoza
152 , Espanyol , 5-1 , Albacete
153 , Espanyol , 3-1 , Athletic Bilbao
154 , Espanyol , 2-0 , Atlético Madrid
155 , Espanyol , 0-0 , Barcelona
156 , Espanyol , 0-0 , Betis
157 , Espanyol , 0-0 , Celta de Vigo
158 , Espanyol , 2-0 , Compostela
159 , Espanyol , 1-0 , Deportivo La Coruña
160 , Espanyol , 2-0 , Logroñés
161 , Espanyol , 2-0 , Racing Santander
162 , Espanyol , 1-2 , Real Madrid
163 , Espanyol , 4-2 , Oviedo
164 , Espanyol , 0-0 , Real Sociedad
165 , Espanyol , 2-2 , Sevilla
166 , Espanyol , 1-1 , Sporting de Gijón
167 , Espanyol , 0-0 , Tenerife
168 , Espanyol , 5-0 , Valencia
169 , Espanyol , 3-0 , Valladolid
170 , Espanyol , 2-0 , Zaragoza
171 , Logroñés , 1-1 , Albacete
172 , Logroñés , 0-1 , Athletic Bilbao
173 , Logroñés , 0-0 , Atlético Madrid
174 , Logroñés , 1-4 , Barcelona
175 , Logroñés , 0-0 , Betis
176 , Logroñés , 0-3 , Celta de Vigo
177 , Logroñés , 0-4 , Compostela
178 , Logroñés , 0-1 , Deportivo La Coruña
179 , Logroñés , 1-1 , Espanyol
180 , Logroñés , 0-1 , Racing Santander
181 , Logroñés , 1-4 , Real Madrid
182 , Logroñés , 0-2 , Oviedo
183 , Logroñés , 0-4 , Real Sociedad
184 , Logroñés , 0-2 , Sevilla
185 , Logroñés , 1-3 , Sporting de Gijón
186 , Logroñés , 4-2 , Tenerife
187 , Logroñés , 2-2 , Valencia
188 , Logroñés , 0-0 , Valladolid
189 , Logroñés , 0-0 , Zaragoza
190 , Racing Santander , 2-1 , Albacete
191 , Racing Santander , 0-2 , Athletic Bilbao
192 , Racing Santander , 0-0 , Atlético Madrid
193 , Racing Santander , 5-0 , Barcelona
194 , Racing Santander , 0-0 , Betis
195 , Racing Santander , 2-0 , Celta de Vigo
196 , Racing Santander , 2-2 , Compostela
197 , Racing Santander , 1-2 , Deportivo La Coruña
198 , Racing Santander , 0-0 , Espanyol
199 , Racing Santander , 3-0 , Logroñés
200 , Racing Santander , 3-1 , Real Madrid
201 , Racing Santander , 2-0 , Oviedo
202 , Racing Santander , 0-0 , Real Sociedad
203 , Racing Santander , 0-3 , Sevilla
204 , Racing Santander , 0-0 , Sporting de Gijón
205 , Racing Santander , 2-1 , Tenerife
206 , Racing Santander , 3-2 , Valencia
207 , Racing Santander , 0-0 , Valladolid
208 , Racing Santander , 0-1 , Zaragoza
209 , Real Madrid , 0-0 , Albacete
210 , Real Madrid , 4-0 , Athletic Bilbao
211 , Real Madrid , 4-2 , Atlético Madrid
212 , Real Madrid , 5-0 , Barcelona
213 , Real Madrid , 0-2 , Betis
214 , Real Madrid , 4-0 , Celta de Vigo
215 , Real Madrid , 1-1 , Compostela
216 , Real Madrid , 2-1 , Deportivo La Coruña
217 , Real Madrid , 1-0 , Espanyol
218 , Real Madrid , 2-0 , Logroñés
219 , Real Madrid , 3-1 , Racing Santander
220 , Real Madrid , 2-0 , Oviedo
221 , Real Madrid , 0-0 , Real Sociedad
222 , Real Madrid , 2-0 , Sevilla
223 , Real Madrid , 4-0 , Sporting de Gijón
224 , Real Madrid , 4-2 , Tenerife
225 , Real Madrid , 3-1 , Valencia
226 , Real Madrid , 1-0 , Valladolid
227 , Real Madrid , 3-0 , Zaragoza
228 , Oviedo , 1-3 , Albacete
229 , Oviedo , 1-1 , Athletic Bilbao
230 , Oviedo , 1-0 , Atlético Madrid
231 , Oviedo , 0-0 , Barcelona
232 , Oviedo , 0-0 , Betis
233 , Oviedo , 2-2 , Celta de Vigo
234 , Oviedo , 2-2 , Compostela
235 , Oviedo , 2-0 , Deportivo La Coruña
236 , Oviedo , 3-0 , Espanyol
237 , Oviedo , 1-0 , Logroñés
238 , Oviedo , 3-1 , Racing Santander
239 , Oviedo , 3-2 , Real Madrid
240 , Oviedo , 3-0 , Real Sociedad
241 , Oviedo , 1-0 , Sevilla
242 , Oviedo , 1-0 , Sporting de Gijón
243 , Oviedo , 1-2 , Tenerife
244 , Oviedo , 1-0 , Valencia
245 , Oviedo , 1-0 , Valladolid
246 , Oviedo , 2-1 , Zaragoza
247 , Real Sociedad , 2-0 , Albacete
248 , Real Sociedad , 5-0 , Athletic Bilbao
249 , Real Sociedad , 3-1 , Atlético Madrid
250 , Real Sociedad , 1-1 , Barcelona
251 , Real Sociedad , 1-1 , Betis
252 , Real Sociedad , 2-3 , Celta de Vigo
253 , Real Sociedad , 1-1 , Compostela
254 , Real Sociedad , 1-3 , Deportivo La Coruña
255 , Real Sociedad , 2-0 , Espanyol
256 , Real Sociedad , 6-0 , Logroñés
257 , Real Sociedad , 0-1 , Racing Santander
258 , Real Sociedad , 1-1 , Real Madrid
259 , Real Sociedad , 3-1 , Oviedo
260 , Real Sociedad , 0-0 , Sevilla
261 , Real Sociedad , 2-2 , Sporting de Gijón
262 , Real Sociedad , 5-2 , Tenerife
263 , Real Sociedad , 0-2 , Valencia
264 , Real Sociedad , 3-0 , Valladolid
265 , Real Sociedad , 1-2 , Zaragoza
266 , Sevilla , 0-2 , Albacete
