165 , Lazio , 2-1 , Pescara
166 , Lazio , 1-1 , Roma
167 , Lazio , 2-1 , Sampdoria
168 , Lazio , 1-2 , Torino
169 , Lazio , 4-0 , Udinese
170 , Milan , 2-0 , Ancona
171 , Milan , 2-0 , Atalanta
172 , Milan , 1-1 , Brescia
173 , Milan , 1-0 , Cagliari
174 , Milan , 2-0 , Fiorentina
175 , Milan , 1-0 , Foggia
176 , Milan , 1-0 , Genoa
177 , Milan , 1-1 , Inter
178 , Milan , 1-3 , Juventus
179 , Milan , 5-3 , Lazio
180 , Milan , 2-2 , Napoli
181 , Milan , 0-1 , Parma
182 , Milan , 4-0 , Pescara
183 , Milan , 0-0 , Roma
184 , Milan , 4-0 , Sampdoria
185 , Milan , 0-0 , Torino
186 , Milan , 1-1 , Udinese
187 , Napoli , 0-0 , Ancona
188 , Napoli , 1-0 , Atalanta
189 , Napoli , 0-0 , Brescia
190 , Napoli , 1-0 , Cagliari
191 , Napoli , 4-1 , Fiorentina
192 , Napoli , 2-0 , Foggia
193 , Napoli , 2-2 , Genoa
194 , Napoli , 1-2 , Inter
195 , Napoli , 2-3 , Juventus
196 , Napoli , 3-1 , Lazio
197 , Napoli , 1-5 , Milan
198 , Napoli , 1-1 , Parma
199 , Napoli , 2-0 , Pescara
200 , Napoli , 2-1 , Roma
201 , Napoli , 1-1 , Sampdoria
202 , Napoli , 1-1 , Torino
203 , Napoli , 3-0 , Udinese
204 , Parma , 3-0 , Ancona
205 , Parma , 0-0 , Atalanta
206 , Parma , 2-0 , Brescia
207 , Parma , 3-1 , Cagliari
208 , Parma , 1-1 , Fiorentina
209 , Parma , 4-0 , Foggia
210 , Parma , 1-0 , Genoa
211 , Parma , 2-0 , Inter
212 , Parma , 2-1 , Juventus
213 , Parma , 2-1 , Lazio
214 , Parma , 0-2 , Milan
215 , Parma , 1-1 , Napoli
216 , Parma , 1-0 , Pescara
217 , Parma , 3-1 , Roma
218 , Parma , 1-0 , Sampdoria
219 , Parma , 2-2 , Torino
220 , Parma , 3-1 , Udinese
221 , Pescara , 4-3 , Ancona
222 , Pescara , 2-0 , Atalanta
223 , Pescara , 2-0 , Brescia
224 , Pescara , 0-1 , Cagliari
225 , Pescara , 0-2 , Fiorentina
226 , Pescara , 2-4 , Foggia
227 , Pescara , 1-2 , Genoa
228 , Pescara , 1-4 , Inter
229 , Pescara , 5-1 , Juventus
230 , Pescara , 2-3 , Lazio
231 , Pescara , 4-5 , Milan
232 , Pescara , 3-0 , Napoli
233 , Pescara , 0-2 , Parma
234 , Pescara , 1-1 , Roma
235 , Pescara , 2-2 , Sampdoria
236 , Pescara , 2-2 , Torino
237 , Pescara , 2-2 , Udinese
238 , Roma , 2-1 , Ancona
239 , Roma , 2-2 , Atalanta
240 , Roma , 2-3 , Brescia
241 , Roma , 1-1 , Cagliari
242 , Roma , 1-1 , Fiorentina
243 , Roma , 3-1 , Foggia
244 , Roma , 3-0 , Genoa
245 , Roma , 4-1 , Inter
246 , Roma , 2-1 , Juventus
247 , Roma , 0-0 , Lazio
248 , Roma , 0-1 , Milan
249 , Roma , 1-1 , Napoli
250 , Roma , 1-0 , Parma
251 , Roma , 0-1 , Pescara
252 , Roma , 0-0 , Sampdoria
253 , Roma , 4-5 , Torino
254 , Roma , 1-1 , Udinese
255 , Sampdoria , 3-1 , Ancona
256 , Sampdoria , 2-3 , Atalanta
257 , Sampdoria , 1-0 , Brescia
258 , Sampdoria , 2-0 , Cagliari
259 , Sampdoria , 2-0 , Fiorentina
260 , Sampdoria , 3-3 , Foggia
261 , Sampdoria , 4-1 , Genoa
262 , Sampdoria , 1-3 , Inter
263 , Sampdoria , 1-1 , Juventus
264 , Sampdoria , 3-3 , Lazio
265 , Sampdoria , 1-2 , Milan
266 , Sampdoria , 3-1 , Napoli
267 , Sampdoria , 2-1 , Parma
268 , Sampdoria , 1-1 , Pescara
269 , Sampdoria , 2-2 , Roma
270 , Sampdoria , 0-1 , Torino
271 , Sampdoria , 2-0 , Udinese
272 , Torino , 4-1 , Ancona
273 , Torino , 1-1 , Atalanta
274 , Torino , 1-0 , Brescia
275 , Torino , 0-5 , Cagliari
276 , Torino , 1-1 , Fiorentina
277 , Torino , 1-1 , Foggia
278 , Torino , 1-1 , Genoa
279 , Torino , 1-2 , Inter
280 , Torino , 1-2 , Juventus
281 , Torino , 1-1 , Lazio
282 , Torino , 1-1 , Milan
283 , Torino , 0-1 , Napoli
284 , Torino , 3-0 , Parma
285 , Torino , 3-1 , Pescara
286 , Torino , 0-0 , Roma
287 , Torino , 2-2 , Sampdoria
288 , Torino , 1-0 , Udinese
289 , Udinese , 2-0 , Ancona
290 , Udinese , 1-2 , Atalanta
291 , Udinese , 2-2 , Brescia
292 , Udinese , 2-1 , Cagliari
293 , Udinese , 4-0 , Fiorentina
294 , Udinese , 3-2 , Foggia
